// key	CHARACTER_NAME_	CHARACTER_SKIN_DESCRIPTION_
c000_01	_Master	The flat-broke demon's fashion sense is always out of the question.
c000_10	Mysterious_Master	A strangely familiar-looking girl's outfit.
c000_11	Girl's School_Master	A blazer uniform made for students attending a prestigious school for girls.
c000_12	Swimsuit_Master	
c000_13	_Master	
c000_14	Dress_Master	
c000_15	_Master	
c000_16	_Master	
c001_01	_Mona	A refined uniform for the lazy demon slave driver.
c001_02	Battlesuit_Mona	Succubus Mona is ready to roll ♥
c001_12	Seaside_Mona	The woman of the hour, clad in a skin-tight swimsuit.\Just what you need to turn up the heat!
c001_14	Teacher_Mona	Outfit worn by Mona, the strict succubus.
c001_16	Swimsuit_Mona	Sexy bikini worn by the woman who leaves tongues wagging.\Your summer's about to heat up!
c001_17	Petit_Mona	Mona's childhood form created from her biological information!
c002_00	_Lisa	Succubus Lisa's secret pajamas.
c002_01	_Lisa	A gorgeous uniform worn by the capable,\super S-class succubus.
c002_02	Battlesuit_Lisa	The stats of the capable, super S-class succubus increased!
c002_10	Seaside_Lisa	A sexy bikini worn by the woman who turns many heads.\Forecast for summer: excitement!
c002_11	Student_Lisa	Succubus Lisa's honor student uniform.
c002_12	Summer Camp_Lisa	Lisa's finely designed swimsuit.\Stands up to the summer heat!
c003_01	_Davi	Davi is just so cute, no matter what she wears!
c003_02	Battlesuit_Davi	Lovely Davi's cuteness factor\just went through the roof!
c003_10	Seaside_Davi	Davi, the girl of the hour, in her own bikini.\Go and have fun with a demon!
c003_11	Student_Davi	School uniform for Davi, now in the throes of adolescence.
c003_13	Summer Dream_Davi	Davi's full-body bathing suit emphasizing functionality.
c003_14	Lucifer_Davi	The Archfiend's look as imagined\in Davi's hopes and dreams!
c003_15	Satan_Davi	Lethal Davi's imagination, a dream within a dream.
c003_16	Crimson_Davi	Davi's imagination, a crimson flower that blossomed from a dream.
c003_17	Mini_Davi	A Davi made from a fragment of Archfiend Davi.\Is it just me, or does this look familiar?
c003_18	Cheerleader_Davi	Don't get me wrong! I'm not cheering for Master at all!\Davi's cheerleading uniform, solely used for Mona.
c003_89	Lucifer_Davi	The Archfiend's look as imagined\in Davi's hopes and dreams!
c004_00	_Jennifer	A sporty skirt that is a perfect match for her.
c004_01	Neighborly_Cheoyong	An extra stretchy combat suit for a rampaging Child.
c004_02	Warmharted_Cheoyong	A special combat suit that boost the power of her weapons.
c005_00	Natsume_Sawaki	Squirt guns don't come with an aiming function, so watch out!
c005_01	Zooming_Mars	Depending on the mood when worn,\may result in a rampage, so watch out!
c005_02	Rampaging_Mars	Locked and loaded! Now it's time for revenge!
c007_00	Kyosuke_Kaga	Phoenix's signature casual wear made of fire.
c007_01	Hot_Phoenix	Phoenix's signature costume!\Just don't say it's similar!
c007_02	Fiery_Phoenix	Phoenix's signature costume made of fire!
c008_00	Kyoko_Wakatsuki	The handgrip of her accessory is amazing!
c008_01	Warrior_Frigga	Frigga's soul glows white.
c008_02	Militant_Frigga	Frigga's fight spirit shines white.
c009_00	Jin_Uto	You can fight as long as you have the will to do so, even with a replica gun!
c009_01	Mercenary_Hector	The customer is responsible for any damage or injuries that result.
c009_02	Fixer_Hector	A costume with maximum durability for mercenaries who risk their life in battle.
c010_00	Marika_Takanashi	An outfit for nurses who live their life to the fullest.
c010_01	Bluffing_Demeter	Now that I'm a nurse, maybe I should try administering a shot.
c010_02	Vain_Demeter	Demeter's combat suit discovered in a secret hospital.
c011_00	Fusako_Haito	A sincere medical student's combat suit. Wearing them causes a series of mistakes.
c011_01	Volunteer_Deino	A combat suit of a hardworking girl. Even hard workers make mistakes.
c011_02	Devoted_Deino	A combat suit of an enthusiastic girl. Even enthusiastic workers make mistakes.
c012_00	Ryuzo_Muto	A coat for a veteran detective.
c012_01	Hotblooded_Agamemnon	A costume for Agamemnon.\Ready to fight, whenever and wherever.
c012_02	Final_Agamemnon	Bring it on, anytime.\Agamemnon's true costume.
c013_00	Kasumi_Sakuragawa	A brilliant girl who indifference to fashion sense is actually adorable.
c013_01	Moonless_Artemis	A jet black nightgown for a quiet evening.
c013_02	Lunar_Artemis	A moonlight nightgown for a chilly evening.
c014_00	Katsumi_Tohdoh	A military costume from Astraea's pactmaker.
c014_01	Starry_Astraea	The cross charm is Astraea's symbol.
c014_02	Galaxy_Astraea	A pearl-black costume that brings out Astraea's strict nature.
c015_01	Seasonal_Helena	Her standard outfit made with attention to every detail.
c017_00	Mad Dog_Komugi	Give her a bath once a week if you don't like the smell of dogs.
c017_01	Guard Dog_Cu Sith	"Believe in me! Feel the guard dog's fighting spirit!"
c017_02	Defender_Cu Sith	"Once I bite down, I never let go! Feel the guard dog's fighting spirit!"
c018_00	Yayoi_Yagami	Costume of a melancholy doll maker.
c018_01	Little_Korra	Costume of the puppeteer Korra.\The option to make puppets talk is also available.
c018_02	Immature_Korra	Costume of the puppeteer Korra. Its sister product is a possessed puppet.
c019_00	Shizune_Urushibara	This new teacher's outfit is dripping with enthusiasm.
c019_01	Frenzied_Eris	Combat suit for the merciless Eris.
c019_02	Raging_Eris	Combat suit for the merciless Eris. The flames of rage boosted her Power.
c020_00	Aisa_Yukawa	Dice serve as an adequate weapon for a lazy beast.
c020_01	Dangerous_Fortuna	Gambling Fortuna's lucky outfit.
c020_02	Gambling_Fortuna	Gambling Fortuna's luckiest outfit.\She's never lost when wearing it.
c022_00	Yutaka_Sakamaki	"I'm the futon fairy. Join me in my futon paradise!"
c022_01	Lazy_Mayahuel	Excessive gaming has a negative effect on the eyesight of developing pretty boys.
c022_02	Woeful_Mayahuel	Mayahuel has leveled up. His stat increase is complete, too.
c022_10	Maid Mode_Mayahuel	Pretty-boy Mayahuel's pretty-girl romance game costume.\He's totally into it.
c023_00	_Camineu	
c023_01	_Camineu	
c024_00	Neighbor_Rufus	
c024_01	_Rufus	
c024_02	Archduke_Rufus	
c026_00	Kagamino_Arisa	Haven't gone out in a while? This skirt is highly recommended.
c026_01	Delightful_Eos	The Soul Loss brooch is a biological treasure among treasures.
c026_02	Delirious_Eos	"Take a good look at the brooch. Notice anything different?"
c027_00	Kageko_Kurokasa	"My skirt's blowing open! But it's fine!"
c027_01	Awakened_Cynthia	This unisex cape for superheroes is flying off the shelves.
c027_02	Genuine_Cynthia	"So you want to be a superhero? Well, first you'll need a cape!"
c028_00	Mikoto_Kenmochi	An everyday combat suit for this regal lady.
c028_01	Successful_Leda	Leda's nice body is hard to quit!
c028_02	Shining_Leda	Leda has a nice body! And who wouldn't want to be trampled by those legs!
c028_10	Day Dream_Leda	"Kneel before Queen Leda, the woman of your fantasies!"
c029_00	Harue_Asahina	There's nothing like a Child who exhibits elegance from the start.
c029_01	Night_Selene	The moon goddess is clad in clouds.
c029_02	Lunar_Selene	The moon goddess is clad in light.
c030_00	Sarah_J.	A detective? That hunting cap is cute.
c030_01	Roaming_Detective Girl	This exclusive costume for the\Wandering Detective Girl makes her indestructible!
