// key	CHAT_
c001_17_boss_long	Ta-daaa! Hello, my darling master ♥
c001_17_boss_short	Welcome!
c001_17_ctskill	A hit!
c001_17_death_1	Aaah! Time to make a strategic retreat...
c001_17_death_2	Waaah...
c001_17_drive	My turn!
c001_17_hit_1	Eep!
c001_17_hit_2	That hurts!
c001_17_hit_3	Aaah...
c001_17_prskill	Get ready!
c001_17_skill	Right away, master!
c001_17_spa	Eeek! Watch it, master!
c001_17_startbt	Today's going to be another great day!
c001_17_story1	Hello, my darling master ♥\It's me, Mona, at your service!
c001_17_story2	If you don't wake up now, you won't like the consequences ♥
c001_17_story3	My!\Who can tell what growing boys are thinking?
c001_17_true1	Master! You need to grow up if you're ever going to accomplish anything!
c001_17_true2	You want to know more about me that badly? Sorry, my height's a secret!
c001_17_true3	You musn't underestimate the Archfiend Contest!\It's tiring to go around fighting battles every day, isn't it?\That's why we should enjoy ourselves like this sometimes!
c001_17_victory	We won!
c001_boss_long	Here I come ♥
c001_boss_short	You need to be punished ♥
c001_ctskill	I hope you've got your will signed and squared away.
c001_death_1	I knew this would happen...
c001_death_2	Guh...!
c001_drive	Leave this to me ♥
c001_hit_1	Eeek!
c001_hit_2	Aaah?!
c001_hit_3	Was that it?
c001_prskill	I simply must to ask you to leave ♥
c001_skill	You're wide open ♥
c001_spa	Whew...\Nothing like a little self-care ♥
c001_startbt	I'll be sure to snatch victory for you, master ♥
c001_story1	Time to kick things up a notch!\The Archfiend Contest is ours for the taking!
c001_story2	I'm going to take a little break ♥
c001_story3	No more talking! We have a lot to do today!
c001_true1	Isn't there something you should be doing, master? The Archfiend Contest has already begun. If you're not careful, you'll be eaten alive.
c001_true2	Today's forecast is...downpours!\We'll be making it rain with the blood of the other Archfiend candidates ♥
c001_true3	This Archfiend Contest has been one strange thing after another.\It began out of nowhere, and there's far more contestants than usual.\But don't you worry, master. I'll figure something out ♥
c001_victory	Did you see me, master?
c002_boss_long	You seem surprised.
c002_boss_short	Good of you to come.
c002_ctskill	You're better than I thought.
c002_death_1	I guess...I underestimated you.
c002_death_2	Two seconds...until my last breath...
c002_drive	Let me help.
c002_hit_1	Haaa
c002_hit_2	Ouch!
c002_hit_3	Aaah...
c002_prskill	Don't underestimate me.
c002_skill	Stand back.
c002_spa	Not working today?
c002_startbt	I'll handle this.
c002_story1	My name is Lisa.\I'm a succubus here to serve my new master.
c002_story2	I've served two masters to date...\and it seems there truly are no perfect demons in this world.
c002_story3	Let us aim for what is best, not what is good enough.
c002_true1	I can tolerate a lot of things, but I refuse to tolerate no time off.
c002_true2	Hmm... Master truly has his work cut out for him in winning the Archfiend Contest.\Oh, hello, master. I didn't see you there.
c002_true3	You have made admirable progress as an Archfiend candidate.\You still have a long way to go, of course, but don't worry.\I'll do everything I can to make you into a capable demon.
c002_victory	Just as I expected.
c003_15_boss_long	How would you like to eat my boots?
c003_15_boss_short	Oh-ho-ho-ho-ho! It is I, Archfiend Davi!
c003_15_ctskill	Witness my power!
c003_15_death_1	How dare you...
c003_15_death_2	Right...
c003_15_drive	Now, kneel!
c003_15_hit_1	Aaah!
c003_15_hit_2	Eeek!
c003_15_hit_3	Ha!
c003_15_prskill	Try this on for size.
c003_15_skill	Aaah-ha-ha-ha-ha!
c003_15_spa	If only every day could be like today.
c003_15_startbt	Leave this to me!
c003_15_story1	It is I, Davi, the new Archfiend!\So, like, good to meet you and stuff.
c003_15_story2	You may fool God, but you'll never fool Archfiend Davi!
c003_15_story3	You're saying that I, Archfiend Davi, am nothing but a well-educated stalker?
c003_15_true1	Monaaa ♥ I,\Archfiend Davi, am going to make you my wife!
c003_15_true2	*sigh* When will I get to go back to the Infernal Realm...\This is all your fault, too!
c003_15_true3	It's all your fault that my plans failed!
c003_15_victory	Heh heh heh!\That was nothing!
c003_16_boss_long	How would you like to eat my boots?
