// key	CHAT_SPA_
sc001_spa_1	Whew...\Nothing like a little self-care ♥
sc001_spa_2	Bodybuilding, combat training, cultivating a wicked and cunning mindset... You have so much to learn, Master. But just stick with me!
sc001_spa_3	You seem to be having more fun than usual. Have you finally relaxed?
sc001_spa_max	A demon who fails in everything he does. He struggles, but still flounders. That's why no one thinks highly of him. Even so, I think all the demons who meet Master end up cheering him on ♥
sc002_spa_1	Not working today?
sc002_spa_2	This is not the time to be lazing about in a place like this. Master is... No, never mind.
sc002_spa_3	We can take it easy today. If we're busy every day, we'll collapse.
sc002_spa_max	A smile suits you, Master. What? It's not like me to say that? Then I will show you an example. Though... Smiling doesn't come so easily to me either, I admit.
sc003_spa_1	Oh no you don't!\This area's off-limits to demons!
sc003_spa_2	Mona went away... Even though she promised she'd go with me.
sc003_spa_3	Master! No work today, huh? If you're off, then you should play with me!
sc003_spa_max	Today, we're gonna put stickers aaall over your room. Tomorrow, we'll play Archfiend! And the day after that, we'll play on the slide at the park! Let's play all week long! And you're coming with, Master!
sc004_spa_1	What do you wanna play tomorrow?
sc004_spa_2	Captaaain! I ran around all day, so now I'm super hungry! Eeeheehee!
sc004_spa_3	Running around alone is kinda depressing. I'd be sooo happy if you'd run around with me, Captain. Heehee...
sc004_spa_max	The captain's everything to me! Having him run around with me is my favorite thing in the world!
sc005_spa_1	Stay out of my way.
sc005_spa_2	You're still acting all high and mighty in a place like this? You're irritating. Go away!
sc005_spa_3	Don't you think the Childs here are too laid-back? We're in the middle of the Archfiend Contest! *sigh* Gimme a break...
sc005_spa_4	For some reason, I'm more exhausted than usual today. Guess it won't hurt me to take it easy for once.
sc005_spa_5	Listen. I'm an important asset to the team. Don't bug me while I'm relaxing. Give me some space here, and then I'll show you what I can REALLY do in the next fight.
sc005_spa_max	What're you all nervous for? Chill out. I'm actually pretty fond of this hot spring. Since you brought me to such a nice place, I'll go all out during the next battle.
sc007_spa_1	My, uh, shoulders were stiff... *ahem*
sc007_spa_2	It's always Firo, Firo, Firo! If you say that name in front of me one more time, I'll knock you into next week!
sc007_spa_3	The only ones who have a right to claim victory are the ones who focus on the here and now, who put everything they've got into fighting every single day
sc007_spa_max	You're still thinkin' about past defeats?! Idiot! As long as you've got me, you'll never lose again!
sc008_spa_1	It's time to begin your training!
sc008_spa_2	You're acting weird. You trying to make me let my guard down so you can betray me? Ha! Fat chance that'll ever happen.
sc008_spa_3	I like this hot spring. Except some loser keeps bugging me.
sc008_spa_4	It's true that hot springs are oddly calming. But don't get the wrong idea. My attitude's not gonna do a 180 just because you brought me here.
sc008_spa_max	Is it really okay to accept this kinda treatment? I don't know. Not that I really care. I'll just pay you back for it when I get to fighting again. Yeah?
sc009_spa_1	Don't think this show's for free.
sc009_spa_2	Sure, you tell me to rest up, but that's just because you're going to work me like a dog again, right? I'm gonna pay for this somehow, I'm sure.
sc009_spa_3	Quit fussing over me. That's not gonna make me trust you. ...What? We're friends? Hm... Then I guess I can trust you.
sc009_spa_4	I was getting tired of fighting anyway, so this is perfect timing. I'm gonna take it nice and easy for once.
sc009_spa_max	What? You're not telling me to get out already, are you? If you're gonna let me soak, at least lemme get a little pruny. That way I can fight better.
sc010_spa_1	Aaah, now THIS is what I call relaxation.
sc010_spa_2	Wow, this is a pretty good idea, especially for you, darling ♥ Though I love beauty salons and aromatherapy as well, you know.
sc010_spa_3	Ugh, whenever I get close, you run away! How long are you going to play hard to get?
sc010_spa_max	Ugh, the one who falls in love first loses, right? Buuut, when it comes to demons, there's no telling what could happen. So let's just see how this goes, darling ♥
sc011_spa_1	Is the reward for my efforts?
sc011_spa_2	This routine is essential for maintaining my health, so please don't bother me.
sc011_spa_3	I've never been to such a wonderful hot spring! ...What was that look for? You don't believe me? That's so mean, Mr. Demon!
sc011_spa_max	Hello, Mr. Demon. This is it! Today's the day I'm gonna make you say it! I'm sick and tired of waiting!
