// key	GACHA_CHAT_
donation_1	I'll donate!
donation_2	Be meticulous with your usage...
donation_3	It's not much, but here...
donation_4	Here's some money for your troubles!
user_angly_1	Why?!
user_angly_2	Unacceptable!
user_happy_1	Sure!
user_happy_2	I did it!
user_love_1	So cute!
user_love_2	Aw, yeah!
user_sad_1	Aw, come on!
user_sad_2	Darn...
visitor_angly_1	Wh-What?
visitor_angly_2	Now I'm mad!
visitor_happy_1	Sure!
visitor_happy_2	Congratulations!
visitor_love_1	Amazing!
visitor_love_2	Awesome pull!
visitor_sad_1	Don't worry about it!
visitor_sad_2	Keep going!
