// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	Lost Hair	Each and every stand of this hair has spiritual traces on it.
10000102	Rusty Nail	A nail covered with reddish brown rust that's reminiscent of blood.
10000103	Reddened Thread	Be careful not to be pricked by the needle.\Blood dropped on the thread begets grudges.
10000104	Nail Clippings	Dispose of your nail clippings carefully.\Someone might want the bits of your soul that they carry.
10000105	Sooty Salt	Salt wards off evil;\sooty salt opens the gates to Hell.
10000201	Fluff	Cotton remnants pulled out of the belly of an abandoned doll.
10000202	Cotton Wad	A wad of cotton remnants\collected from abandoned dolls.
10000203	Old Cotton	Even inanimate objects develop power as they age.
10000204	Cobweb Cotton	Cotton made from Infernal Realm cobwebs.
10000205	Spore Cotton	Fluffy cotton made from blooming spores.
1010013	Rattle	Makes a great sound.\Good for pacifying babies or taunting enraged opponents.
1010014	Rattle	Makes a great sound.\Good for pacifying babies or taunting enraged opponents.
1010015	Rattle	Makes a great sound.\Good for pacifying babies or taunting enraged opponents.
1010023	Eraser	The long-range weapon of choice in the battlefield known as ‘a classroom.’\Watch out for friendly fire.
1010024	Eraser	The long-range weapon of choice in the battlefield known as ‘a classroom.’\Watch out for friendly fire.
1010025	Eraser	The long-range weapon of choice in the battlefield known as ‘a classroom.’\Watch out for friendly fire.
1010033	Plastic Bottle	A plastic bottle containing a carbonated drink.\Don't forget to stay hydrated.
1010034	Plastic Bottle	A plastic bottle containing a carbonated drink.\Don't forget to stay hydrated.
1010035	Plastic Bottle	A plastic bottle containing a carbonated drink.\Don't forget to stay hydrated.
1020043	Lollipop	Hard candy on a stick. Don't let the ‘hard’ part fool you, though:\As weapons go, it's not exactly high on durability.
1020044	Lollipop	Hard candy on a stick. Don't let the ‘hard’ part fool you, though:\As weapons go, it's not exactly high on durability.
1020045	Lollipop	Hard candy on a stick. Don't let the ‘hard’ part fool you, though:\As weapons go, it's not exactly high on durability.
1020053	Rolled-Up Newspaper	A Rolled-Up Newspaper.\Many aspiring youths used this to begin their swordsmanship training.
1020054	Rolled-Up Newspaper	A Rolled-Up Newspaper.\Many aspiring youths used this to begin their swordsmanship training.
1020055	Rolled-Up Newspaper	A Rolled-Up Newspaper.\Many aspiring youths used this to begin their swordsmanship training.
1020063	Rubber Hammer	Designed with safety first and foremost.\This hammer turned out to be a best-seller.
1020064	Rubber Hammer	Designed with safety first and foremost.\This hammer turned out to be a best-seller.
1020065	Rubber Hammer	Designed with safety first and foremost.\This hammer turned out to be a best-seller.
1020073	Pot Lid	Everyone’s held one of these before.\Anyone could use this as a weapon, men, women, youths, elderly.
1020074	Pot Lid	Everyone’s held one of these before.\Anyone could use this as a weapon, men, women, youths, elderly.
1020075	Pot Lid	Everyone’s held one of these before.\Anyone could use this as a weapon, men, women, youths, elderly.
1030083	Stand-Up Mic	Don't worry about dropping this mic. The stand makes for a good weapon, too.
1030084	Stand-Up Mic	Don't worry about dropping this mic. The stand makes for a good weapon, too.
1030085	Stand-Up Mic	Don't worry about dropping this mic. The stand makes for a good weapon, too.
1030093	Shuriken	A small shuriken used by Assassins.\There is a proper technique for throwing.
1030094	Shuriken	A small shuriken used by Assassins.\There is a proper technique for throwing.
1030095	Shuriken	A small shuriken used by Assassins.\There is a proper technique for throwing.
1030103	Boxing Gloves	Bright red boxing gloves.\Scoring a hit with these would even knock out the Devil.
1030104	Boxing Gloves	Bright red boxing gloves.\Scoring a hit with these would even knock out the Devil.
1030105	Boxing Gloves	Bright red boxing gloves.\Scoring a hit with these would even knock out the Devil.
1030113	Yo-Yo	Walk the dog!\Around the world! Cat's cradle! Wait, what was that last one?
1030114	Yo-Yo	Walk the dog!\Around the world! Cat's cradle! Wait, what was that last one?
1030115	Yo-Yo	Walk the dog!\Around the world! Cat's cradle! Wait, what was that last one?
1040143	High-Speed Dart	Modified to fly straighter and truer than any dart before...\But still just a regular dart.
1040144	High-Speed Dart	Modified to fly straighter and truer than any dart before...\But still just a regular dart.
1040145	High-Speed Dart	Modified to fly straighter and truer than any dart before...\But still just a regular dart.
1040153	Magic Wand	Press it to shoot out pollen.\In the wrong hands, this can be an extremely irritating weapon.
1040154	Magic Wand	Press it to shoot out pollen.\In the wrong hands, this can be an extremely irritating weapon.
1040155	Magic Wand	Press it to shoot out pollen.\In the wrong hands, this can be an extremely irritating weapon.
1040163	Mini Bazooka	It’s like a Bazooka but smaller.\The legality of owning this weapon is still being contended.
1040164	Mini Bazooka	It’s like a Bazooka but smaller.\The legality of owning this weapon is still being contended.
1040165	Mini Bazooka	It’s like a Bazooka but smaller.\The legality of owning this weapon is still being contended.
1040173	Stop Sign	A perfect replica of a Stop Sign.\Made with iron for some serious stopping power.
1040174	Stop Sign	A perfect replica of a Stop Sign.\Made with iron for some serious stopping power.
1040175	Stop Sign	A perfect replica of a Stop Sign.\Made with iron for some serious stopping power.
1050193	Axe	A practical weapon that can cut down human and demon alike.\Indispensable when making a campfire.
1050194	Axe	A practical weapon that can cut down human and demon alike.\Indispensable when making a campfire.
1050195	Axe	A practical weapon that can cut down human and demon alike.\Indispensable when making a campfire.
1050203	Halberd	Everything from the hilt to the blade has been crafted with attention to detail.\Takes a little practice to actually wield, though.
1050204	Halberd	Everything from the hilt to the blade has been crafted with attention to detail.\Takes a little practice to actually wield, though.
1050205	Halberd	Everything from the hilt to the blade has been crafted with attention to detail.\Takes a little practice to actually wield, though.
1050213	Fake Scimitar	The weapon of choice for bearded old men and pretty young girls alike.\It may not have a blade, but its strikingly realistic appearance makes it a popular cosplay prop.
1050214	Fake Scimitar	The weapon of choice for bearded old men and pretty young girls alike.\It may not have a blade, but its strikingly realistic appearance makes it a popular cosplay prop.
1050215	Fake Scimitar	The weapon of choice for bearded old men and pretty young girls alike.\It may not have a blade, but its strikingly realistic appearance makes it a popular cosplay prop.
1050223	Nunchuk	Whacha! An awesome and intimidating weapon!\Be careful not to whack yourself in the face.
1050224	Nunchuk	Whacha! An awesome and intimidating weapon!\Be careful not to whack yourself in the face.
1050225	Nunchuk	Whacha! An awesome and intimidating weapon!\Be careful not to whack yourself in the face.
1050303	Cute Broom	Looks great in fancy homes.\It’s not very good for sweeping.
1050304	Cute Broom	Looks great in fancy homes.\It’s not very good for sweeping.
1050305	Cute Broom	Looks great in fancy homes.\It’s not very good for sweeping.
1050313	Shrine Maiden's Dagger	A dagger carried by shrine maidens for self-defense.\It may be small for a blade, but it's still big and bulky as an accessory.
1050314	Shrine Maiden's Dagger	A dagger carried by shrine maidens for self-defense.\It may be small for a blade, but it's still big and bulky as an accessory.
1050315	Shrine Maiden's Dagger	A dagger carried by shrine maidens for self-defense.\It may be small for a blade, but it's still big and bulky as an accessory.
1050333	Quintessential Flask	A mysterious flask with a mysterious compound.\It cannot be recreated as the method has been lost.
1050334	Quintessential Flask	A mysterious flask with a mysterious compound.\It cannot be recreated as the method has been lost.
1050335	Quintessential Flask	A mysterious flask with a mysterious compound.\It cannot be recreated as the method has been lost.
1050343	Santa's Candy Cane	A cane full of candy.\May good little demons be blessed.
1050344	Santa's Candy Cane	A cane full of candy.\May good little demons be blessed.
1050345	Santa's Candy Cane	A cane full of candy.\May good little demons be blessed.
1050363	Spear of Divine Punishment	A holy spear born from a part of Maat's soul.\Its tip may be pointed straight at you.
1050364	Spear of Divine Punishment	A holy spear born from a part of Maat's soul.\Its tip may be pointed straight at you.
1050365	Spear of Divine Punishment	A holy spear born from a part of Maat's soul.\Its tip may be pointed straight at you.
1050373	Evil Flower	An unusually shaped sword modified specifically for Ashtoreth.\Once it goes in, it's not easy to get it back out.
1050374	Evil Flower	An unusually shaped sword modified specifically for Ashtoreth.\Once it goes in, it's not easy to get it back out.
1050375	Evil Flower	An unusually shaped sword modified specifically for Ashtoreth.\Once it goes in, it's not easy to get it back out.
1050383	Demeter Syringe	An angry vein provides power.\A syringe full of Demeter's rage.
1050384	Demeter Syringe	An angry vein provides power.\A syringe full of Demeter's rage.
1050385	Demeter Syringe	An angry vein provides power.\A syringe full of Demeter's rage.
1050413	Round Bouquet	A bouquet made of preserved flowers.\An eternal vow that will never wither.
1050414	Round Bouquet	A bouquet made of preserved flowers.\An eternal vow that will never wither.
1050415	Round Bouquet	A bouquet made of preserved flowers.\An eternal vow that will never wither.
1050423	Volleyball	Tristan's Beach Volleyball. Has extraordinary elasticity and durability.
1050424	Volleyball	Tristan's Beach Volleyball. Has extraordinary elasticity and durability.
1050425	Volleyball	Tristan's Beach Volleyball. Has extraordinary elasticity and durability.
1050433	Steel Rose	A jewel that shrinks and grows with Brigid's magic power.\There's no rose inside of it.
1050434	Steel Rose	A jewel that shrinks and grows with Brigid's magic power.\There's no rose inside of it.
1050435	Steel Rose	A jewel that shrinks and grows with Brigid's magic power.\There's no rose inside of it.
1050443	Stygian Grail	A stygian grail that holds Rita's fate. Proof of a maniacal zealot.
1050444	Stygian Grail	A stygian grail that holds Rita's fate. Proof of a maniacal zealot.
1050445	Stygian Grail	A stygian grail that holds Rita's fate. Proof of a maniacal zealot.
1050453	Wings of Loneliness	Wings bearing curious magic power.
1050454	Wings of Loneliness	Wings bearing curious magic power.
1050455	Wings of Loneliness	Wings bearing curious magic power.
1050463	Gothic Parasol	Bathory's gothic parasol.\Enhanced to block UV rays. Has the soft fragrance of dried roses.
1050464	Gothic Parasol	Bathory's gothic parasol.\Enhanced to block UV rays. Has the soft fragrance of dried roses.
1050465	Gothic Parasol	Bathory's gothic parasol.\Enhanced to block UV rays. Has the soft fragrance of dried roses.
1050473	Diamond Mic	Natalis's special interview mic.\Everyone can't help but confess their secrets in the face of this mic.
1050474	Diamond Mic	Natalis's special interview mic.\Everyone can't help but confess their secrets in the face of this mic.
1050475	Diamond Mic	Natalis's special interview mic.\Everyone can't help but confess their secrets in the face of this mic.
1050483	Plapa Glow Stick	A limited edition glow stick from the Planet Party Fan Club.\Essential for having a blast at concerts.
1050484	Plapa Glow Stick	A limited edition glow stick from the Planet Party Fan Club.\Essential for having a blast at concerts.
1050485	Plapa Glow Stick	A limited edition glow stick from the Planet Party Fan Club.\Essential for having a blast at concerts.
1050493	Jegi, New Year's Toy	Traditionally used in a winter game.\Used to be considered the main cause of navicular fracture.
1050494	Jegi, New Year's Toy	Traditionally used in a winter game.\Used to be considered the main cause of navicular fracture.
1050495	Jegi, New Year's Toy	Traditionally used in a winter game.\Used to be considered the main cause of navicular fracture.
1050503	Dana's Baculus	The crosier Dana uses to guide lost sheep.
1050504	Dana's Baculus	The crosier Dana uses to guide lost sheep.
1050505	Dana's Baculus	The crosier Dana uses to guide lost sheep.
1050523	Deviroid VI	A magic instant camera with which many truths have been documented.
1050524	Deviroid VI	A magic instant camera with which many truths have been documented.
1050525	Deviroid VI	A magic instant camera with which many truths have been documented.
1050533	Limos's Trident	Limos's special, short trident, which can skewer donuts\with alarming speed and accuracy. It doubles as a fork.
1050534	Limos's Trident	Limos's special, short trident, which can skewer donuts\with alarming speed and accuracy. It doubles as a fork.
1050535	Limos's Trident	Limos's special, short trident, which can skewer donuts\with alarming speed and accuracy. It doubles as a fork.
1050543	Arcus Diabolus: Bolverk	Noel's Nox Nyctores.\Can be used to attack any location she thinks of,\no matter how many walls are in the way.
1050544	Arcus Diabolus: Bolverk	Noel's Nox Nyctores.\Can be used to attack any location she thinks of,\no matter how many walls are in the way.
1050545	Arcus Diabolus: Bolverk	Noel's Nox Nyctores.\Can be used to attack any location she thinks of,\no matter how many walls are in the way.
1050553	Cain's Ferula	A staff that represents sacred authority.
1050554	Cain's Ferula	A staff that represents sacred authority.
1050555	Cain's Ferula	A staff that represents sacred authority.
1050563	Legendary Water Gun	A powerful water gun.\It bears the name Spittin' Dragon.
1050564	Legendary Water Gun	A powerful water gun.\It bears the name Spittin' Dragon.
1050565	Legendary Water Gun	A powerful water gun.\It bears the name Spittin' Dragon.
1050573	Keino's Scissors	It is said if you hold these scissors in your mouth in front of a mirror,\you'll see the person you're going to marry.
1050574	Keino's Scissors	It is said if you hold these scissors in your mouth in front of a mirror,\you'll see the person you're going to marry.
1050575	Keino's Scissors	It is said if you hold these scissors in your mouth in front of a mirror,\you'll see the person you're going to marry.
1050583	Thisbe's Hair Ornament	Multi-colored flowers give off a lovely impression.
1050584	Thisbe's Hair Ornament	Multi-colored flowers give off a lovely impression.
1050585	Thisbe's Hair Ornament	Multi-colored flowers give off a lovely impression.
1050593	Delicate Man's Sheep Horns	Infatuated Vincent's Sheep Horns.
1050594	Delicate Man's Sheep Horns	Infatuated Vincent's Sheep Horns.
1050595	Delicate Man's Sheep Horns	Infatuated Vincent's Sheep Horns.
1050603	Laima's Rapier	A weapon used by the man Laima once loved.
1050604	Laima's Rapier	A weapon used by the man Laima once loved.
1050605	Laima's Rapier	A weapon used by the man Laima once loved.
1050613	Treasured Sword of Nirvana	A treasured sword that destroys evil and spreads truth. It slices up demons and saves humanity.
1050614	Treasured Sword of Nirvana	A treasured sword that destroys evil and spreads truth. It slices up demons and saves humanity.
1050615	Treasured Sword of Nirvana	A treasured sword that destroys evil and spreads truth. It slices up demons and saves humanity.
1050623	God of War's Holy Ring	A charm that Ophois created through some unknown magic.\She claims it brings luck for guaranteed success.
1050624	God of War's Holy Ring	A charm that Ophois created through some unknown magic.\She claims it brings luck for guaranteed success.
1050625	God of War's Holy Ring	A charm that Ophois created through some unknown magic.\She claims it brings luck for guaranteed success.
1050633	Ski Set	Set of skis and ski poles for Eshu, who zooms across the snowscape.
1050634	Ski Set	Set of skis and ski poles for Eshu, who zooms across the snowscape.
1050635	Ski Set	Set of skis and ski poles for Eshu, who zooms across the snowscape.
1050643	Moonlight Amethyst Staff	A magic wand with a mystical-looking amethyst.\There's a dangerously maddening air about the gemstone.
1050644	Moonlight Amethyst Staff	A magic wand with a mystical-looking amethyst.\There's a dangerously maddening air about the gemstone.
1050645	Moonlight Amethyst Staff	A magic wand with a mystical-looking amethyst.\There's a dangerously maddening air about the gemstone.
1050653	Knight's Piercing Spear	Spear presented to a loyal knight by their master.
1050654	Knight's Piercing Spear	Spear presented to a loyal knight by their master.
1050655	Knight's Piercing Spear	Spear presented to a loyal knight by their master.
1050663	Pakhet's Chocolates	Pakhet's handmade chocolates.\They're extremely hard.
1050664	Pakhet's Chocolates	Pakhet's handmade chocolates.\They're extremely hard.
1050665	Pakhet's Chocolates	Pakhet's handmade chocolates.\They're extremely hard.
1050673	Lovely Ribbon	A ribbon with a bell attached.\Bestows a mysterious power only to those who know real love.
1050674	Lovely Ribbon	A ribbon with a bell attached.\Bestows a mysterious power only to those who know real love.
1050675	Lovely Ribbon	A ribbon with a bell attached.\Bestows a mysterious power only to those who know real love.
1050783	Pallas's Spear	An extension of Pallas that is endlessly cared for.\Well-maintained, it has a sharp glow.
1050784	Pallas's Spear	An extension of Pallas that is endlessly cared for.\Well-maintained, it has a sharp glow.
1050785	Pallas's Spear	An extension of Pallas that is endlessly cared for.\Well-maintained, it has a sharp glow.
1050793	Mint Balloon	A mint-scented balloon.\Demons with an aversion to mint beware.
1050794	Mint Balloon	A mint-scented balloon.\Demons with an aversion to mint beware.
1050795	Mint Balloon	A mint-scented balloon.\Demons with an aversion to mint beware.
1050803	Semele's Bouquet	Semele's bouquet she made\while dreaming of eternal love with Loki.
1050804	Semele's Bouquet	Semele's bouquet she made\while dreaming of eternal love with Loki.
1050805	Semele's Bouquet	Semele's bouquet she made\while dreaming of eternal love with Loki.
1050813	Passionate Mic	Channel Evil reporter A.I's\favorite microphone.
1050814	Passionate Mic	Channel Evil reporter A.I's\favorite microphone.
1050815	Passionate Mic	Channel Evil reporter A.I's\favorite microphone.
1050823	Phantom Guitar	An electric guitar Raffles plays as a warning before a crime.\Her riffs are the stuff of legend.
1050824	Phantom Guitar	An electric guitar Raffles plays as a warning before a crime.\Her riffs are the stuff of legend.
1050825	Phantom Guitar	An electric guitar Raffles plays as a warning before a crime.\Her riffs are the stuff of legend.
1050843	Bari's Folding Fan	Bari's folding fan, created to divine the fortunes of the living.
1050844	Bari's Folding Fan	Bari's folding fan, created to divine the fortunes of the living.
1050845	Bari's Folding Fan	Bari's folding fan, created to divine the fortunes of the living.
1050853	Fuma Kodachi	Ayane's blades, which suppress the opponent in one swift attack.
1050854	Fuma Kodachi	Ayane's blades, which suppress the opponent in one swift attack.
1050855	Fuma Kodachi	Ayane's blades, which suppress the opponent in one swift attack.
1050863	White Wings of Sorrow	Wings that embrace Rusalka's faltering emotions.
1050864	White Wings of Sorrow	Wings that embrace Rusalka's faltering emotions.
1050865	White Wings of Sorrow	Wings that embrace Rusalka's faltering emotions.
1050873	Handguards	They can break\any restraints.
1050874	Handguards	They can break\any restraints.
1050875	Handguards	They can break\any restraints.
1050883	Nirrti's Karma	The karma\Nirrti carries.
1050884	Nirrti's Karma	The karma\Nirrti carries.
1050885	Nirrti's Karma	The karma\Nirrti carries.
1050893	Amos Island Palm	A leaf from a palm tree that grows on Amos Island.\It can cut skin just by grazing it.
1050894	Amos Island Palm	A leaf from a palm tree that grows on Amos Island.\It can cut skin just by grazing it.
1050895	Amos Island Palm	A leaf from a palm tree that grows on Amos Island.\It can cut skin just by grazing it.
1050903	DF1 High Heels	A heel can be as deadly\as an ice pick in the right hand.
1050904	DF1 High Heels	A heel can be as deadly\as an ice pick in the right hand.
1050905	DF1 High Heels	A heel can be as deadly\as an ice pick in the right hand.
1050913	Aurora's Crown	A pointy crown with a radiance\that dazzles onlookers.
1050914	Aurora's Crown	A pointy crown with a radiance\that dazzles onlookers.
1050915	Aurora's Crown	A pointy crown with a radiance\that dazzles onlookers.
1050973	Sword of Freedom	A powerful weapon that cuts through all that binds her.
1050974	Sword of Freedom	A powerful weapon that cuts through all that binds her.
1050975	Sword of Freedom	A powerful weapon that cuts through all that binds her.
1050983	Vermilion Bird Mirage Shoes	Shoes that let you make sharp kicking moves.
1050984	Vermilion Bird Mirage Shoes	Shoes that let you make sharp kicking moves.
1050985	Vermilion Bird Mirage Shoes	Shoes that let you make sharp kicking moves.
1050993	Shine Axe	A powerful weapon that can blow away monsters at once.
1050994	Shine Axe	A powerful weapon that can blow away monsters at once.
1050995	Shine Axe	A powerful weapon that can blow away monsters at once.
1051003	Crushing Mallet	Swing this hammer with everything you have, and maybe you can escape from this place.
1051004	Crushing Mallet	Swing this hammer with everything you have, and maybe you can escape from this place.
1051005	Crushing Mallet	Swing this hammer with everything you have, and maybe you can escape from this place.
1051013	Universe Wand	A magical wand that embodies its user's determination to escape.
1051014	Universe Wand	A magical wand that embodies its user's determination to escape.
