// key	LIMITED_SHOP_HOME_NAME_	LIMITED_SHOP_SB_TITLE_	LIMITED_SHOP_SB_DESC_1_	LIMITED_SHOP_SB_DESC_2_	LIMITED_SHOP_SB_DESC_3_
20101	Start Pack I	New User Exclusive Package	Righteous Mafdet x1\Preacher Dana x1\Sunny Chang'e x1\Lost Maat x1, White Hands Isolde x1\Hyper Cosmim x5, 250,000 Onyx	54,000 Crystals\250,000 Onyx	5★ Prism Soul Carta Summon Ticket x5\5★ Soul Carta Summon Ticket x5\250,000 Onyx
20102	Start Pack II	New User Exclusive Bargain Crystals	10,000 Crystals\12 Blood Gems	100,000 Crystals\24 Blood Gems	100,000 Crystals\240 Blood Gems
20201	Child Summon\Support Pack	Only for newcomers!	5,400 Crystals\10x Child Summon Ticket x3	none	none
20202	A Grade Weapon\Support Pack	Only for 1 hour!	5,400 Crystals\5★ A Grade Weapon Guaranteed Summon Ticket x3	none	none
20203	A Grade Armor\Support Pack	Now or never!	5,400 Crystals\5★ A Grade Armor Guaranteed Summon Ticket x3	none	none
20204	A Grade Accessory\Support Pack	Limited time only!	5,400 Crystals\5★ A Grade Accessory Guaranteed Summon Ticket x3	none	none
20205	5★ Child\Support Pack	Only this one time!	5,400 Crystals\5★ Child Summon Ticket x1	none	none
20901	Event Package	New Child Event Package	Lord Kanaloa x1\Hyper Cosmim x1\Big Aurora Heart x5		
20902	Event Package	New Child Event Package	Northern Kubera x1\Hyper Cosmim x1\Big Aurora Heart x5		
20903	Event Package	New Child Event Package	Involved Vivian x1\Hyper Cosmim x1\Big Aurora Heart x5		
20904	Event Package	New Child Event Package	Peerless Power Hathor x1\Hyper Cosmim x1\Big Aurora Heart x5		
20905	Event Package	New Child Event Package	Full Bloom Yami x1\Hyper Cosmim x1\Big Aurora Heart x5		
20906	Event Package	New Child Event Package	Nocturnal Dianus x1\Hyper Cosmim x1\Big Aurora Heart x5		
20907	Event Package	New Costume Package	Snake Pit Bathory x1\Hot Spring Bathory x1\Blood Gems x30		
20909	Event Package	Event Costume Pack	Midnight Beauty Chang'e x1\Maid Mode Mayahuel x1\Hot Spring Chang'e x1\Hot Spring Mayahuel x1\Blood Gem x30		
20910	1,000th Day Celebration Package	1,000th Day Celebration Package	Crystal x10,000\Onyx x1,000,000\Gold x10,000,000		
30101	Return Pack	Returning User Exclusive Package	5★ A Weapon, Armor, Accessory\Summon Ticket x2 each, total 6\Weapon, Armor, Accessory\Crafting Stone x200 each, total 600	54,000 Crystals\5★ Child Summon Ticket x5\5★ Soul Carta Summon Ticket x5	100,000 Crystals\200 Blood Gems
30102	Newcomer Package	Newcomer Package	13,500 Crystals\Hyper Cosmim x5	1~5★ Evo. material select box x5 ea\5★ Big Aurora Heart x25\5★ Giga Cosmim x2	54,000 Crystals\2022 Costume Select Box x1
