// key	MAIL_SENDER_	MAIL_TITLE_	MAIL_TEXT_
1	Admin Team	Purchase Bonus	A bonus gift for making shop purchases.
1000	A.I	Devil Rumble Reward	You earned a league reward from A.I, the Devil Rumble announcer.\\"You got [reason] Rumble Points! Keep it up!"
10000	Mona	Group Reward	You earned a reward for completing a unit.
1001	A.I	Devil Rumble Reward	You earned a Ranking Reward from A.I, the Devil Rumble announcer.\\"Congratulations on achieving [reason]!\It makes me happy to see you getting stronger! Keep it up!"
1002	A.I	Devil Rumble Reward	You earned a reward for winning the Rival challenge!
1003	GM	GM Hunter Event Reward	You earned a bonus reward for beating a GM.
1004	A.I	Devil Rumble Mileage Reward	You earned a Devil Rumble Mileage Reward.
1005	Admin Team	Unlimited Duel Reward	Your Endless Duel rank reward.
1006	Admin Team	Unlimited Duel Reward	Your Endless Duel rank reward.
1007	Admin Team	Frontier Duel Reward	Your Endless Duel rank reward.
1008	Admin Team	Frontier Duel Reward	Your Endless Duel rank reward.
1009	Admin Team	Expert Duel Reward	Your Endless Duel rank reward.
1010	Admin Team	Expert Duel Reward	Your Endless Duel rank reward.
11	Admin Team	First Purchase	Purchase Event: First Purchase bonus.
11000	Mona	Summoning Live Donation	A friend who watched your Summoning Live donated to you!
11001	Mona	Summoning Live Reward	You received a Summoning Live participation reward.
11002	Mona	Summoning Live Reward	You won a Summon Ticket during a Summoning Live!
11003	Mona	Summoning Live Reward	You received a 3★ Double reward.
11004	Mona	Summoning Live Reward	You received a 3★ Triple reward.
11005	Mona	Summoning Live Reward	You received a 3★ Quadra reward.
11006	Mona	Summoning Live Reward	You received a 3★ Penta reward.
11007	Mona	Summoning Live Reward	You received a 3★ Hexa reward.
11008	Mona	Summoning Live Reward	You received a 4★ Double reward.
11009	Mona	Summoning Live Reward	You received a 4★ Triple reward.
11010	Mona	Summoning Live Reward	You received a 4★ Quadra reward.
11011	Mona	Summoning Live Reward	You received a 4★ Penta reward.
11012	Mona	Summoning Live Reward	You received a 4★ Hexa reward.
11013	Mona	Summoning Live Reward	You received a 5★ Double reward.
11014	Mona	Summoning Live Reward	You received a 5★ Triple reward.
11015	Mona	Summoning Live Reward	You received a 5★ Quadra reward.
11016	Mona	Summoning Live Reward	You received a 5★ Penta reward.
11017	Mona	Summoning Live Reward	You received a 5★ Hexa reward.
12	Admin Team	Total Charge	Purchase Event: Total Charge bonus.
12000	Mona	Summon Reward	You received a 3★ Double reward.
12001	Mona	Summon Reward	You received a 3★ Triple reward.
12002	Mona	Summon Reward	You received a 3★ Quadra reward.
12003	Mona	Summon Reward	You received a 3★ Penta reward.
12004	Mona	Summon Reward	You received a 3★ Hexa reward.
12005	Mona	Summon Reward	You received a 4★ Double reward.
12006	Mona	Summon Reward	You received a 4★ Triple reward.
12007	Mona	Summon Reward	You received a 4★ Quadra reward.
12008	Mona	Summon Reward	You received a 4★ Penta reward.
12009	Mona	Summon Reward	You received a 4★ Hexa reward.
12010	Mona	Summon Reward	You received a 5★ Double reward.
12011	Mona	Summon Reward	You received a 5★ Triple reward.
12012	Mona	Summon Reward	You received a 5★ Quadra reward.
12013	Mona	Summon Reward	You received a 5★ Penta reward.
