// key	PAID_ATTENDANCE_PRODUCT_NAME_	PAID_ATTENDANCE_PRODUCT_DESC_
10001	Premium Attendance I	Get up to 36 <5★ Childs>!
10002	Premium Attendance II	Get up to 20 <5★ Prism/Normal Carta>\and 12 <5★ Carta Tickets>!
10003	Crafting Login Pack	Get 700 Weapon, Armor, and Accessory Crafting Stones each\and 11 pieces of 5★ equipment!
10004	Premium Attendance III	Get up to 46 <5★ Childs>!
10005	Premium Attendance IV	Get up to 28 <5★ Prism/Normal Carta>\and 4 <5★ Carta Tickets>!
10006	2nd Anniversary Attendance	2nd Anniversary! Log in every day and get tons of fabulous items and more!
10007	Premium Attendance Ⅴ	Get up to 51 <5★ Childs>!
10008	Premium Attendance Ⅵ	Get up to 42 5★ Prism/Normal Carta!
10009	Ignition Core Support Attendance	Log in and get various rewards every day!
10010	3-year Thank-you Attendance Package	Log in and get various rewards every day!
10011	3-year Premium Attendance Package	Log in and get various rewards every day!
10012	Premium Attendance VII	Get up to 30 <5★ Childs>!
10013	Premium Attendance VIII	Get up to 30 <5★ Prism/Normal Carta>
10014	Summer Event Attendance	Log in and get various rewards every day!
10015	4-year Premium Attendance Package	Log in and get various rewards every day!
10016	4-year Thank-you Attendance Package	Log in and get various rewards every day!
10017	Premium Reward Support Attendance	Log in and get various rewards every day!
10018	Premium Attendance IX	Get up to 48 <5★ Childs>!
10019	Premium Attendance X	Get up to 72 <5★ Prism/Normal Carta>
