// key	PUPPET_ICON_	PUPPET_TARGET_VISUAL_	PUPPET_SKILL_DESC_
21120028			Effect 1:\Skill Gauge {value_1} for 1 Water Type Ally
21150011			Effect 1:\Skill Gauge Charge Speed {value_1} for 1 random Ally for {duration_1} seconds
21220029			Effect 1:\ATK {value_1} for 1 Fire Type Ally for {duration_1} seconds
21310012			Effect 1:\{p_value_1} Bonus Damage to attack target
21320009			Effect 1:\Vampirism (recover {p_value_1} HP on attack) to 1 Wood Type Ally except self for {duration_1} seconds
21320030			Effect 1:\Weak Point ATK Final Blow {value_1} for 1 Wood Type Ally for {duration_1} seconds
21350017			Effect 1:\Barrier {value_1} (can't be used with debuff barriers, consumed before HP for all Enemy attacks) to self for {duration_1} seconds
21410016			Effect 1:\AGL {value_1} for 1 Light Type Ally for {duration_1} seconds
21420004			Effect 1:\Enrage (store up to {p_value_1} of damage taken and retaliates with it once) to self for {duration_1} phases
21420031			Effect 1:\ACC {value_1} for 1 Light Type Ally for {duration_1} seconds
21520003			Effect 1:\DEF {value_1} for self for {duration_1} seconds
21520005			Effect 1:\All Skill Damage DEF {value_1} for self for {duration_1} seconds
21520032			Effect 1:\Debuff ACC {value_1} for 1 Dark Type Ally for {duration_1} seconds
22110074			Effect 1:\Poison (causes {p_value_1} damage every time the target takes action and Bonus Damage every time the target receives damage) on 1 random Enemy among attack targets for {duration_1} turns
22110079			Effect 1:\{p_value_1} Bonus Damage to attack target
22110081			Effect 1:\Skill Gauge {value_1} for attack target
22140046			Effect 1:\Skill Gauge Charge Speed {value_1} for 1 random Enemy among attack targets for {duration_1} seconds
22210048			Effect 1:\Bleed ({p_value_1} DoT every 2 seconds) on 1 random Enemy among attack targets for {duration_1} seconds
22220082			Effect 1:\Debuff Barrier {value_1}(can't be used with shields that absorb debuff damage, can't be used with other barriers) to 1 Fire Type Ally for {duration_1} seconds
22310043			Effect 1:\Absorbs {p_value_1} as own HP
22320041			Effect 1:\Heals {puppet_h_value_1} HP for self
22340075			Effect 1:\Weak Point DEF {value_1} for attack target for {duration_1} seconds
22450078			Effect 1:\Regen amount {value_1} for 1 Ally (Low HP) for {duration_1} seconds
22510057			Effect 1:\CRT Rate {value_1} for self for {duration_1} seconds
22510063			Effect 1:\CRT {value_1} for self for {duration_1} seconds
22510066			Effect 1:\Slide Skill Damage {value_1} for self for {duration_1} seconds
