// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	Invitation	From Death		
10020	Goddess	of the Deep Blue Sea		
10030	Davi's	Demonic Castle		
10040	Authority	Aegis's Coffin		
10050	Midsummer	Dream Demon		
10070	Halloween	Will o'the Wisp		
10080	Rivalry	Antinomy	N/A	N/A
10090	Love and Courage			
10100	Royal's	Victory Song		
10110	Center Stage	Danseuse		
10120	The nine-tailed	fox		
10130	Merciful	Goddess of Life		
10131	Field	Pan		
10140	Plentiful Harvest	Heket		
10150	Wandering	Alchemist		
10160	Capturing	Deborah		
10170	Demon-Made	Vampire		
10180	Bodyguard	Argos		
10190	Free	Cacus	BLANK	BLANK
10200	Boss	Kasumi?		
10210	Upright	Sunah		
10220	Eternal	Center		
10230	Play Nice	Nephthys		
10240	Gunslinger	Wyatt		
10261	Haughty	Bari		
10270	Imbiber	Phorcus		
10280	Peaceful	Harmonia		
10310	Reincarnation	Nicole		
10340	Chancing	Keino		
10350	Water Sprite	Xenie		
10370	Hellfire God	Sol		
10390	Bridal	Tiwaz		
2000	Ragna Break	The Infernal Realm's gate opens, and old gods descend.		
200001	Lv.1	Sign of the Devil	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200002	Lv.2	Descent of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200003	Lv.3	Charge of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200004	Lv.4	Attack of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200005	Lv.5	Assault of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200006	Lv.6	Raid of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200007	Lv.7	Attack of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200008	Lv.8	Plundering of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200009	Lv.9	Pursuit of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200010	Lv.10	Surrender of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200011	Lv.11	War of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200012	Lv.12	Fierce battle of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200013	Lv.13	Strife of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200014	Lv.14	Grappling of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200015	Lv.15	Struggle of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
