// key	RANDOM_BOX_NAME_	RANDOM_BOX_DESC_
30001	Gold Lucky Box	This box contains various rewards.
30002	Today's Lucky Box	A Lucky Box full of diverse rewards.
30003	Crafting Stone Lucky Box	A Lucky Box full of diverse rewards.
30004	Water Child Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30005	Fire Child Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30006	Wood Child Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30007	Light Child Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30008	Dark Child Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30009	Summon Ticket Lucky Box	This box contains various rewards.
30010	Crafting Tool Lucky Box	A Lucky Box full of diverse rewards.
30011	Daily Support Lucky Box	A Lucky Box full of diverse rewards.
30012	Demon Lucky Box	A present wrapped by a demon.\It was chosen to match the recipient's desires.\What's inside? That's a secret.
30013	Special Crafting Lucky Box	A Lucky Box full of diverse rewards.
30014	Pumpkin Donut Set	This box contains various rewards.
30015	Jack O'Lantern Donut Set	This box contains various rewards.
30016	Supporter Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30017	Fated Lucky Box	A Lucky Box full of diverse rewards.
30018	Amplified Core Lucky Box	A Lucky Box full of diverse rewards.
30019	Core Lucky Box	A Lucky Box full of diverse rewards.
30020	Amp. ATK Core Lucky Box	A Lucky Box full of diverse rewards.
30021	Amp. DEF Core Lucky Box	A Lucky Box full of diverse rewards.
30022	Amp. AGL Core Lucky Box	A Lucky Box full of diverse rewards.
30023	Amp. CRT Core Lucky Box	A Lucky Box full of diverse rewards.
30024	Ignition Celebration Child Lucky Box	A Lucky Box full of diverse rewards.
30025	Attacker Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30026	Defender Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30027	Healer Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30028	Debuffer Summon Ticket Lucky Box	A Lucky Box full of diverse rewards.
30029	Ignition Core Material Lucky Box	A Lucky Box full of diverse rewards.
30030	Ignition Core Material Lucky Box	A Lucky Box full of diverse rewards.
30031	Ignition Core Material Lucky Box	A Lucky Box full of diverse rewards.
30032	New Year's Pouch Lucky Box	A Lucky Box full of diverse rewards.
30033	Planet Party Lucky Box	Only the most fervent Planet Party fans can get these light sticks!\Whose will you get?
30034	2020 5★ Water Child Spa Skin Lucky Box	From launch until Dec 31, 2020.\Excludes crossover spa skins.
30035	2020 5★ Fire Child Spa Skin Lucky Box	From launch until Dec 31, 2020.\Excludes crossover spa skins.
30036	2020 5★ Wood Child Spa Skin Lucky Box	From launch until Dec 31, 2020.\Excludes crossover spa skins.
30037	2020 5★ Light Child Spa Skin Lucky Box	From launch until Dec 31, 2020.\Excludes crossover spa skins.
30038	2020 5★ Dark Child Spa Skin Lucky Box	From launch until Dec 31, 2020.\Excludes crossover spa skins.
30039	Ox Lucky Box	A Lucky Box full of diverse rewards.
30040	Ignition Core Material Lucky Box	A Lucky Box full of diverse rewards.
30041	Crafting Stone Lucky Box	A Lucky Box full of diverse rewards.
30042	10M Downloads Celebration Lucky Box	A Lucky Box full of diverse rewards.
30043	White Day Crafting Lucky Box	A Lucky Box full of diverse rewards.
30044	Everyday Lucky Box	A Lucky Box full of diverse rewards
30045	Crafting Stone Lucky Box	A Lucky Box full of diverse rewards.
30046	Core Material OR Crafting Stone Lucky Box	A Lucky Box full of diverse rewards.
30047	Event Lucky Box 1	A Lucky Box full of diverse rewards.
30048	Event Lucky Box 2	A Lucky Box full of diverse rewards.
