// key	SCENARIO_LOCATION_
AFEWDAYSAGO	A few days ago
AFEWHOURSAFTER	A few hours later, the classroom
AFEWHOURSAGO	A few hours earlier
AFTERAFEWDAYS	A few days later
ANHOURAGO	An hour ago...
ANHOUREFTER	After an hour
AWHILEAFTER	Later
AWHILEAGO	A while ago
BELIVE	After a while
CAFE1	In the City - Afternoon Cafe
HOME1	In the City - Home
HOME2	In the City - Relaxing at Home
HOME3	In the City - Crisis at Home
HOME4	In the City - Same Old Home
hospital	Hospital
HOSPITAL	病院
LONGAGO	Long ago
NAMSAN	In the City - A Certain Street
PRESENT	Back to the present
SATANTOURNAMENTSTART	Immediately after the Archfiend Contest began
SCHOOLSECRETLABOARTORY	Saint Michael's Secret Lab
SOMEWHEREINTHEHELL	Back to the Past, somewhere in the Infernal Realm
STMICHAEL	Saint Michael's School, Tokyo
STREET1	In the City - Street at Night
STREET2	In the City - Back Alley
STREET3	In the City - Deserted Back Alley
STREET4	In the City - A Certain Back Alley
TEMPORARYLODGINGS	Temporary shelter
THEDAY	That day
THEDAY_ONEDAYAGO	One day before that day
YESTERDAY	The day before
