// key	BACKGROUND_GROUP_NAME_	BACKGROUND_GROUP_DESCRIPTION_
basic_1	Arrière-plan	-
scenario_101	Spécial	Un arrière-plan spécial.
scenario_11	Ville de nuit	Des démons affamés errent dans les rues.\Avec de la chance, l'un d'entre eux pourrait exaucer vos vœux.
scenario_12	Terre sacrée	Ne baissez pas votre garde en entendant le mot "sacré".\Nombreux sont les démons au visage d'ange.
scenario_13	Après-midi paisible	À ce moment de la journée, les chats aiment faire la sieste.\Ne les dérangez pas !
scenario_14	Campagne verdoyante	Pour se détendre, rien de mieux que de quitter la ville.\Mona, pourquoi me suis-tu ?
scenario_15	Ville de l'ombre	Cette ville empeste la malice.\Et plus une ville est dangereuse, plus ses démons sont abominables.
scenario_16	Ville natale	Les démons sont d'agréables voisins.\Des salutations chaleureuses redonnent le sourire à un démon fatigué.
scenario_19	Intérieur	Puis-je entrer ?\C'est plutôt désordonné, chez vous.
scenario_21	Royaume des ténèbres	-
scenario_22	Magnifique Excursion	
