// key	CHARACTER_DUNGEON_NAME_	CHARACTER_DUNGEON_SECOND_NAME_	CHARACTER_DUNGEON_LOCATION_DESC_
1000	Collab.	SNOW MIKU	Souvenirs de la rencontre avec SNOW MIKU dans un paysage immaculé.
100001	Niveau 1	Désastre I	
100002	Niveau 2	Monde d'argent I	
100003	Niveau 3	Désastre II	
100004	Niveau 4	Rencontre I	
100005	Niveau 5	Rencontre II	
100006	Niveau 6	Promesse à deux I	
100007	Niveau 7	Monde d'argent II	
100008	Niveau 8	Promesse à deux II	
1010	Collaboration	SNOW MIKU	Souvenirs de la rencontre avec SNOW MIKU dans un paysage immaculé.
101001	Niveau 1	Désastre I (difficile)	
101002	Niveau 2	Monde d'argent I (difficile)	
101003	Niveau 3	Désastre II (difficile)	
101004	Niveau 4	Rencontre I (difficile)	
101005	Niveau 5	Rencontre II (difficile)	
101006	Niveau 6	Promesse à deux I (difficile)	
101007	Niveau 7	Monde d'argent II (difficile)	
101008	Niveau 8	Promesse à deux II (difficile)	
1100	Narratif	Guerre sacrée	Les cieux se déchirent\et le dieu des ténèbres descend sur terre.
110001	Niveau 1	Une prière pour les mourants I	
110002	Niveau 2	Une prière pour les mourants II	
110003	Niveau 3	Âme brisée I	
110004	Niveau 4	Tentation	
110005	Niveau 5	La chute	
110006	Niveau 6	Âme brisée II	
110007	Niveau 7	Croisade	
110008	Niveau 8	Incarnation	
1110	Narratif	Guerre sacrée	Les cieux se déchirent\et le dieu des ténèbres descend sur terre.
111001	Niveau 1	Une prière pour les mourants I (diff.)	
111002	Niveau 2	Une prière pour les mourants II (diff)	
111003	Niveau 3	Âme brisée I (difficile)	
111004	Niveau 4	Tentation (difficile)	
111005	Niveau 5	La chute (difficile)	
111006	Niveau 6	Âme brisée II (difficile)	
111007	Niveau 7	Croisade (difficile)	
111008	Niveau 8	Incarnation (difficile)	
1200	<Narratif>	Un nouveau Roi des démons	Le 3e Roi des démons fait son apparition...
120001	Niveau 1	Jugement dernier !	
120002	Niveau 2	Jugement dernier !!!	
120003	Niveau 3	Jugement dernier ?	
120004	Niveau 4	JUGEMENT DERNIER !	
1210	<Narratif>	Un nouveau Roi des démons	Le 3e Roi des démons fait son apparition...
121001	Niveau 1	Jugement dernier ! (difficile)	
121002	Niveau 2	Jugement dernier !!! (difficile)	
121003	Niveau 3	Jugement dernier ? (difficile)	
121004	Niveau 4	JUGEMENT DERNIER ! (difficile)	
1300	Narratif	Fleur froide	La noirceur d'une fille qui admire les démons.
130001	Niveau 1	Harcèlement	
130002	Niveau 2	Poursuite	
130003	Niveau 3	Fleur froide I	
130004	Niveau 4	Cache-cache	
130005	Niveau 5	Fleur froide II	
130006	Niveau 6	Jeu du mensonge	
130007	Niveau 7	Fleur froide III	
130008	Niveau 8	Folie silencieuse	
1310	Narratif	Fleur froide	La noirceur d'une fille qui admire les démons.
131001	Niveau 1	Harcèlement (difficile)	
131002	Niveau 2	Poursuite (difficile)	
131003	Niveau 3	Fleur froide I (difficile)	
131004	Niveau 4	Cache-cache (difficile)	
131005	Niveau 5	Fleur froide II (difficile)	
131006	Niveau 6	Jeu du mensonge (difficile)	
131007	Niveau 7	Fleur froide III (difficile)	
131008	Niveau 8	Folie silencieuse (difficile)	
1400	<Narratif>	Le règne de la justice	Nous avons tous des sentiments qui nous sont chers.
140001	Niveau 1	Une lueur dans l'obscurité	
140002	Niveau 2	Dilemme	
140003	Niveau 3	Le règne de la justice Ⅰ	
140004	Niveau 4	Laisser le passé derrière soi	
140005	Niveau 5	Le règne de la justice Ⅱ	
140006	Niveau 6	De vieux souvenirs	
140007	Niveau 7	Le règne de la justice Ⅲ	
140008	Niveau 8	La bonne voie	
1410	<Narratif>	Le règne de la justice	Nous avons tous des sentiments qui nous sont chers.
141001	Niveau 1	Difficile - Une lueur dans l'obscurité	
141002	Niveau 2	Difficile - Le bourbier	
141003	Niveau 3	Difficile - Le règne de la justice Ⅰ	
141004	Niveau 4	Difficile - Laisser le passé derrière soi	
141005	Niveau 5	Difficile - Le règne de la justice Ⅱ	
141006	Niveau 6	Difficile - De vieux souvenirs	
141007	Niveau 7	Difficile - Le règne de la justice Ⅲ	
141008	Niveau 8	Difficile - La bonne voie	
1500	Narratif	Réconciliation	L'histoire secrète du nouveau Midas
150001	Niveau 1	Évasion	
150002	Niveau 2	Crimes	
150003	Niveau 3	Réconciliation I	
150004	Niveau 4	Entrée en scène	
150005	Niveau 5	Réconciliation II	
150006	Niveau 6	Les Piliers	
150007	Niveau 7	Réconciliation III	
150008	Niveau 8	Frères	
1510	Narratif	Réconciliation	L'histoire secrète du nouveau Midas
151001	Niveau 1	DIFFICILE - Évasion	
151002	Niveau 2	DIFFICILE - Crimes	
151003	Niveau 3	DIFFICILE - Réconciliation I	
151004	Niveau 4	DIFFICILE - Entrée en scène	
151005	Niveau 5	DIFFICILE - Réconciliation II	
151006	Niveau 6	DIFFICILE - Les Piliers	
151007	Niveau 7	DIFFICILE - Réconciliation III	
151008	Niveau 8	DIFFICILE - Frères	
1600	<Narratif>	L♥VE hypermortel	Rêves d'une jolie rose rouge
160001	Niveau 1	L♥VE hypermortel I	
160002	Niveau 2	Attaque de cœur	
160003	Niveau 3	L♥VE hypermortel II	
160004	Niveau 4	Perte de sang mortelle I	
160005	Niveau 5	L♥VE hypermortel III	
160006	Niveau 6	Perte de sang mortelle II	
160007	Niveau 7	L♥VE hypermortel IV	
160008	Niveau 8	Frôler la mort	
1610	<Narratif>	L♥VE hypermortel	Rêves d'une jolie rose rouge
161001	Niveau 1	Difficile - L♥VE hypermortel I	
161002	Niveau 2	Difficile - Attaque de cœur	
161003	Niveau 3	Difficile - L♥VE hypermortel II	
161004	Niveau 4	Difficile - Perte de sang mortelle I	
161005	Niveau 5	Difficile - L♥VE hypermortel III	
161006	Niveau 6	Difficile - Perte de sang mortelle II	
161007	Niveau 7	Difficile - L♥VE hypermortel IV	
161008	Niveau 8	Difficile - Frôler la mort	
1700	Narratif	Ombre et Lumière	Ce qui est advenu de la fille et de son opposé
170001	Niveau 1	Présence	
170002	Niveau 2	Ombre et Lumière I	
170003	Niveau 3	Chevauchement	
170004	Niveau 4	Athéna	
170005	Niveau 5	Souvenirs	
170006	Niveau 6	Pallas	
170007	Niveau 7	Ombre et Lumière II	
170008	Niveau 8	Ensemble	
1710	Narratif	Ombre et Lumière	Ce qui est advenu de la fille et de son opposé
171001	Niveau 1	Présence (difficile)	
171002	Niveau 2	Ombre et Lumière I (difficile)	
171003	Niveau 3	Chevauchement (difficile)	
171004	Niveau 4	Athéna (difficile)	
171005	Niveau 5	Souvenirs (difficile)	
171006	Niveau 6	Pallas (difficile)	
171007	Niveau 7	Ombre et Lumière II (difficile)	
171008	Niveau 8	Ensemble (difficile)	
1900	Narratif	Serment éternel	Celle que le destin lie à Báthory
190001	Niveau 1	Serment éternel I	
190002	Niveau 2	Rencontre	
190003	Niveau 3	Serment éternel II	
190004	Niveau 4	L'histoire continue	
190005	Niveau 5	Serment éternel III	
190006	Niveau 6	Partenaire	
190007	Niveau 7	Serment éternel IV	
190008	Niveau 8	Rosaire en verre	
1910	Narratif	Serment éternel	Celle que le destin lie à Báthory
191001	Niveau 1	DIFFICILE - Serment éternel I	
191002	Niveau 2	DIFFICILE - Rencontre	
191003	Niveau 3	DIFFICILE - Serment éternel II	
191004	Niveau 4	DIFFICILE - L'histoire continue	
191005	Niveau 5	DIFFICILE - Serment éternel III	
191006	Niveau 6	DIFFICILE - Partenaire	
191007	Niveau 7	DIFFICILE - Serment éternel IV	
191008	Niveau 8	DIFFICILE - Rosaire en verre	
2000	<Narratif>	Duo de superproductions	Il ne peut y avoir deux étoiles sur scène ! \Retiens ton souffle et admire l'affrontement entre les deux super-divas !
200001	Niveau 1	Duo de superproductions Ⅰ	BLANK
200002	Niveau 2	Flash info	BLANK
200003	Niveau 3	Duo de superproductions Ⅱ	BLANK
200004	Niveau 4	Micro éteint	BLANK
200005	Niveau 5	Duo de superproductions Ⅲ	BLANK
200006	Niveau 6	Superproduction	BLANK
200007	Niveau 7	Duo de superproductions Ⅳ	BLANK
200008	Niveau 8	Prime Time	BLANK
2010	<Narratif>	Duo de superproductions	Il ne peut y avoir deux étoiles sur scène ! \Retiens ton souffle et admire l'affrontement entre les deux super-divas !
201001	Niveau 1	Duo de superproductions Ⅰ (difficile)	BLANK
201002	Niveau 2	Flash info (difficile)	BLANK
201003	Niveau 3	Duo de superproductions Ⅱ (difficile)	BLANK
201004	Niveau 4	Micro éteint (difficile)	BLANK
201005	Niveau 5	Duo de superproductions Ⅲ (difficile)	BLANK
201006	Niveau 6	Superproduction (difficile)	BLANK
201007	Niveau 7	Duo de superproductions Ⅳ (difficile)	BLANK
201008	Niveau 8	Prime Time (difficile)	BLANK
2100	Narratif	Mon cher	Une histoire douce-amère de la Saint-Valentin ?
210001	Niveau 1	Mon cher	
210002	Niveau 2	Quel genre de chocolat vous aimez ?	
210003	Niveau 3	Mon cher	
210004	Niveau 4	Un cadeau spécial	
210005	Niveau 5	Mon cher	
210006	Niveau 6	Le vol du gâteau au chocolat	
210007	Niveau 7	Mon cher	
210008	Niveau 8	Fait avec amour	
2110	Narratif	Mon cher	Une histoire douce-amère de la Saint-Valentin ?
211001	Niveau 1	Mon cher (difficile)	
211002	Niveau 2	Quel genre de chocolat vous aimez ? (difficile)	
211003	Niveau 3	Mon cher (difficile)	
211004	Niveau 4	Un cadeau spécial (difficile)	
211005	Niveau 5	Mon cher (difficile)	
211006	Niveau 6	Le vol du gâteau au chocolat (difficile)	
211007	Niveau 7	Mon cher (difficile)	
211008	Niveau 8	Fait avec amour (difficile)	
2200	Narratif	La révélation	Une lueur née du chaos et du vide : un abysse stygien.
220001	Niveau 1	Révélation divine I	
220002	Niveau 2	Détectives et adorateurs de démons	
220003	Niveau 3	Révélation divine II	
220004	Niveau 4	Pactes et souvenirs	
220005	Niveau 5	Révélation divine III	
220006	Niveau 6	L'encens de la prière	
220007	Niveau 7	Révélation divine IV	
220008	Niveau 8	Révélation divine de Dieu	
2210	Narratif	La révélation	Une lueur née du chaos et du vide : un abysse stygien.
221001	Niveau 1	Révélation divine I (difficile)	
221002	Niveau 2	Détectives et adorateurs de démons (difficile)	
