// key	CHAT_SPA_
sc001_spa_1	Pfiou... Il faut prendre soin de soi ♥
sc001_spa_2	La musculation, le combat, l'art de la sournoiserie... Vous avez tant à apprendre, Maître. Mais restez à mes côtés !
sc001_spa_3	Vous semblez vous amuser plus que d'habitude. Êtes-vous enfin détendu ?
sc001_spa_max	Un démon qui rate tout ce qu'il fait. Il essaie, mais échoue. C'est pour ça que tout le monde le méprise. Pourtant, tous les démons qui rencontrent le maître finissent par le soutenir ♥
sc002_spa_1	Vous ne travaillez pas aujourd'hui ?
sc002_spa_2	Ce n'est pas le moment de se prélasser dans un endroit pareil. Le maître est... Peu importe.
sc002_spa_3	Détendons-nous un peu. Qui veut aller loin ménage sa monture.
sc002_spa_max	Vous avez un beau sourire, Maître. Comment ça, ça ne me ressemble pas de dire ça ? Je vais vous montrer. Même si... moi aussi, j'avoue que j'ai du mal à sourire.
sc003_spa_1	Ah non ! Cette zone est interdite aux démons !
sc003_spa_2	Mona est partie... alors qu'elle avait promis de m'accompagner.
sc003_spa_3	Boss ! On se repose, aujourd'hui ? Alors viens jouer avec moi !
sc003_spa_max	Aujourd'hui, on met des autocollants partout dans ta chambre. Demain, on joue à la Reine des démons ! Et après-demain, on va au parc faire du toboggan ! On va s'amuser toute la semaine ! Et t'y échapperas pas, Boss !
sc004_spa_1	Tu voudras jouer à quoi, demain ?
sc004_spa_2	Capitaiiine ! J'ai couru toute la journée, j'ai les crocs ! Hi hi hi !
sc004_spa_3	Courir toute seule, c'est déprimant. Je serais trooop contente si tu courais avec moi, Capitaine. Hi hi...
sc004_spa_max	Le capitaine est tout, pour moi ! Quand il court avec moi, je suis la plus heureuse au monde !
sc005_spa_1	Hors de mon chemin.
sc005_spa_2	Tu continues à jouer les durs dans un endroit pareil ? Tu m'énerves. Va-t'en !
sc005_spa_3	Tu ne trouves pas que les Childs se relâchent trop ? On est en plein concours du Roi des démons ! *soupir* Désespérant...
sc005_spa_4	Bizarrement, je suis plus fatiguée que d'habitude. Ça ne peut pas faire de mal de me détendre un peu.
sc005_spa_5	Écoute. Je suis l'un des piliers de l'équipe. Laisse-moi me détendre tranquillement et je te montrerai ce dont je suis VRAIMENT capable au prochain combat.
sc005_spa_max	Pourquoi tu es nerveux ? Détends-toi. J'aime bien ces sources chaudes, finalement. Comme tu m'as fait découvrir cet endroit agréable, je donnerai le maximum au prochain combat.
sc007_spa_1	Je... J'avais une tension à l'épaule... Ahem.
sc007_spa_2	Pyro par-ci, Pyro par-là ! Si je t'entends encore prononcer ce nom, tu vas le regretter !
sc007_spa_3	Seuls ceux qui restent concentrés en toutes circonstances et qui donnent chaque jour le meilleur d'eux-mêmes au combat méritent d'être victorieux.
sc007_spa_max	Tu repenses encore à tes défaites passées ? Crétin ! Tant que je serai là, tu perdras plus jamais !
sc008_spa_1	Commençons ton entraînement !
sc008_spa_2	Tu agis bizarrement. Tu essaies de me faire baisser ma garde pour pouvoir ensuite me trahir ? Ha ! Tu es vraiment naïf.
sc008_spa_3	J'aime bien ces sources chaudes. Dommage qu'un minable me dérange.
sc008_spa_4	C'est vrai que ça détend, les sources chaudes. Mais ne te fais pas d'idées. Je ne vais pas me jeter dans tes bras parce que tu m'as amenée ici.
sc008_spa_max	Est-ce que je peux vraiment accepter ce genre de choses ? Je ne sais pas. Et je m'en fiche un peu. Je te revaudrai ça la prochaine fois que je me battrai. Ça te va ?
sc009_spa_1	Ce spectacle n'est pas gratuit.
sc009_spa_2	Je vois le genre. Tu me dis de me détendre pour pouvoir m'exploiter à nouveau derrière, hein ? Je vais le regretter, j'en suis sûr.
sc009_spa_3	Arrête de m'embêter. C'est pas comme ça que je vais te faire confiance. Quoi ? On est amis ? Hmm... Alors peut-être que si.
sc009_spa_4	J'en avais assez de me battre, de toute façon, alors ça tombe à pic. Je vais me la couler douce, pour une fois.
sc009_spa_max	Quoi ? Tu veux déjà que je sorte ? Quitte à me laisser prendre un bain, autant attendre que je sois un peu fripé. Je combattrai mieux, comme ça.
sc010_spa_1	Aaah, ÇA, c'est ce que j'appelle se détendre.
sc010_spa_2	Eh bah ! C'est une super idée, surtout venant de toi, mon chéri ♥ Mais j'aime aussi les salons de beauté et l'aromathérapie, tu sais ?
sc010_spa_3	Argh, dès que je m'approche, tu t'enfuis ! Tu comptes m'esquiver encore longtemps ?
sc010_spa_max	Argh... Le premier qui tombe amoureux de l'autre a perdu, c'est ça ? Mais avec les démons, il faut s'attendre à tout... Voyons un peu ce qui va se passer, mon chéri ♥
sc011_spa_1	C'est ça, ma récompense ?
sc011_spa_2	Ce rituel est crucial pour ma santé, alors ne me dérangez pas, s'il vous plaît.
sc011_spa_3	C'est la première fois que je vois des sources chaudes si merveilleuses ! Quoi ? Vous ne me croyez pas ? Ce n'est pas gentil, M. Démon !
sc011_spa_max	Bonjour, M. Démon. C'est le grand jour ! Aujourd'hui, je vais vous l'entendre dire ! J'en ai assez d'attendre !
sc012_spa_1	Hé... Arrêtez de me regarder comme ça. C'est... dérangeant.
sc012_spa_2	On peut vraiment devenir Roi des démons rien qu'en rassemblant des Childs ? Plus vous en aurez, plus ils seront durs à contrôler, vous savez.
sc012_spa_3	Oui, Capitaine ? Vous avez besoin de moi, on dirait. Je veux bien vous aider.
sc012_spa_4	Quoi qu'on en dise, vous ne ressemblez pas du tout à un démon, Capitaine. Peut-être que je peux vous faire confiance, après tout.
sc012_spa_max	Ne lâchez pas ma main. Je ferai tout mon possible pour vous aider. Et pour que vous deveniez le Roi des démons.
sc013_spa_1	Trop de repos ne risquerait pas de nous exposer à une attaque ?
sc013_spa_2	Ouf... Je me sens beaucoup mieux. Je n'ai pas trop mal à la tête, aujourd'hui. Enfin, comparé à d'habitude.
sc013_spa_3	Hmm... Vous devez vous ennuyer avec moi. Ne préférez-vous pas aller parler à d'autres Childs ?
sc013_spa_4	Je savais que vous viendriez. Vous êtes têtu, je vous l'accorde. Enfin bref, est-il arrivé quelque chose ? J'ai tout mon temps, vous savez.
sc013_spa_max	Parlons d'amour, voulez-vous ? La vitesse de la lumière est la seule constante. C'est pour ça que "tu es ma lumière" est le summum du romantisme.
sc014_spa_1	Quel endroit magnifique ! Merci, Maître.
sc014_spa_2	N'écoutez pas leurs absurdités ! Vous n'êtes pas destiné à être mauvais, Maître.
sc014_spa_3	Si je dois périr pour la justice, alors j'affronterai la mort sans peur. Pourquoi êtes-vous en colère ?
sc014_spa_4	Vous êtes mon modèle, Maître. Si je marche sur vos traces, je renaîtrai un jour en vraie gardienne de la justice.
sc014_spa_5	Je suis votre disciple, Maître. Je ferai régner la justice comme vous me le commanderez. Dites-moi, quel genre de monde désirez-vous ?
sc014_spa_max	Vous n'avez pas à souffrir, Maître. Suivez votre propre voie, comme vous l'avez fait jusqu'ici. Je serai à vos côtés.
sc017_spa_1	C'est comme si je fondais... C'est agréable...
sc017_spa_2	Vous êtes venu vous baigner aussi, Maître ? J'ai dû m'endormir. *bâille* Je suis réveillée, mais je crois que je vais refaire une sieste.
sc017_spa_3	Maître ! On joue à "va chercher" ? Ou vous préférez jouer dans l'eau ?
sc017_spa_max	J'avais tout donné et j'étais épuisée. Mais là, je suis gonflée à bloc ! Merci de m'avoir amenée aux sources chaudes. On fait quoi, aujourd'hui, Maître ?
sc018_spa_1	Hiii. Tu n'as rien vu, hein ?
sc018_spa_2	Tu es venu me voir ? Je ne te crois pas. Tu es venu voir un autre Child, pas vrai ? On ne peut pas faire confiance à un démon.
sc018_spa_3	Tu vas encore chanter une chanson à Noiron, aujourd'hui, non ? Hein ? Ton visage est tout rouge. Tu as attrapé froid ?
sc018_spa_4	Hi hi... On m'a encore fait un compliment, aujourd'hui ! Je suis de bonne humeur, alors je vais t'aider !
sc018_spa_max	J'aurais pu me battre mieux, mais je ne veux pas me blesser et je déteste avoir mal. Mais je veux vraiment t'aider.
sc019_spa_1	Tu prends souvent des bains ?
sc019_spa_2	Qui t'a autorisé à me parler ? Attends en silence que j'aie terminé mon bain.
sc019_spa_3	Hmm ? Tu viens voir si tout va bien ? Quel genre de démon fait ça ? Enfin, j'imagine que je peux bien te dire bonjour.
sc019_spa_max	Tu ne crois quand même pas avoir accompli ton devoir en m'amenant dans des sources chaudes, si ? Si tu veux que je te reconnaisse comme mon maître, agis de manière à me satisfaire. Alors, je t'accepterai.
sc020_spa_1	Bonjour, mon petit. Tu es plus précoce que je le croyais.
sc020_spa_2	Tu ne crois pas que tu es prétentieux, à te jeter des fleurs juste parce que tu m'as amenée dans un endroit comme celui-ci ? D'autres démons se moqueraient de ton immaturité.
sc020_spa_3	Je ne savais pas que les démons aussi aimaient les sources chaudes. On a des choses en commun, on dirait. Se pourrait-il que mon destin soit lié au tien ?
sc020_spa_4	Je le savais, mes dés avaient raison ! Ils avaient prédit ma bonne fortune dans un avenir proche, mais si je m'attendais à ça !
sc020_spa_max	Quand on est en forme, la chance nous sourit, tu sais ! Prépare-toi à la grandeur, mon petit, car je vais me battre avec toute ma puissance.
sc022_spa_1	J'adore la réalité augmentée. Il se passe un truc génial aux sources chaudes en ce moment !
sc022_spa_2	On rentre déjà ? Quel radin ! Laisse-moi tranquille si tu veux pas jouer. "Prends ça ! Technique ultime !" Pff... Allez, ça te tuerait de jouer le jeu ?
sc022_spa_3	Pourquoi tu fais la tête ? Hi hi... Tu t'es encore fait gronder par l'une de tes assistantes ? Arrête de chouiner et viens jouer ! Et te baigner dans les sources chaudes, aussi.
sc022_spa_4	Tu as encore besoin de moi ? Tu fais vraiment pitié. Mais ne t'inquiète pas, je ne dirai rien à tes assistantes ! Tu m'en dois une, d'accord ?
sc022_spa_max	Ne prends pas la grosse tête juste parce que tu m'as amené dans des sources chaudes. C'est pitoyable. Mais bon, c'était sympa, alors merci, je suppose...
sc026_spa_1	Voilà, M. Démon ! Je vais bien vous astiquer. Ha ha ha !
sc026_spa_2	Vous avez dit qu'elle n'était pas chaude ! Menteur ! Méchant ! Mais c'est vrai qu'on est bien... Enfin, vous êtes quand même un abruti ! Espèce de crétin !
sc026_spa_3	Vous aimez les chatouilles, M. Démon ? Moi, j'adore ça. Hi hi... Venez par ici, M. Démon ! M. Dééémooon...
sc026_spa_4	*soupir* L'eau est si chaude. Je me sens lourde. Si fatiguée... M. Démon, veillez sur moi jusqu'à mon réveil.
sc026_spa_max	Vous ne vous baignez pas, M. Démon ? L'eau est si bonne, pourtant. Ne vous retenez pas pour moi, allez, venez ! Venez, sinon je vous chatouille !
sc027_spa_1	Combat dans les sources chaudes !
sc027_spa_2	Tu es perdu ? C'est la première fois qu'on se voit, mais je suis ravie de te rencontrer.
sc027_spa_3	Je ne regrette pas de m'être battue pour toi. Je n'aurais jamais cru que tu m'emmènerais dans un endroit pareil. Mais ne te fais pas d'idées. Je n'ai pas combattu pour être récompensée. Je serai toujours là pour t'aider.
sc027_spa_max	La légendaire héroïne Cynthia ne se battra jamais pour un démon ! Mais elle mettra volontiers sa vie en jeu pour un ami !
sc028_spa_1	Aaah, comme c'est agréable ♥ H-Hé, que fais-tu ? Seuls les princes ont le droit de poser les yeux sur moi !
sc028_spa_2	Hé, que fais-tu là-bas ? Si tu n'as rien à faire, viens donc me faire un massage, ou bien rapporte-moi une boisson fraîche.
sc028_spa_3	Hé oh ! N'y a-t-il donc personne ? Comment oses-tu m'utiliser ainsi, moi, la princesse Léda ? Et tu penses pouvoir échapper à mon courroux en m'amenant dans des sources chaudes ? Eh bien... comme je suis magnanime, je fermerai les yeux pour cette fois.
sc028_spa_4	Hmm... Il paraît que tu te vantes de m'avoir à tes côtés. J'aimerais bien que tu t'abstiennes ! J'ai horreur des serviteurs stupides !
sc028_spa_max	Faut-il VRAIMENT que je le dise ? Très bien. Dans ce cas, voilà ce que je pense : la température et la qualité de l'eau, le degré d'humidité et les serviteurs sont à mon goût. Hi hi !
sc029_spa_1	Je vois la lune se refléter dans l'eau. C'est magnifique...
sc029_spa_2	Vous dites que vous ne voulez plus que je m'éloigne parce que vous m'avez amenée ici ? Mais je vois bien que vous amenez aussi d'autres Childs. Quel égoïste vous faites !
sc029_spa_3	Quand je me baigne, je rêvasse et perds la notion du temps. Alors continuez de me parler, s'il vous plaît.
sc029_spa_4	Quel endroit charmant ! Je n'en attendais pas moins de vous, Maître. La prochaine fois que nous sortirons, nous devrions revenir ici. Chut, j'ai pris ma décision, alors inutile de discuter.
sc029_spa_max	Vous n'avez pas l'air en forme. Montrez-moi les ténèbres qui hantent votre cœur et je les dissiperai pour vous. Comment ? Hi hi... C'est un secret.
sc030_spa_1	Hmm... C'est une affaire compliquée. Je ne suis pas sûre de pouvoir la résoudre.
sc030_spa_2	Une seconde. Je dois me concentrer. Les problèmes de société sont particulièrement difficiles à résoudre. Pourquoi ? Car il faut anticiper les changements culturels.
sc030_spa_3	Assistant. Pourquoi est-ce que tu écoutes sans rien dire ? Il faut une affaire fascinante pour enflammer le cœur d'un détective !
sc030_spa_4	Assistant. Depuis combien de temps est-ce qu'on se connaît ? Je pense qu'il est temps qu'on s'associe !
sc030_spa_max	Il était une fois une détective qui perdit ses parents. Elle se mit à la recherche de leur assassin et arriva finalement à la conclusion que le coupable était un démon. Après quoi, afin d'obtenir vengeance, elle devint elle aussi une démone. Alors ? Intéressant, comme histoire, non ?
sc031_spa_1	Je suis peut-être une chatte,\mais j'adore l'eau chaude...
sc031_spa_2	Quand Miaouaître est triste, sa queue tombe. Comme moi. Alors je comprends ce que ressent mon miaouaître !
sc031_spa_3	J'aime l'eau chaude, mais... les chats normaux non. Alors si un chaton se baigne avec vous, Miaouaître, c'est que vous avez gagné sa confiance.
sc031_spa_max	Miaouna m'a beaucoup appris. Je... Je suis un Child, alors il faut que j'aide mon miaouaître !
sc032_spa_1	Je vous ai fait cet œuf mollet avec l'eau des sources chaudes, Maître.
sc032_spa_2	Encore vous ? Hmm ? J'ai l'air troublée, vous dites ? Pas du tout. Je n'aime pas être dérangée quand je me repose, c'est tout.
sc032_spa_3	N'hésitez pas à me dire si vous êtes fatigué. Je serai toujours à vos côtés pour vous venir en aide.
sc032_spa_max	La meilleure soubrette est celle qui ne se fait pas remarquer ! Ça m'est égal si les gens ne comprennent pas. Tant que vous, vous comprenez, ça me va.
sc033_spa_1	Je sens mon cœur rajeunir.
sc033_spa_2	Qu'est-ce qui vous amène aujourd'hui ? Vous n'êtes pas là pour me surveiller, si ? Ne vous en faites pas. Je viens juste pour les sources chaudes.
sc033_spa_3	J'attendais votre venue avec impatience, Maître. Pourquoi ? C'est simple : parce que j'aime passer de bons moments avec vous.
sc033_spa_max	Tous les Childs ici sont les objets de votre affection... Moi y compris, bien sûr.
sc034_spa_1	H-Hmpf... C'est vraiment typique d'un démon, de traîner ici sans aucune gêne...
sc034_spa_2	Qu'est-ce qu'il y a ? Tu as l'air épuisé. On a tous besoin de souffler de temps en temps, tu sais.
sc034_spa_3	Ça faisait longtemps que je n'avais pas pris un congé si long. C'est bon de prendre du temps pour soi, parfois. Tu n'es pas d'accord ?
sc034_spa_max	Tu prends soin de moi, je le vois bien. C'est pour ça que tu m'amènes ici, hein ? Eh bien, merci beaucoup.
sc035_spa_1	Je voudrais... négocier avec le propriétaire de ces sources chaudes...
sc035_spa_2	Dire qu'il existe un endroit aussi magnifique, mais que seuls certains Childs peuvent y aller... C'est vraiment injuste. Peut-être qu'il y a une limite au bonheur sur Terre...
