// key	DUNGEON_NAME_	DUNGEON_SECOND_NAME_	DUNGEON_LOCATION_DESC_
1000	1-1	Tutoriel	Mona vous enseigne les bases ♥
100001	Niveau 1	Tutoriel 1	
100002	Niveau 2	Tutoriel 2	
100003	Niveau 3	Tutoriel 3	
100004	Niveau 4	Tutoriel 4	
1001	1-2	Déméter I	L'infirmière, un ange en blanc... Mais quid de Déméter ?
100101	Niveau 1	Donjon d'âme	
100102	Niveau 2	Pauvre démon	
100103	Niveau 3	Concours du Roi des démons	
100104	Niveau 4	Audacieuse Déméter	
1002	1-3	Centre-ville	Un endroit du centre-ville où les désirs humains s'épanouissent.
100201	Niveau 1	Centre-ville	
100202	Niveau 2	Centre-ville	
100203	Niveau 3	Centre-ville	
100204	Niveau 4	Centre-ville	
1003	1-4	Déméter II	Oh oh ! Pourquoi cette infirmière est-elle si forte ?
100301	Niveau 1	Le vrai visage de la succube	
100302	Niveau 2	Démon millénaire	
100303	Niveau 3	Désirs humains	
100304	Niveau 4	Envie et regret	
1004	1-5	Centre-ville	Un endroit du centre-ville où la passion s'exprime librement.
100401	Niveau 1	Centre-ville	
100402	Niveau 2	Centre-ville	
100403	Niveau 3	Centre-ville	
100404	Niveau 4	Centre-ville	
1005	1-6	Délices	La gourmandise est l'un des sept péchés capitaux. Gardez vos péchés pour vous !
100501	Niveau 1	Démon assidu	
100502	Niveau 2	Démon disqualifié	
100503	Niveau 3	Gaffe à répétition	
100504	Niveau 4	Vœu véritable	
1006	1-7	Centre-ville	Un endroit du centre-ville où les désirs abondent.
100601	Niveau 1	Centre-ville	
100602	Niveau 2	Centre-ville	
100603	Niveau 3	Centre-ville	
100604	Niveau 4	Centre-ville	
1007	1-8	Mammon	De quoi a besoin tout homme compétent ? D'un sac.\D'une sacoche, plus précisément. Vous n'en avez pas ? Procurez-vous-en une sans tarder !
100701	Niveau 1	Roi doré dévoilé	
100702	Niveau 2	Tout va bien	
100703	Niveau 3	Souverain absolu	
100704	Niveau 4	Sortie royale	
1010	1-1	Début	Attention à l'effondrement de la gestalt suite à un travail de routine excessif.
101001	Niveau 1	Difficile	
1011	1-2	Daphné	La vie est un enchaînement de combats.\Héros ! Lève-toi et sors vainqueur !
101101	Niveau 1	Difficile - Épreuve du héros	
1012	1-3	Centre-ville	Tourbillon de désirs ! Désirs appréciables ! Désirs désirables !
101201	Niveau 1	Difficile - Centre-ville	
1013	1-4	Phrygie	L'amour est un attachement. J'entends ses pas, car elle continue de me suivre...
101301	Niveau 1	Difficile - Lettre d'amour rouge	
1014	1-5	Centre-ville	Un tourbillon de passion et d'enthousiasme intolérable.
101401	Niveau 1	Difficile - Centre-ville	
1015	1-6	Délices	Ci-gît quelqu'un qui a commis le péché de gourmandise.
101501	Niveau 1	Difficile - Démon assidu	
1016	1-7	Centre-ville	Soif réprimée et fièvre de cheval.
101601	Niveau 1	Difficile - Centre-ville	
1017	1-8	Mayahuel	Vous ne m'avez pas choisi. C'est moi qui vous ai choisi.
101701	Niveau 1	Difficile - Collectionneur fou	
1100	2-1	Périphérie de la ville	Arrêtons-nous en périphérie de la ville.
110001	Niveau 1	Périphérie de la ville	
110002	Niveau 2	Périphérie de la ville	
110003	Niveau 3	Périphérie de la ville	
110004	Niveau 4	Périphérie de la ville	
1101	2-2	Pyro	Et dans son fantastique premier rôle : mon corps !
110101	Niveau 1	Garçon ordinaire	
110102	Niveau 2	Fougue contre paresse	
110103	Niveau 3	La générosité du champion	
110104	Niveau 4	Pyro l'enflammé	
1102	2-3	Périphérie de la ville	Dans une ruelle discrète de la périphérie de la ville...
110201	Niveau 1	Périphérie de la ville	
110202	Niveau 2	Périphérie de la ville	
110203	Niveau 3	Périphérie de la ville	
110204	Niveau 4	Périphérie de la ville	
1103	2-4	Cù-Sith	... Vit un oiseau sauvage qui attaque les queues d'abord.
110301	Niveau 1	Chasseur de démon	
110302	Niveau 2	Crocs orgueilleux	
110303	Niveau 3	Guerre de l'invocateur	
110304	Niveau 4	Rival du quartier	
1104	2-5	Ville tranquille	Une ville tranquille. Un carrefour proche qui mène au Royaume infernal.
110401	Niveau 1	Ville tranquille	
110402	Niveau 2	Ville tranquille	
110403	Niveau 3	Ville tranquille	
110404	Niveau 4	Ville tranquille	
1105	2-6	Ville tranquille	Une ville tranquille. Un carrefour à proximité qui mène au Royaume infernal.
110501	Niveau 1	Ville tranquille	
110502	Niveau 2	Ville tranquille	
110503	Niveau 3	Ville tranquille	
110504	Niveau 4	Ville tranquille	
1106	2-7	Freyja I	L'adorable chat s'est enfui !\Que la colère des cieux s'abatte sur toi ! Tu vas connaître l'enfer !
110601	Niveau 1	Chat blessé	
110602	Niveau 2	Drôle de numéro	
110603	Niveau 3	Invité indésirable	
110604	Niveau 4	Chat errant	
1107	2-8	Freyja II	Freyjaaaa, tout était de la faute du maître.\Oh, qui es-tu ? Freyr ?
110701	Niveau 1	Chat timide	
110702	Niveau 2	Chat sauvage	
110703	Niveau 3	Chat ronronnant	
110704	Niveau 4	Les sentiments d'un chat	
1110	2-1	Périphérie de la ville	Près de la périphérie de la ville, là où mes pieds se sont arrêtés.
111001	Niveau 1	Difficile - Périphérie de la ville	
1111	2-2	Muse	La nuit, le chant du démon résonne dans l'air de la ville sombre.
111101	Niveau 1	Difficile - Rock star solitaire	
1112	2-3	Périphérie de la ville	Près de la périphérie de la ville, une ruelle où j'ai rencontré un démon.
111201	Niveau 1	Difficile - Périphérie de la ville	
1113	2-4	Neith	Attention la tête ! Gare aux bombes !
111301	Niveau 1	Difficile - Champ de bataille	
1114	2-5	Ville tranquille	Traversez la porte du Royaume infernal près de la ville tranquille.
111401	Niveau 1	Difficile - Ville tranquille	
1115	2-6	Ville tranquille	J'ai frappé à la porte du Royaume infernal près de la ville tranquille.
111501	Niveau 1	Difficile - Ville tranquille	
1116	2-7	Hector	Je demande un lourd tribut !
111601	Niveau 1	Difficile - Guerre de mercenaires	
1117	2-8	Léda	Oui, princesse ?
111701	Niveau 1	Difficile - Ma princesse	
1200	3-1	Rue de l'université	Près de la rue de l'université. Quel est cet endroit ? Je ne le connais pas.
120001	Niveau 1	Rue de l'université	
120002	Niveau 2	Rue de l'université	
120003	Niveau 3	Rue de l'université	
120004	Niveau 4	Rue de l'université	
1201	3-2	Hécate	Humain ou démon, il est mal avisé\de juger quelqu'un à son apparence...
120101	Niveau 1	Démon de base	
120102	Niveau 2	Démon agréable	
120103	Niveau 3	Préférences de l'assistante	
120104	Niveau 4	Cœur de sorcière	
1202	3-3	Rue de l'université	Quelque part près de la rue de l'université. J'espère avoir rendez-vous avec quelqu'un que j'adore ♥
120201	Niveau 1	Rue de l'université	
120202	Niveau 2	Rue de l'université	
120203	Niveau 3	Rue de l'université	
120204	Niveau 4	Rue de l'université	
1203	3-4	Supérette	Un microcosme connu dans la ville sous le nom de "supérette".
120301	Niveau 1	Démon de supérette	
120302	Niveau 2	Boulette de riz	
120303	Niveau 3	Prérogatives et responsabilités du maître	
120304	Niveau 4	Une journée à la supérette	
1204	3-5	Rue de l'université	Quelque part près de la rue de l'université. J'entends quelqu'un crier...
120401	Niveau 1	Rue de l'université	
120402	Niveau 2	Rue de l'université	
120403	Niveau 3	Rue de l'université	
120404	Niveau 4	Rue de l'université	
1205	3-6	Rue de l'université	Quelque part près de la rue de l'université.\Je ne sais pas à quoi ressemble la personne que je dois rencontrer...
120501	Niveau 1	Rue de l'université	
120502	Niveau 2	Rue de l'université	
120503	Niveau 3	Rue de l'université	
120504	Niveau 4	Rue de l'université	
1206	3-7	Jeanne d'Arc I	Est-ce Dieu qui se reflète dans les yeux du prêtre perdu, ou un démon ?
120601	Niveau 1	La contre-attaque de Freyr	
120602	Niveau 2	Qui se ressemble se désassemble	
120603	Niveau 3	L'arrivée de la déesse	
120604	Niveau 4	Attaque par document	
1207	3-8	Jeanne d'Arc II	Les prières restent lettre morte en présence d'un démon...
120701	Niveau 1	Assaut frontal	
120702	Niveau 2	Allusion au pacte	
120703	Niveau 3	Doctrine habile	
120704	Niveau 4	Démon couard	
1210	3-1	Rue de l'université	Quelque part près de la rue de l'université. À présent, invoquez le démon !
121001	Niveau 1	Difficile - Rue de l'université	
1211	3-2	Fenrir	Un guerrier taciturne qui se bat au nom de l'amour.
121101	Niveau 1	Difficile - Démon de base	
1212	3-3	Rue de l'université	Quelque part près de la rue de l'université. Cette rencontre était prédestinée.
121201	Niveau 1	Difficile - Rue de l'université	
1213	3-4	Supérette	La supérette... le théâtre de la vie.
121301	Niveau 1	Difficile - Démon de supérette	
1214	3-5	Rue de l'université	Une chose effacée de l'existence erre sans but près de la rue de l'université.
121401	Niveau 1	Difficile - Rue de l'université	
1215	3-6	Rue de l'université	Les gens déambulent près de la rue de l'université à la recherche de quelque chose...
121501	Niveau 1	Difficile - Rue de l'université	
1216	3-7	Inanna	Le but de ma vie : devenir la méchante la plus odieuse du monde !
121601	Niveau 1	Difficile - L'attaque d'Inanna	
1217	3-8	Perséphone	La négociatrice rend visite à ceux qui ont échoué en Enfer.
121701	Niveau 1	Difficile - Assaut frontal	
1300	4-1	Centre-ville	Un lieu inhabituel près du centre-ville.
130001	Niveau 1	Centre-ville	
130002	Niveau 2	Centre-ville	
130003	Niveau 3	Centre-ville	
130004	Niveau 4	Centre-ville	
1301	4-2	Apollon	Dans le langage des fleurs, le tournesol symbolise l'adoration.
130101	Niveau 1	Naissance	
130102	Niveau 2	Les vénérés I	
130103	Niveau 3	Les vénérés II	
130104	Niveau 4	Confiance réciproque	
1302	4-3	Centre-ville	Le centre-ville, un lieu hors du spectre visible.
130201	Niveau 1	Centre-ville	
130202	Niveau 2	Centre-ville	
130203	Niveau 3	Centre-ville	
130204	Niveau 4	Centre-ville	
1303	4-4	Gynécologie-obstétrique	Les enfants sont notre espoir d'un avenir !
130301	Niveau 1	Béatitude	
130302	Niveau 2	L'excuse du démon	
130303	Niveau 3	Assez !	
130304	Niveau 4	Réceptacle inachevé	
1304	4-5	Ville nouvelle	Le lieu le moins élevé de la Terre, près de la ville nouvelle.
130401	Niveau 1	Ville nouvelle	
130402	Niveau 2	Ville nouvelle	
130403	Niveau 3	Ville nouvelle	
130404	Niveau 4	Ville nouvelle	
1305	4-6	Nemain I	Je pensais que Freyr était peut-être chic type, au fond...\J'avais tort.
130501	Niveau 1	Vrais sentiments	
130502	Niveau 2	Gaffe à répétition	
130503	Niveau 3	Le secret du sommeil profond	
130504	Niveau 4	L'exorcisme du démon	
1306	4-7	Nemain II	Freyr, tes Childs vont bien ?
130601	Niveau 1	Rupture des négociations	
130602	Niveau 2	Problèmes féminins dans le Royaume infernal	
130603	Niveau 3	L'Ordre de la furie	
130604	Niveau 4	Ça entre par une oreille et ça ressort par l'autre	
1307	4-8	Nemain III	Si je devais le résumer en quelques mots, je dirais\"J'ai hâte de ne plus jamais revoir ce pauvre type !"
130701	Niveau 1	Puissance maximale	
130702	Niveau 2	Bluff ou tactique ?	
130703	Niveau 3	Assiégé	
130704	Niveau 4	Commencement véritable	
1310	4-1	Centre-ville	Les enfants ne devraient pas jouer ici.
131001	Niveau 1	Difficile - Centre-ville	
1311	4-2	Érato	Ce parfum m'enivre.
131101	Niveau 1	Difficile - Parfum	
1312	4-3	Centre-ville	J'ai vu une femme entravée.
131201	Niveau 1	Difficile - Centre-ville	
1313	4-4	Gynécologie-obstétrique	Pouvons-nous aborder les mesures pour régler le problème de la population en déclin ?
131301	Niveau 1	Difficile - Un loup dans la bergerie	
1314	4-5	Ville nouvelle	J'entends des chuchotements près du coin de l'immeuble.
131401	Niveau 1	Difficile - Ville nouvelle	
1315	4-6	Yaga	C'est une vraie âme humaine ? Pas un effet spécial ?
131501	Niveau 1	Difficile - Sombre croyant	
1316	4-7	Éos	J'ai rencontré un Child libre et sincère.
131601	Niveau 1	Difficile - Destructrice	
1317	4-8	Ishtar	Ce n'est pas douloureux d'avoir des liens aussi serrés ?
131701	Niveau 1	Difficile - Les liens qui unissent	
1400	5-1	Banlieue	Une ruelle étroite près de la banlieue.
140001	Niveau 1	Banlieue	
140002	Niveau 2	Banlieue	
140003	Niveau 3	Banlieue	
140004	Niveau 4	Banlieue	
1401	5-2	Diane	La deuxième succube était vraiment forte...\Mona, à l'aide...
140101	Niveau 1	Le premier amour d'une fille	
140102	Niveau 2	Méthode rationnelle	
140103	Niveau 3	Aller simple	
140104	Niveau 4	Bel effort malgré tout	
1402	5-3	École primaire	Dans la pratique, je ne fais pas attention aux enfants.
140201	Niveau 1	Étoile montante	
140202	Niveau 2	Mini-mariée	
140203	Niveau 3	Sujets d'inquiétude	
140204	Niveau 4	Vocabulaire du démon	
1403	5-4	Ville nouvelle	Un lieu qui semble désert près de la ville nouvelle.
140301	Niveau 1	Ville nouvelle	
140302	Niveau 2	Ville nouvelle	
140303	Niveau 3	Ville nouvelle	
140304	Niveau 4	Ville nouvelle	
1404	5-5	Europe I	Un parfum fugace se dégage de l'entrée.\Où suis-je ?
140401	Niveau 1	Absentéiste	
140402	Niveau 2	Délinquant	
140403	Niveau 3	Enfant abandonné	
140404	Niveau 4	Équation de jeune fille	
1405	5-6	Ville nouvelle	Un lieu tranquille près de la ville nouvelle.
140501	Niveau 1	Ville nouvelle	
140502	Niveau 2	Ville nouvelle	
140503	Niveau 3	Ville nouvelle	
140504	Niveau 4	Ville nouvelle	
1406	5-7	Ville nouvelle	Une scène sans démons près de la ville nouvelle.
140601	Niveau 1	Ville nouvelle	
140602	Niveau 2	Ville nouvelle	
140603	Niveau 3	Ville nouvelle	
140604	Niveau 4	Ville nouvelle	
1407	5-8	Neith	Je sens que quelqu'un m'épie...\Que veux-tu ?
140701	Niveau 1	Heure des cours	
140702	Niveau 2	Filature	
140703	Niveau 3	Jeunesse rebelle	
