// key	GACHA_CHAT_
donation_1	Je vais donner !
donation_2	À utiliser méticuleusement...
donation_3	Ce n'est pas grand-chose, mais voilà...
donation_4	Voici quelques pièces pour la peine !
user_angly_1	Mais pourquoi ?
user_angly_2	C'est inacceptable !
user_happy_1	D'accord !
user_happy_2	J'ai réussi !
user_love_1	Adorable !
user_love_2	Oh ouais !
user_sad_1	Oh, allez !
user_sad_2	Zut...
visitor_angly_1	Qu-Quoi ?
visitor_angly_2	Ça m'énerve !
visitor_happy_1	D'accord !
visitor_happy_2	Félicitations !
visitor_love_1	Impressionnant !
visitor_love_2	Joli coup !
visitor_sad_1	Pas de souci !
visitor_sad_2	Continuons comme ça !
