// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	Cheveux tombés	Chacun des brins de ces cheveux montre des traces spirituelles.
10000102	Ongle rouillé	Ongle recouvert d'une rouille marron rougeâtre qui fait penser à du sang.
10000103	Fil rougi	Attention à ne pas se faire piquer par l'aiguille. \Le sang qui goutte sur ce fil provoque une certaine rancœur.
10000104	Rognures d'ongles	Soyez prudent quand vous jetez vos rognures d'ongles... \Quelqu'un pourrait les vouloir pour récupérer l'âme qu'elles portent en elles.
10000105	Sel charbonneux	Le sel tient généralement le Mal à distance. \Le sel charbonneux, lui, ouvre en grand les portes de l'Enfer.
10000201	Rembourrage	Restes de coton retirés du ventre d'une poupée abandonnée.
10000202	Boulette de coton	Boulette de coton \à base de rembourrage récupéré dans des poupées abandonnées.
10000203	Vieux coton	Avec l'âge, les objets inanimés finissent, eux aussi, par avoir de la puissance...
10000204	Coton en toiles d'araignée	Coton à base de toiles d'araignée du Royaume infernal.
10000205	Coton de spores	Coton duveteux à base de spores en pleine croissance.
1010013	Hochet	Fait un bruit excellent. Pratique pour calmer les bébés ou pour provoquer les adversaires enragés.
1010014	Hochet	Fait un bruit excellent. Pratique pour calmer les bébés ou pour provoquer les adversaires enragés.
1010015	Hochet	Fait un bruit excellent. Pratique pour calmer les bébés ou pour provoquer les adversaires enragés.
1010023	Gomme	Arme de longue portée de prédilection sur le champ de bataille que l'on appelle "salle de classe". Attention à ne pas toucher vos amis.
1010024	Gomme	Arme de longue portée de prédilection sur le champ de bataille que l'on appelle "salle de classe". Attention à ne pas toucher vos amis.
1010025	Gomme	Arme de longue portée de prédilection sur le champ de bataille que l'on appelle "salle de classe". Attention à ne pas toucher vos amis.
1010033	Bouteille en plastique	Une bouteille en plastique contenant une boisson gazeuse.\N'oubliez pas de vous hydrater.
1010034	Bouteille en plastique	Une bouteille en plastique contenant une boisson gazeuse.\N'oubliez pas de vous hydrater.
1010035	Bouteille en plastique	Une bouteille en plastique contenant une boisson gazeuse.\N'oubliez pas de vous hydrater.
1020043	Sucette	Un bonbon dur sur un bâton. Malgré sa dureté, c'est une arme qui se brise assez facilement.
1020044	Sucette	Un bonbon dur sur un bâton. Malgré sa dureté, c'est une arme qui se brise assez facilement.
1020045	Sucette	Un bonbon dur sur un bâton. Malgré sa dureté, c'est une arme qui se brise assez facilement.
1020053	Journal enroulé	Un journal enroulé. Beaucoup de combattants en herbe commencent leur entraînement avec.
1020054	Journal enroulé	Un journal enroulé. Beaucoup de combattants en herbe commencent leur entraînement avec.
1020055	Journal enroulé	Un journal enroulé. Beaucoup de combattants en herbe commencent leur entraînement avec.
1020063	Marteau en caoutchouc	La sécurité avant tout.\Ce marteau a eu un succès fou.
1020064	Marteau en caoutchouc	La sécurité avant tout.\Ce marteau a eu un succès fou.
1020065	Marteau en caoutchouc	La sécurité avant tout.\Ce marteau a eu un succès fou.
1020073	Couvercle	Tout le monde en a eu un en main. Hommes, femmes, jeunes ou personnes âgées, n'importe qui pourrait s'en servir d'arme.
1020074	Couvercle	Tout le monde en a eu un en main. Hommes, femmes, jeunes ou personnes âgées, n'importe qui pourrait s'en servir d'arme.
1020075	Couvercle	Tout le monde en a eu un en main. Hommes, femmes, jeunes ou personnes âgées, n'importe qui pourrait s'en servir d'arme.
1030083	Micro de scène	Supporte bien les lâchers.\Le support fait une bonne arme aussi.
1030084	Micro de scène	Supporte bien les lâchers.\Le support fait une bonne arme aussi.
1030085	Micro de scène	Supporte bien les lâchers.\Le support fait une bonne arme aussi.
1030093	Shuriken	Un petit shuriken utilisé par les assassins.\Le lancer obéit à une technique spécifique.
1030094	Shuriken	Un petit shuriken utilisé par les assassins.\Le lancer obéit à une technique spécifique.
1030095	Shuriken	Un petit shuriken utilisé par les assassins.\Le lancer obéit à une technique spécifique.
1030103	Gants de boxe	Des gants de boxe rouge vif.\Une droite avec eux mettrait même le Diable KO.
1030104	Gants de boxe	Des gants de boxe rouge vif.\Une droite avec eux mettrait même le Diable KO.
1030105	Gants de boxe	Des gants de boxe rouge vif.\Une droite avec eux mettrait même le Diable KO.
1030113	Yoyo	La promenade du chien ! Le tour du monde ! La tour Eiffel ! Attendez, c'était quoi, le dernier ?
1030114	Yoyo	La promenade du chien ! Le tour du monde ! La tour Eiffel ! Attendez, c'était quoi, le dernier ?
1030115	Yoyo	La promenade du chien ! Le tour du monde ! La tour Eiffel ! Attendez, c'était quoi, le dernier ?
1040143	Fléchette rapide	Modifiée pour filer plus droit que les autres fléchettes...\mais ça reste une fléchette ordinaire.
1040144	Fléchette rapide	Modifiée pour filer plus droit que les autres fléchettes...\mais ça reste une fléchette ordinaire.
