// key	SCENARIO_LOCATION_
AFEWDAYSAGO	Quelques jours plus tôt
AFEWHOURSAFTER	Quelques heures plus tard, dans la classe
AFEWHOURSAGO	Quelques heures plus tôt
AFTERAFEWDAYS	Quelques jours plus tard
ANHOURAGO	Une heure plus tôt...
ANHOUREFTER	Une heure plus tard...
AWHILEAFTER	Plus tard
AWHILEAGO	Quelque temps plus tôt
BELIVE	Après un certain temps
CAFE1	Dans la ville : un après-midi au café
HOME1	Dans la ville : à la maison
HOME2	Dans la ville : tranquille à la maison
HOME3	Dans la ville : crise à la maison
HOME4	Dans la ville : cette bonne vieille maison
hospital	Hôpital
HOSPITAL	病院
LONGAGO	Il y a longtemps
NAMSAN	Dans la ville : une certaine rue
PRESENT	De retour au présent
SATANTOURNAMENTSTART	Immédiatement après le début du concours du Roi des démons...
SCHOOLSECRETLABOARTORY	Laboratoire secret Saint Michel
SOMEWHEREINTHEHELL	De retour dans le passé, quelque part dans le Royaume infernal
STMICHAEL	École Saint Michel, à Tokyo
STREET1	Dans la ville : une rue la nuit
STREET2	Dans la ville : une ruelle
STREET3	Dans la ville : une ruelle déserte
STREET4	Dans la ville : une certaine ruelle
TEMPORARYLODGINGS	Abri temporaire
THEDAY	Ce jour-là
THEDAY_ONEDAYAGO	La veille de ce jour-là
YESTERDAY	La veille
