// key	CHAT_
c001_17_boss_long	じゃじゃ～ん！こんにちは、可愛いご主人さま～♥
c001_17_boss_short	いらっしゃ～い！
c001_17_ctskill	命中！
c001_17_death_1	ああっ…！戦略的撤退です…
c001_17_death_2	うぇ～ん…
c001_17_drive	は～い！モナの出番ですよ～！
c001_17_hit_1	ひぃん！
c001_17_hit_2	痛いですよ！
c001_17_hit_3	ああっ…
c001_17_prskill	覚悟してくださいね！
c001_17_skill	は～い、ご主人さま！
c001_17_spa	きゃ～！ご主人さまのバカ～！
c001_17_startbt	今日も元気にいきますよ！
c001_17_story1	こんにちは～可愛いご主人さま♥\ご主人さまのサポーターモナですよ～！
c001_17_story2	今起きなければ大変なことになりますよ～♥
c001_17_story3	まあ！\成長期の男の子の考えることは、ホントわからないですね！
c001_17_true1	ご主人さま～！まだまだ精神が未熟で全く使えないですね？！
c001_17_true2	ふふ～ん、モナのこと、そんなに知りたいんですか？身長は秘密ですよ！
c001_17_true3	魔王争奪戦を甘く見てはダメですよ！\だけど、毎日バトルは疲れますよね！\たまにはこんな楽しいこともあるべきです！
c001_17_victory	うふふふ！勝ちました！
c001_boss_long	モナ、推して参りま～す♥
c001_boss_short	お仕置きですよ♥
c001_ctskill	遺言、残してきましたか？
c001_death_1	この結果…予想はしてました…
c001_death_2	うううっ…！
c001_drive	モナにお任せくださ～い♥
c001_hit_1	いやぁん！
c001_hit_2	ああっ！？
c001_hit_3	へえ、それで？
c001_prskill	ご退場願いま～す♥
c001_skill	スキありで～す♥
c001_spa	ふぅ…\心も体もしっかりケアしなくちゃですよね♥
c001_startbt	ご主人さまのため、勝利をもぎ取りま～す♥
c001_story1	本気モード突入です！\魔王争奪戦、勝ち抜いていきましょう！
c001_story2	少しの間、お暇をいただきますね♥
c001_story3	おしゃべりは禁止です！今日はやることが山積みですよ～！
c001_true1	ご主人さま、ヒマそうですね～？魔王争奪戦は始まっているんです。油断していると、取って食われちゃいますよ～？
c001_true2	さて、今日のお天気ですが…\ズバリ、大雨です！\魔王候補生達の血の雨が降り注ぎま～す♥
c001_true3	今回の魔王争奪戦はイレギュラーだらけです。\突然の開催もそうですし、参加者の顔ぶれも非常に多彩です。\でも、このモナがいれば何とかなりますよ♥
c001_victory	モナの活躍、見届けてくれましたか？
c002_boss_long	驚いているようですね。
c002_boss_short	ようこそ、いらっしゃいました。
c002_ctskill	くっ、思ったよりやるようですね。
c002_death_1	甘く…見過ぎましたね。
c002_death_2	息の根が止まるまで、あと2秒…
c002_drive	お手伝いします。
c002_hit_1	くうっ！
c002_hit_2	ぐあっ！
c002_hit_3	アッ…
c002_prskill	舐めないでください。
c002_skill	下がっていてください。
c002_spa	今日は休養日ですか？ふふ。
c002_startbt	ここは私が。
c002_story1	サキュバスのリザと申します。\新しい御主人様の為、参上いたしました。
c002_story2	二人の主人に仕えましたが…\どうやら、完璧な悪魔はこの世にいないようですね。
c002_story3	最善ではなく最高を目指しましょう。
c002_true1	他の事なら我慢しますが、休暇を頂けないのは我慢なりませんね。
c002_true2	ふむ…やはり、\御主人様が魔王争奪戦で優勝するのは、\なかなか難しそうです。\あら、いらっしゃったんですか？
c002_true3	補欠悪魔から、魔王候補生に大きな一歩を踏み出しましたね。\まだまだ先は長いですが、大丈夫ですよ。\私が手を尽くして、使える悪魔にして差し上げますから。
c002_victory	うふっ、予想通りですね。
c003_15_boss_long	踏んづけてあげようかしら？
c003_15_boss_short	おーっほっほっほっほ！魔王ダビ様、登～場！
c003_15_ctskill	魔王ダビの実力よ！
c003_15_death_1	ちぃっ、生意気に…
c003_15_death_2	はぁ…
c003_15_drive	さあ、ひざまずけ！
c003_15_hit_1	うああ！
c003_15_hit_2	ぐひぃ！
c003_15_hit_3	はあっ！
c003_15_prskill	私の力、受けてみる？
c003_15_skill	あ～っはっはっはっは！
c003_15_spa	毎日が今日みたいだと良いわね～
c003_15_startbt	魔王ダビに任せなさい！
c003_15_story1	新しい魔王、ダビ様の登場よ！\ま、そんなわけで、これからよろしくね。
c003_15_story2	神は騙せても、この魔王ダビは騙すことはできないってことよ！
c003_15_story3	この魔王ダビが、教育がよくされたストーカーですって？
