// key	CHAT_SPA_
sc001_spa_1	ふぅ…\心も体もしっかりケアしなくちゃですよね♥
sc001_spa_2	筋肉トレーニングから戦闘訓練、\悪魔としての卑怯さと狡猾さ…\ご主人さまは学ぶことがいっぱいですね～\でも、モナと一緒にがんばりましょう！
sc001_spa_3	いつもより楽しそうですね～\リラックスできましたか～？
sc001_spa_max	やることなすこと失敗続きの悪魔。\努力しても要領が悪くて、なかなか認めて\もらえない。\でも、ご主人さまに出会った悪魔は\みんな応援してくれると思いますよ♥
sc002_spa_1	今日は休養日ですか？ふふ。
sc002_spa_2	こんなところで、\くつろいでいる場合ではないと思います。\御主人様は…いえ、なんでもありません。
sc002_spa_3	今日はのんびりしてもよさそうですね。\毎日忙しいと倒れてしまいます。
sc002_spa_max	御主人様には笑顔が似合います。\はい？私らしくないですって？\では、お手本をお見せします。\もっとも…私も得意ではありませんが。
sc003_spa_1	ダメ！\悪魔は立ち入り禁止だよ！
sc003_spa_2	モナ姉さま、いなくなっちゃった…\ダビと一緒に行くって約束したのに～
sc003_spa_3	ご主人！今日はバイトないの？\休みならダビと遊ぼう！
sc003_spa_max	今日は～ご主人の部屋にシールを\ペタペタ貼って～\明日は魔王ごっこ！あさっては公園ですべり台！\一週間思いっきり遊ぶぞ～！\ご主人も一緒だからね！
sc004_spa_1	明日は何して遊ぶ？
sc004_spa_2	隊長～！\私、一日中走ってたから、\すっごくお腹空いちゃった！\えへへ～
sc004_spa_3	独りで走るのは、やっぱり寂しいよ…\隊長が、私と一緒に走ってくれるなら、\すっごく幸せだけど…えへへ…
sc004_spa_max	私にとっては隊長が全てなんだ！\隊長と一緒に走ってる時が、一番好き！
sc005_spa_1	邪魔しないで。
sc005_spa_2	こんなところに来てまで、主人ぶりたいの？\うっとうしいわね、邪魔だからあっちに行って！
sc005_spa_3	ここにいるヤツら、\ちょっとのんき過ぎるんじゃない？\今は、魔王争奪戦の真っ最中なのよ！？\はぁ～…まったく…
sc005_spa_4	今日は何だか、いつもより疲れたわ。\一度くらい、ゆっくりしてもいいわよね…
sc005_spa_5	いい？アタシはとても重要な戦力なの。\だから、休んでる間は邪魔しないで。\そしたら次に戦う時も、アンタの役に立って\みせるから。
sc005_spa_max	どうして、そんなにそわそわしているの？\心配しないで、この温泉は\かなり気に入ってるから。\こんないい所に連れてきてもらったんだから、\次の戦いは期待していいわよ。
sc007_spa_1	あー…\あれだ、今日はたまたま肩こってたんだよ…\ご、ゴホン！
sc007_spa_2	ファイロ、ファイロ！\もう一度、俺の前でアイツの名前を言ったら\ぶっ飛ばすぞ！
sc007_spa_3	毎日毎日最善を尽くして戦って。\明日のことを考えないヤツだけが\勝利をつかみ取る権利があるんだ。
sc007_spa_max	まだ負けた時のこととか考えてんのか！？\バカ野郎！\俺がいる限り、お前は絶対負けないんだ！！
sc008_spa_1	それじゃ訓練を始めるか！
sc008_spa_2	疑わしいな。\私を安心させて裏切るつもりか？\はっ！\私はそんなちょろい相手ではないぞ。
sc008_spa_3	この温泉、気に入った。\つまらん奴がちょこちょこと\突っかかってくる事以外はな。
sc008_spa_4	確かに温泉に来ると、何故か心が落ち着く。\だけど勘違いするなよ？\温泉に連れてきてくれたからって、\態度が急変するような事はない。
sc008_spa_max	こんなにもてなしを受けてしまっていいのか\心配になるな。\まぁ構わないけど。\それだけ私も戦闘で恩返ししてるからな。\そうだろう？
sc009_spa_1	おい、タダで見物できると思うなよ。
sc009_spa_2	ゆっくり休めと言っておいて、\またこき使うつもりなんだろ？\当然、見返りはあるんだろうな？
sc009_spa_3	余計なお世話だ。\そんな事をしたって、\お前を信頼することはない。\なに？友達だと？\…友達か…友達なら信じられるのかもな。
sc009_spa_4	そろそろ、戦いにも\飽きてきたところだったから\ちょうどよかった。\久しぶりにゆっくり\休ませてもらうぜ。
sc009_spa_max	なんだ？\もう出ろっていうつもりじゃねぇよな？\どうせサービスしてくれるなら\もっとしてくれよ。\そしたら俺も、もっとしっかり戦ってやるぜ。
sc010_spa_1	はぁぁ～くつろいじゃうんだもんね～
sc010_spa_2	へぇ～ダーリンが考えたわりには、\なかなか良いじゃない♥\私、エステとか～アロマテラピーなんかも\好きなんだけどな～？
sc010_spa_3	も～私が近づくと、逃げるんだから～\いつまで、私と恋の駆け引きを\するつもりなの？
sc010_spa_max	も～先に惚れた方が負けよ、そうでしょ？\でも～悪魔の場合は、どうなるか\分からないじゃない？\だから、これからどうなるか見ててね、\ダーリン♥
sc011_spa_1	努力の報酬ですか？
sc011_spa_2	私の健康維持のための時間なので\邪魔しないでくださいね～
sc011_spa_3	こんなに素晴らしい温泉は初めてです！\あ、その表情！\私の話が信じられないんでしょう？\ひどいです、悪魔様！
sc011_spa_max	こんにちは、悪魔様。\今日こそは聞かせてもらおうと\待ってたんですよ～！\もう待ちくたびれちゃいました！
sc012_spa_1	その…そのように見つめられると…\なんだ？恥ずかしいというか…\きまり悪いというか…
sc012_spa_2	チャイルドを集めたからといって、\集めただけで果たして魔王になれるのか？\チャイルドが増えれば、それだけ\統率も簡単にはいかなくなるぞ？
sc012_spa_3	俺を呼んだか？キャプテン。\俺の助けが必要なようだな。\とりあえず、一旦は助けておく。
sc012_spa_4	キャプテンは、どうみても\悪魔には見えないな。\もしかしたら、キャプテンを信じて\ついていくのもいいかもしれん。
sc012_spa_max	俺の手を離すな。\俺の全力を尽くして助けてやろう。\そして、必ず魔王にしてやる。
sc013_spa_1	あまり休むと、隙が出来るのでは…？
sc013_spa_2	ふぅ…\さっきよりは、大分良くなりました。\今日は比較的頭痛がひどくありません。\はい。\あくまでも比較的…というだけですが。
sc013_spa_3	あの…私といると退屈だと思いますよ。\他のチャイルドに話しかけてあげたほうが\いいのではないですか？
sc013_spa_4	やっぱり来たんですね。\粘り強さに関しては認めます。\さて、なにかありましたか？\時間はたっぷりあるので、話を聞きますよ。
sc013_spa_max	ロマンについて語ってみましょうか。\光の速度だけは不変です。\だから「あなたは私の光」という表現は、\とてもロマンチックですね。
sc014_spa_1	本当にいいところですね。\ありがとうございます、ご主人様。
sc014_spa_2	理不尽なことに屈服しないでください！\卑屈な姿は、ご主人様には似合いません。
sc014_spa_3	正義を守るためなら、\死など怖くありません。\…なぜそんなに怒るのですか？
sc014_spa_4	ご主人様は私の理想です。\あなたを目指して走っていれば、\いずれは私も、真の正義の守護者へ\生まれ変わることができるでしょう。
sc014_spa_5	私は、ご主人様の使徒。\ご主人様の正義は、私が必ず成し遂げます。\さぁ、おっしゃってください。\ご主人様が願う世の中を…
sc014_spa_max	ご主人様は苦労する必要はありません。\今までそうしてきたように、\ご自身の道を行けば良いのです。\私は、その後を追いかけますから…
sc017_spa_1	とろけるですだ…\エへへ…
sc017_spa_2	ご主人さまも、入りに来ただか？\オラ、うっかり寝ちまったみたいだ。\…ふわぁ～あ。\目が覚めたけど、もうちょっと寝るだ～
sc017_spa_3	ご主人さま～！\今日は、オラとボール遊びなんてどうだ？\それとも、水遊びがいいか？
sc017_spa_max	思いっきり遊んだから、\すごく疲れただ～でも、ご主人さまが、\温泉に連れてきてくれたから、\元気いっぱいになっただ。\ご主人さま、今日は何して遊ぶべ？
sc018_spa_1	キャッ。何も見てないよね？ね？
sc018_spa_2	私に会いに来たの？\嘘よ…他のチャイルドに\会いに来たんでしょ？\悪魔の話は信じないんだから。
sc018_spa_3	あのね、今日もダロンに\歌を歌ってくれるよね？\あれ？顔が真っ赤になったけど\風邪でも引いたの？
sc018_spa_4	えへへ…\私、今日も褒められちゃった！\気分がいいから、これからもずっと\助けてあげるね！
sc018_spa_max	もっと、一生懸命戦うこともできたけど…\怪我したくないし、痛いのも嫌だけど、\助けてあげたいっていう気持ちは本当だよ？
sc019_spa_1	オマエ…風呂にはよく入るのか？
sc019_spa_2	だれが勝手に話しかけていいと言った？\沐浴が終わるまで静かに待っていろ。
sc019_spa_3	何だ？着いたから報告しに来た？\悪魔のくせに何だその態度は…\まぁいい、挨拶くらいはしてやろう。
sc019_spa_max	温泉に連れてきた程度で、主人の役目を\果たしたと思ってるんじゃないだろうな？\私に主人だと認めてほしいなら、\私が気に入るように振る舞ってみろ。\そしたら、主人だと認めてやろう。
sc020_spa_1	あら、おチビさんったら。\案外おませなのね。
sc020_spa_2	おチビさん、ちょっと良いところへ\連れて来てくれたからって、\いい気になってるんじゃない？\他の悪魔達は、こんなところよりも、\もっと良いところを知ってるものだよ。
sc020_spa_3	悪魔も温泉が好きだったとは\知らなかったな。\意外と趣味が合うよね。\もしかして、私とおチビさんは\運命で結ばれているのかな？
sc020_spa_4	やっぱり私のサイコロは間違えてなかった！\幸運の目が出たから期待してたけど、\こんな楽しみを貰えるなんて…
sc020_spa_max	疲れが取れると、運気も上がるね！\期待してくれてていいよ、おチビさん。\ちゃんと全力で戦ってあげるから。
sc022_spa_1	おーARサイコー！\現在、温泉イベント絶賛開催中！
sc022_spa_2	もう帰るっすか？ホントせこいっすね。\これから10時間は遊ぶつもりなんで\どっか行ってもらっても、いいっすか？\いけー！そこだーー！！\悪魔氏うるさいっすよ！
sc022_spa_3	なんでそんな表情してるんすか？\はっは～ん…またサポーターに嫌味でも\言われたっすね～？\そんなぶつぶつ文句言うのはやめて、\ゲームを楽しむっすよ！…あと温泉。
sc022_spa_4	まーたボクのところに逃げて来たっすか？\ホント情けないご主人サマすね。\まぁ心配しなくていいすよ、サポーターには\言いつけないっすから！\…1つ貸しっすよ？
sc022_spa_max	温泉に連れてきたからって、あまり\自分の手柄にしないほうがいいっすよ？\みっともないっすから。\…まぁでも、いちおー感謝はしてるっす。\あざっす…
sc026_spa_1	アクマさま～！\キレイキレイしてあげる～\ふふふ～！
sc026_spa_2	熱くないって言ったのに！嘘ついたね！\ひどい！信じらんない！\…あ、でも少し温かそうかも…\それでもひどい！ばかーーー！
sc026_spa_3	デビルさま、くすぐったいの好き？？\オーロラは、くすぐったいの好き…\ふふふ～…デビルさまこっち来て！\デビルさ～ま～
sc026_spa_4	ふぁ～…温かい…体中がだるい～\眠い…デビルさま…オーロラが起きるまで\守ってくれないとだめだよ。
sc026_spa_max	デビルさまは温泉に入らないの？\こんなに温かいのに…\デビルさまも温泉好きならいいのに～\入ってこないと、オーロラがくすぐるぞ～？
sc027_spa_1	温泉、大激突！
sc027_spa_2	道に迷ったのかい？\キミとは初めて会うけど、会えて嬉しいよ。
sc027_spa_3	キミのために戦った甲斐があった。\こんな素敵なところへ招待してくれるとはね。\しかし、勘違いしないでくれ。\このために頑張ったわけじゃない。\キミが呼んでくれたらいつでも助けに行くよ。
sc027_spa_max	伝説のヒーローキンティアは、\悪魔のためには戦わない！しかーし！\心を分かち合った友のためなら\命もかけられる！
sc028_spa_1	はぁ、気持ちいい～♥\…な、何見てんのよ！\あたしを見ていいのは王子様だけよ！
sc028_spa_2	ちょっと、そこで一体何をしているの？\ヒマなら、こっちに来て肩でも揉むか、\冷たい飲み物でも買ってきなさいよ。
sc028_spa_3	誰か～！ちょっと、誰もいないの？\このレダ姫をこき使っておいて、\この程度の温泉ですまそうだなんて…\しょうがないからちょっとは、\大目に見てあげるわよ。
sc028_spa_4	ふ～ん…噂によると、このレダ姫を\あちこちに自慢してるみたいだけど…\ほどほどにしなさいよね！\馬鹿な使用人なんて…嫌よ！
sc028_spa_max	気に入ってるって言わなきゃダメかしら？\あたしの返事が聞きたいなら聞かせてあげる。\水の温度、湿度、泉質、あと使用人まで、\全部あたしのお気に入りよ。ふふっ。
sc029_spa_1	あら、水面に月が映ってますわ…\綺麗ですわねぇ…
sc029_spa_2	温泉に連れて来たのだから、これからは\外を出歩かないでほしいですって？\どうせ、わたくし以外のチャイルドも\ここに連れて来るのでしょう？\…自分勝手ですね。
