// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	落とした髪の毛	髪の毛一本一本に魂の痕跡が宿っている。
10000102	錆びた釘	錆びた釘が血のように赤い。
10000103	赤く染まった糸	鋭い針に用心すべし。\血を含んだ糸は恨みを呼ぶ。
10000104	誰かの爪	切った爪はちゃんと始末しよう。\爪に宿った魂の欠片を盗まれるかもしれない…
10000105	焦げた塩	塩は悪霊を浄化するが、\焦げた塩は地獄の扉を開く。
10000201	綿屑	捨てられた人形の中から取り出した綿屑。
10000202	綿のかたまり	縫いぐるみの中から取り出した綿屑を集めて\作った綿のかたまり。
10000203	古綿	古い物には特別な力が宿る。
10000204	蜘蛛綿	魔界の蜘蛛の巣を丸めて作った綿。
10000205	カビ綿	カビから作ったふわふわな綿。
1010013	ガラガラ	軽快な音がする。\赤ちゃんをあやしたり、怒った相手を挑発したりできる。
1010014	ガラガラ	軽快な音がする。\赤ちゃんをあやしたり、怒った相手を挑発したりできる。
1010015	ガラガラ	軽快な音がする。\赤ちゃんをあやしたり、怒った相手を挑発したりできる。
1010023	消しゴム	教室という戦場で、頼りになる遠距離攻撃手段。\流れ弾には気を付けよう。
1010024	消しゴム	教室という戦場で、頼りになる遠距離攻撃手段。\流れ弾には気を付けよう。
1010025	消しゴム	教室という戦場で、頼りになる遠距離攻撃手段。\流れ弾には気を付けよう。
1010033	ペットボトル	炭酸飲料のペットボトル。\戦いのあとの水分補給に。
1010034	ペットボトル	炭酸飲料のペットボトル。\戦いのあとの水分補給に。
1010035	ペットボトル	炭酸飲料のペットボトル。\戦いのあとの水分補給に。
1020043	ロリポップ	棒のついた甘くて硬いキャンディー\キャンディー部分の耐久性は棒と比べ低いと思われる。
1020044	ロリポップ	棒のついた甘くて硬いキャンディー\キャンディー部分の耐久性は棒と比べ低いと思われる。
1020045	ロリポップ	棒のついた甘くて硬いキャンディー\キャンディー部分の耐久性は棒と比べ低いと思われる。
1020053	丸めた新聞紙	棒状に丸めた新聞紙。\幼き勇者たちの御用達の剣。
1020054	丸めた新聞紙	棒状に丸めた新聞紙。\幼き勇者たちの御用達の剣。
1020055	丸めた新聞紙	棒状に丸めた新聞紙。\幼き勇者たちの御用達の剣。
1020063	ゴムハンマー	ぶよぶよしたゴムのハンマー。\安全性に配慮されたベストセラー商品だ。
1020064	ゴムハンマー	ぶよぶよしたゴムのハンマー。\安全性に配慮されたベストセラー商品だ。
1020065	ゴムハンマー	ぶよぶよしたゴムのハンマー。\安全性に配慮されたベストセラー商品だ。
1020073	鍋の蓋	君も一度は手にした事があるだろう。\老若男女誰でも使える武器である。
1020074	鍋の蓋	君も一度は手にした事があるだろう。\老若男女誰でも使える武器である。
1020075	鍋の蓋	君も一度は手にした事があるだろう。\老若男女誰でも使える武器である。
1030083	スタンドマイク	選ばなくてはならない。スタンドとマイクのどっちを武器にするか…
1030084	スタンドマイク	選ばなくてはならない。スタンドとマイクのどっちを武器にするか…
1030085	スタンドマイク	選ばなくてはならない。スタンドとマイクのどっちを武器にするか…
1030093	手裏剣	異国の暗殺者が使用していた小さな手裏剣。\投げるのに少しテクニックが必要そうだ。
1030094	手裏剣	異国の暗殺者が使用していた小さな手裏剣。\投げるのに少しテクニックが必要そうだ。
1030095	手裏剣	異国の暗殺者が使用していた小さな手裏剣。\投げるのに少しテクニックが必要そうだ。
1030103	パンチグローブ	真っ赤なボクシング用グローブ。\これで殴れば悪魔もノックアウト。
1030104	パンチグローブ	真っ赤なボクシング用グローブ。\これで殴れば悪魔もノックアウト。
1030105	パンチグローブ	真っ赤なボクシング用グローブ。\これで殴れば悪魔もノックアウト。
1030113	ヨーヨー	ストリングプレイ！\スパイダーベイビー！！
1030114	ヨーヨー	ストリングプレイ！\スパイダーベイビー！！
1030115	ヨーヨー	ストリングプレイ！\スパイダーベイビー！！
1040143	高速ダーツ	高速で飛んでいくように改造されたダーツ。\それだけで特に他の改造はされていない。
1040144	高速ダーツ	高速で飛んでいくように改造されたダーツ。\それだけで特に他の改造はされていない。
1040145	高速ダーツ	高速で飛んでいくように改造されたダーツ。\それだけで特に他の改造はされていない。
1040153	魔法使い用杖	押すと花粉が飛び出してくる。\人によっては非常に迷惑で憎たらしい武器。
1040154	魔法使い用杖	押すと花粉が飛び出してくる。\人によっては非常に迷惑で憎たらしい武器。
1040155	魔法使い用杖	押すと花粉が飛び出してくる。\人によっては非常に迷惑で憎たらしい武器。
1040163	ミニバズーカ	バズーカ砲のミニチュア。\だが、持ち歩くと銃刀法違反で捕まるかもしれない。
1040164	ミニバズーカ	バズーカ砲のミニチュア。\だが、持ち歩くと銃刀法違反で捕まるかもしれない。
1040165	ミニバズーカ	バズーカ砲のミニチュア。\だが、持ち歩くと銃刀法違反で捕まるかもしれない。
1040173	停止標識	停止表示が描かれているスタンド型の標識。\鉄で作られており、かなりのストッピングパワーがある。
1040174	停止標識	停止表示が描かれているスタンド型の標識。\鉄で作られており、かなりのストッピングパワーがある。
1040175	停止標識	停止表示が描かれているスタンド型の標識。\鉄で作られており、かなりのストッピングパワーがある。
1050193	斧	人間でも悪魔でも簡単に斬れる実用的な武器。\薪割りにも最適。
1050194	斧	人間でも悪魔でも簡単に斬れる実用的な武器。\薪割りにも最適。
1050195	斧	人間でも悪魔でも簡単に斬れる実用的な武器。\薪割りにも最適。
1050203	ハルバート	刃から柄の部分まで、すべて職人の手作り。\使いこなすには高い技術が必要だ。
1050204	ハルバート	刃から柄の部分まで、すべて職人の手作り。\使いこなすには高い技術が必要だ。
1050205	ハルバート	刃から柄の部分まで、すべて職人の手作り。\使いこなすには高い技術が必要だ。
1050213	偽物偃月刀	髭のおじさんや美少女が良く持ち歩いている武器。\刃は無いが、リアルな作りでコスプレでよく使われる。
1050214	偽物偃月刀	髭のおじさんや美少女が良く持ち歩いている武器。\刃は無いが、リアルな作りでコスプレでよく使われる。
1050215	偽物偃月刀	髭のおじさんや美少女が良く持ち歩いている武器。\刃は無いが、リアルな作りでコスプレでよく使われる。
1050223	ヌンチャク	アチョ～！俺の双節棍を受けてみろ！\誤って顔に当たると格好悪い。
1050224	ヌンチャク	アチョ～！俺の双節棍を受けてみろ！\誤って顔に当たると格好悪い。
1050225	ヌンチャク	アチョ～！俺の双節棍を受けてみろ！\誤って顔に当たると格好悪い。
1050303	キュートなほうき	高級インテリア用ほうき。\実用性はない。
1050304	キュートなほうき	高級インテリア用ほうき。\実用性はない。
1050305	キュートなほうき	高級インテリア用ほうき。\実用性はない。
1050313	巫女の懐刀	古代の巫女が携帯した護身刀。\それにしては装飾品が大きくて邪魔。
1050314	巫女の懐刀	古代の巫女が携帯した護身刀。\それにしては装飾品が大きくて邪魔。
1050315	巫女の懐刀	古代の巫女が携帯した護身刀。\それにしては装飾品が大きくて邪魔。
1050333	クインテッセンスのフラスコ	神秘なる元素が入っている神秘なるフラスコ。\製造方法を忘れてしまったので二度と同じものはつくれない…
1050334	クインテッセンスのフラスコ	神秘なる元素が入っている神秘なるフラスコ。\製造方法を忘れてしまったので二度と同じものはつくれない…
1050335	クインテッセンスのフラスコ	神秘なる元素が入っている神秘なるフラスコ。\製造方法を忘れてしまったので二度と同じものはつくれない…
1050343	サンタのステッキ	中にキャンディが入ったクリスマスステッキ。\優しい悪魔に聖なる祝福を。
1050344	サンタのステッキ	中にキャンディが入ったクリスマスステッキ。\優しい悪魔に聖なる祝福を。
1050345	サンタのステッキ	中にキャンディが入ったクリスマスステッキ。\優しい悪魔に聖なる祝福を。
1050363	神罰の聖槍	マアトの魂の一部が実体化した聖なる槍。\その矛先が自分に向いているのかもしれない。
1050364	神罰の聖槍	マアトの魂の一部が実体化した聖なる槍。\その矛先が自分に向いているのかもしれない。
1050365	神罰の聖槍	マアトの魂の一部が実体化した聖なる槍。\その矛先が自分に向いているのかもしれない。
1050373	悪の花	アシュトレス専用に改造した異形の剣。\一度突き刺すと簡単には抜けない…
1050374	悪の花	アシュトレス専用に改造した異形の剣。\一度突き刺すと簡単には抜けない…
1050375	悪の花	アシュトレス専用に改造した異形の剣。\一度突き刺すと簡単には抜けない…
1050383	デメテルシリンジ	静脈を流れる憤怒が新たな力を生んだ。\デメテルの怒りがこもった注射器。
1050384	デメテルシリンジ	静脈を流れる憤怒が新たな力を生んだ。\デメテルの怒りがこもった注射器。
1050385	デメテルシリンジ	静脈を流れる憤怒が新たな力を生んだ。\デメテルの怒りがこもった注射器。
1050413	ラウンドブーケ	プリザーブドフラワーで作ったブーケ。\決して枯れない永遠の誓い。
1050414	ラウンドブーケ	プリザーブドフラワーで作ったブーケ。\決して枯れない永遠の誓い。
1050415	ラウンドブーケ	プリザーブドフラワーで作ったブーケ。\決して枯れない永遠の誓い。
1050423	バレーボール	トリスタンのビーチバレー用のボール。\弾力性と耐水性バツグン。
1050424	バレーボール	トリスタンのビーチバレー用のボール。\弾力性と耐水性バツグン。
1050425	バレーボール	トリスタンのビーチバレー用のボール。\弾力性と耐水性バツグン。
1050433	スティールローズ	ブリジットの魔力で収縮・膨張する珠玉。\中に薔薇は入っていない。
1050434	スティールローズ	ブリジットの魔力で収縮・膨張する珠玉。\中に薔薇は入っていない。
1050435	スティールローズ	ブリジットの魔力で収縮・膨張する珠玉。\中に薔薇は入っていない。
1050443	黒き聖杯	リタの業が宿った黒き聖杯。狂信者の証。
1050444	黒き聖杯	リタの業が宿った黒き聖杯。狂信者の証。
1050445	黒き聖杯	リタの業が宿った黒き聖杯。狂信者の証。
1050453	孤独の羽根	怪しい魔力を帯びた羽根。
1050454	孤独の羽根	怪しい魔力を帯びた羽根。
1050455	孤独の羽根	怪しい魔力を帯びた羽根。
1050463	ゴシックパラソル	バートリーのゴシック風パラソル。\UVカット機能強化。乾いたバラの香り付き。
1050464	ゴシックパラソル	バートリーのゴシック風パラソル。\UVカット機能強化。乾いたバラの香り付き。
1050465	ゴシックパラソル	バートリーのゴシック風パラソル。\UVカット機能強化。乾いたバラの香り付き。
1050473	ダイヤマイク	ナタリスのインタビュー用マイク。\どんな秘密でも聞き出せる。
1050474	ダイヤマイク	ナタリスのインタビュー用マイク。\どんな秘密でも聞き出せる。
1050475	ダイヤマイク	ナタリスのインタビュー用マイク。\どんな秘密でも聞き出せる。
1050483	プラパサイリウム	プラネットパーティーファンクラブ限定サイリウム。\コンサートを楽しむための必需品。
1050484	プラパサイリウム	プラネットパーティーファンクラブ限定サイリウム。\コンサートを楽しむための必需品。
1050485	プラパサイリウム	プラネットパーティーファンクラブ限定サイリウム。\コンサートを楽しむための必需品。
1050493	お正月の遊び、チェギ	風聞で伝わる冬の伝統遊び用道具。\副舟状骨破損の主な原因だったとされる。
1050494	お正月の遊び、チェギ	風聞で伝わる冬の伝統遊び用道具。\副舟状骨破損の主な原因だったとされる。
1050495	お正月の遊び、チェギ	風聞で伝わる冬の伝統遊び用道具。\副舟状骨破損の主な原因だったとされる。
1050503	ダナのバクルス	愚者を導くダナの司教杖。
1050504	ダナのバクルス	愚者を導くダナの司教杖。
1050505	ダナのバクルス	愚者を導くダナの司教杖。
1050523	デビロイドⅥ	数多の真実を記録した、魔力ポラロイドカメラ。
1050524	デビロイドⅥ	数多の真実を記録した、魔力ポラロイドカメラ。
1050525	デビロイドⅥ	数多の真実を記録した、魔力ポラロイドカメラ。
1050533	マルルの三叉槍	迅速かつ正確に多数のドーナツを刺せる\マルル専用の短い三叉槍。フォーク代わりに使われる。
1050534	マルルの三叉槍	迅速かつ正確に多数のドーナツを刺せる\マルル専用の短い三叉槍。フォーク代わりに使われる。
1050535	マルルの三叉槍	迅速かつ正確に多数のドーナツを刺せる\マルル専用の短い三叉槍。フォーク代わりに使われる。
1050543	魔銃・ベルヴェルク	ノエルが所持するアークエネミー。壁なども関係なく\認識した場所へ攻撃することができる。
1050544	魔銃・ベルヴェルク	ノエルが所持するアークエネミー。壁なども関係なく\認識した場所へ攻撃することができる。
1050545	魔銃・ベルヴェルク	ノエルが所持するアークエネミー。壁なども関係なく\認識した場所へ攻撃することができる。
1050553	カインの杖	神聖なる権威を象徴する杖。
1050554	カインの杖	神聖なる権威を象徴する杖。
1050555	カインの杖	神聖なる権威を象徴する杖。
1050563	伝説の水鉄砲	強力な水鉄砲。\スピッティングドラゴンと呼ばれている。
1050564	伝説の水鉄砲	強力な水鉄砲。\スピッティングドラゴンと呼ばれている。
1050565	伝説の水鉄砲	強力な水鉄砲。\スピッティングドラゴンと呼ばれている。
1050573	ケイノウのはさみ	鏡の前で、このはさみを咥えると\未来の結婚相手が見えるらしい。
1050574	ケイノウのはさみ	鏡の前で、このはさみを咥えると\未来の結婚相手が見えるらしい。
1050575	ケイノウのはさみ	鏡の前で、このはさみを咥えると\未来の結婚相手が見えるらしい。
