// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	死からの	招待		
10020	蒼海の	女神		
10030	ダビの	悪魔城		
10040	権能	アイギスの棺		
10050	真夏の	夢魔		
10070	ハロウィンの	鬼火		
10080	相克	二律背反	N/A	N/A
10090	愛と勇気の			
10100	王侯の	凱歌		
10110	舞台の上の	舞姫		
10120	九尾の	狐		
10130	慈悲深き	生命の女神		
10131	田園の	パン		
10140	豊穣の	ヘケト		
10150	さすらう	錬金術師		
10160	箱入り娘	デボラ		
10170	魔造	ヴァンパイア		
10180	ボディーガード	アルゴス		
10190	自由の	カークス	空欄	空欄
10200	ボス	かすみ？		
10210	月宮の仙女	センガ		
10220	不滅の	センター		
10230	みんななかよし	ネフティス		
10240	グレネディア	ワイアット		
10261	傲岸の	バリ		
10270	酒好き	ポルキュース		
10280	平和の	ハルモニア		
10310	再臨の	ニコル		
10340	機縁の	ケイノウ		
10350	水妖	ジェニー		
10370	獄炎の鬼神	ソル		
10390	花嫁	テイワズ		
2000	ラグナブレイク	魔界の扉が開き、古の神々が降臨する。		
200001	Lv1	魔神の兆候	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200002	Lv2	神々の降臨	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200003	Lv3	神々の出撃	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200004	Lv4	神々の攻撃	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200005	Lv5	神々の急襲	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200006	Lv6	神々の襲撃	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200007	Lv7	神々の攻撃	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200008	Lv8	神々の略奪	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200009	Lv9	神々の追撃	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200010	Lv10	神々の陥落	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200011	Lv11	神々の戦争	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200012	Lv12	神々の猛闘	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200013	Lv13	神々の争闘	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200014	Lv14	神々の格闘	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200015	Lv15	神々の奮闘	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200016	Lv16	神々の血闘	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200017	Lv17	神々の乱闘	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200018	Lv18	神々の電撃	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200019	Lv19	神々の血戦	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200020	Lv20	神々の激戦	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200021	Lv21	神々の盾	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200022	Lv22	神々の要塞	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200023	Lv23	神々の堤防	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200024	Lv24	神々の風説	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200025	Lv25	神々の境界	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200026	Lv26	神々の番人	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200027	Lv27	神々の厳戒	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200028	Lv28	神々の厳護	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
