// key	HECATE_BOOK_TITLE_SHELF_	HECATE_BOOK_TITLE_	HECATE_BOOK_TITLE_SUB_	HECATE_BOOK_DESC_
100001	第1-1章\恶魔的游乐场	1-1 恶魔的游乐场	Destiny Child Chapter.1	你曾见过恶魔吗？说不定就在你的身边呢。\事实上，你可能早就认识他了···
100002	第1-2章\猫与狗的时间	1-2 猫与狗的时间	Destiny Child Chapter.1	这些城市都是沥青沙漠吗？\不，它们都是只有适者才能生存的水泥丛林！
100003	第1-3章\梦中的少女们	1-3 梦中的少女们	Destiny Child Chapter.1	我又不用社交媒体，甚至连新闻也不看。但那些家伙还是毁了我对和平的所有希望！
100004	第1-4章\可恨却让人恨不起来的恶魔……	1-4 可恨却让人恨不起来的恶魔……	Destiny Child Chapter.1	一个恶魔是好还是坏，你根本无法区分！但是……令人憎恨的恶魔是肯定存在的！
100005	第1-5章\「头条新闻：猎杀候补生！」	1-5 「头条新闻：猎杀候补生！」	Destiny Child Chapter.1	候补生们正火热交战中！但请务必小心！失去资格的候补生一个接一个倒下！
100006	第1-6章\少女的花园	1-6 少女的花园	Destiny Child Chapter.1	这个世界到处都是娇弱的少女。踏入禁地的男人将面临什么样的命运呢？
100007	第1-7章\恶魔警报！恶魔和流浪少女	1-7 恶魔警报！恶魔和流浪少女	Destiny Child Chapter.1	恶魔警钟在午夜响了三次，预告着恶魔杀手的到来。
100008	第1-8章\撒旦的继承者	1-8 撒旦的继承者	Destiny Child Chapter.1	魔王的继承人，鲁弗斯降临。
100009	第2-1章\少女的花园	2-1 少女的花园	Destiny Child Chapter.2	我们在圣钟鸣响的地方祈祷吧。
100010	第2-2章\黑暗低语与花园暗影	2-2 黑暗低语与花园暗影	Destiny Child Chapter.2	少女的花园被暗影笼罩着。
100011	第2-3章\虚伪造物主	2-3 虚伪造物主	Destiny Child Chapter.2	虚伪造物主因自己的过错而没落。
100012	第2-4章\平行线上的两个少女	2-4 平行线上的两个少女	Destiny Child Chapter.2	无尽之旅的开始。
100013	幕间第1章 : 消失的双子	幕间第1章：消失的双子	Destiny Child Chapter.2	看呐，新的妲比诞生了！
100014	幕间第2章：阳光下的罪恶	幕间第2章：阳光下的罪恶	Destiny Child Chapter.2	拜访卢茵的神秘少女是……
100019	仲夏夜之梦	仲夏夜之梦	Ragna:Break Season 18	一场爱，两颗冲突的心。\你说的爱又是什么？
100023	恶魔的干预	恶魔的干预	Narrative Dungeon	我们要在鸟井知道之前，处理掉他们。
100090	副本商店	副本商店	Tutorial	常言道，“隔墙有耳。”\情报商布朗尼新开了一家副本商店。
100091	圣诞夜的梦魇	圣诞夜的梦魇	Ragna:Break Season 0	在这个神圣的夜晚，一名恶魔潜伏在圣诞节的欢乐氛围下。
100092	方尖碑的降临	方尖碑的降临	Ragna:Break Season 2	试炼之塔现在已从炎热沙漠升起。
100093	禁忌之花	禁忌之花	Ragna:Break Season 3	在交织的思念前方等待着的是……？
100094	尸之王国	尸之王国	Ragna:Break Season 5	对于毫无救赎之意的可悲的灵魂，\等待他们的，只有深邃的幽暗之谷。
100095	夏季丑闻	夏季丑闻	Ragna:Break Season 4	厌倦了魔王争夺战吗？\出发前往热情岛屿吧！人间天堂啊！
100096	Café de Petit	Café de Petit	Ragna:Break Season 1	欢迎光临Café de Petit♥
100097	DEVILIVE！！	DEVILIVE！！	Ragna:Break Season 6	让我们一起前往璀璨的梦之演唱会吧！
100099	火爆女孩	火爆女孩	Ragna:Break Season 7	浴火重生，重新追逐梦想！
100100	秘密新娘	秘密新娘	Ragna:Break Season 8	我的新娘，将你的命运交到我手中吧！
100104	夏日射手	夏日射手	Ragna:Break Season 10	传奇水射手的精神和意志。
100105	Catherine: Full Body	Catherine: Full Body	Ragna:Break	K的平行世界
100110	世界BOSS试练	世界BOSS试练	Tutorial	一股突然的魔力席卷了这片区域。\魔镜现象是什么？
100111	SNOW MIKU	SNOW MIKU	Narrative Dungeon	在纯白的雪中和SNOW MIKU相遇的回忆
100112	圣战	圣战	Narrative Dungeon	黑暗之神撕裂天空，降临于世
100113	新魔王登场	新魔王登场	Narrative Dungeon	第三代魔王降临！其真面目为……
100114	寒冰之花	寒冰之花	Narrative Dungeon	仰慕恶魔的少女的黑暗。
100115	必须守护的正义	必须守护的正义	Narrative Dungeon	我们都有无法割舍的情感。
100116	重建	重建	Narrative Dungeon	全新迈达斯的诞生秘史
100117	致命性L♥VE	致命性L♥VE	Narrative Dungeon	薔薇色的美梦
100118	光明与黑暗	光明与黑暗	Narrative Dungeon	少女与她对立面的番外
100120	永恒的誓言	永恒的誓言	Narrative Dungeon	与巴托里相遇的命运少女
100121	双重巨作	双重巨作	Narrative Dungeon	一山不容二虎！\屏气凝神欣赏两大女神间的对决吧！
100122	My Dear	My Dear	Narrative Dungeon	苦甜情人节事件？！
100123	The Revelation	The Revelation	Narrative Dungeon	诞生自混沌与虚无黑暗深渊中的微光。
100125	重生迷宫历史	重生迷宫历史	Narrative Dungeon	恶魔式炼金术研究所的未知过去
100126	消失的甜甜圈	消失的甜甜圈	Narrative Dungeon	谁偷了甜甜圈？！
100127	BBCF跨界合作	BBCF跨界合作	Narrative Dungeon	一个和「苍」之传说有些许不同的故事
100128	盛夏疑云	盛夏疑云	Narrative Dungeon	用一次毛骨悚然的经历吓跑夏日的炎热！
100129	No Paradise	No Paradise	Narrative Dungeon	2人的逃亡就此展开
100130	秘密万圣节	秘密万圣节	Narrative Dungeon	每个人都有不想被揭露的秘密。\我……也有这样的秘密。
100131	第二次机会	第二次机会	Narrative Dungeon	没有第二次机会！我不会再犹豫了！
100132	你需要的是爱	你需要的是爱	Narrative Dungeon	好不容易到达滑雪场后爆发的骚乱？
100134	为爱盲目	为爱盲目	Narrative Dungeon	主人的糖果？我也想要！
100135	魅影\vs\驱魔师	魅影 vs 驱魔师	Narrative Dungeon	夜幕降临时，我会来偷走你的心。
100136	嫦娥的觉醒	嫦娥的觉醒	Scenario Dungeon	孤独少女的新心愿是……\少女的愿望，唤醒了全新的力量！
100137	歌姬降临！	歌姬降临！	Scenario Dungeon	Evil频道为你放送和平！
100138	维纳斯假期	维纳斯假期	Scenario Dungeon	在热带天堂「维纳斯诸岛」上\举行的女神们的祭典
100139	动物朋友2	动物朋友2	Scenario Dungeon	新朋友们的故事即将开始！
100140	玉藻夜话	玉藻夜话	Scenario Dungeon	隐藏在九尾狐故事背后的真相。
100146	莫娜	莫娜	Awakening Scenario	辅佐恶魔的美女秘书，也是人界的魅魔首领。专门调教无能的恶魔。
100147	丽莎	丽莎	Awakening Scenario	具有SS级潜力的魅魔。当她认为工作完成时，便会突然消失……
100148	妲比	妲比	Awakening Scenario	妲比在此！为了莫娜姐，即使是魔界的尽头，也要跟随到底！
100149	处容	邻居处容	Awakening Scenario	当这名异国的活泼女孩一心一意勇往直前时，就是她最幸福的时刻了。
100150	玛尔斯	疾走的玛尔斯	Awakening Scenario	正义与复仇的女战士。为了保护弱小迎战邪恶。
100152	菲尼克斯	燃烧的菲尼克斯	Awakening Scenario	从灰烬中诞生的狂战士菲尼克斯。最终存活下来的那个人应该是我！
100153	弗丽嘉	战士弗丽嘉	Awakening Scenario	一名拿起剑保护自己的女战士。「我会打败我的敌人。」
100154	赫克托耳	佣兵赫克托耳	Awakening Scenario	一个贪婪的雇佣兵，无止尽地打架赚钱。
100155	狄蜜特	虚张声势的狄蜜特	Awakening Scenario	由百无聊赖和无所事事的护士所创造，属于你的女王大人。
100156	迪诺	服务的迪诺	Awakening Scenario	好的，下一个。现在，躺下来放轻松。虽然实习成绩是零分，但自信是满分！
100157	阿伽门农	热血的阿伽门农	Awakening Scenario	坚定地拥护正义。\与我并肩作战！
100158	阿耳忒弥斯	暗夜的阿耳忒弥斯	Awakening Scenario	由天才女孩创造的安静Child。稍微安静点，只要一下下就好了。
100159	阿斯特莉亚	星夜阿斯特莉亚	Awakening Scenario	成为正义之星，并用你的光芒照亮这个世界吧！
100162	库西	看门犬库西	Awakening Scenario	一只守护着主人灵魂的狗，服从和主人有相同气味的Child。
100163	格蕾	小不点格蕾	Awakening Scenario	你听得见吗？我朋友的声音……
100164	厄里斯	激情的厄里斯	Awakening Scenario	她的力量来源于她的愤怒！她用无法抑制的愤怒掌控着自己的敌人。
100165	福尔图娜	危险的福尔图娜	Awakening Scenario	生命是一连串的选择，但是到最后，每个人的命运都将以骰子来决定。
100167	玛雅乌尔	懒散的玛雅乌尔	Awakening Scenario	自称是慵懒的天才美少年……的游戏宅。
100168	厄俄斯	欣喜的厄俄斯	Awakening Scenario	坦率、自由奔放的破坏少女。因为不喜欢与人类扯上关系而被束缚，所以不太爱开口。
100169	辛西亚	觉醒的辛西亚	Awakening Scenario	「呃……这个打扮可不是什么蝙X侠之类的哦！是恶魔！」
100170	勒达	成功的勒达	Awakening Scenario	我很漂亮，你不觉得吗？呐，你也是我的俘虏吧？
100171	塞勒涅	暗夜塞勒涅	Awakening Scenario	如果害怕黑暗的话，那我就自己照亮自己吧！\这个Child化身为月亮以击败黑夜。
100172	少女侦探	流浪的少女侦探	Awakening Scenario	我以母亲的名义发誓！\在混沌的魔王争夺战中，少女侦探现身了！
100173	弗蕾亚	天真的弗蕾亚	Awakening Scenario	我会一直守护你的！喵～
100174	阿莱克托	活跃的阿莱克托	Awakening Scenario	成为究极的侍女，就是我存在的意义。煮饭和打扫！我都能……做得很好！
100175	黛安娜	静谧的黛安娜	Awakening Scenario	你不能相信任何人，除了你自己。
100176	缪妮摩西妮	怠惰的缪妮摩西妮	Awakening Scenario	不小心被下级恶魔召唤出来的Child，还以为他是异世界来的大魔法使呢！
100177	珀耳塞福涅	黎明珀耳塞福涅	Awakening Scenario	奔走于魔界与人界中的谈判专家。\信任就是一切。
100178	赫耳墨斯	浪费家赫耳墨斯	Awakening Scenario	不擅社交的少女力大无比。她的梦想是成为世界第一的收藏家。
100179	犹大	犹大	Awakening Scenario	犹大，暗黑镇的皇帝。没有什么比纯粹的欲望更有力量了。
100181	摩莉甘	愤怒的摩莉甘	Awakening Scenario	我自己一个人也过的很好，不需要男人来爱我。
100182	沙玛什	守序的沙玛什	Awakening Scenario	「这歪曲的世界，必须用严厉的法律来修正！」
100183	迪亚马特	暗夜的迪亚马特	Awakening Scenario	「你还要自欺欺人到什么时候？释放你的愤怒吧！」
100185	赫拉	自负的赫拉	Awakening Scenario	「你已经不再是小孩子了。需要的时候可以来依靠我。」
100186	潘提翁	漫无目的的潘提翁	Awakening Scenario	「有句话说得好：流浪者如浮云，奈何不了狂风。」
100187	亚里亚	歌唱的亚里亚	Awakening Scenario	目标是成为首席偶像！为了带给大家梦想和感动，课程会一直延续下去！
100188	赫斯提亚	黑炎的赫斯提亚	Awakening Scenario	我想成为烈焰！任谁都无法扑灭的炽热、剧烈、燃烧着的火焰！
100189	尼曼	忧郁的尼曼	Awakening Scenario	一位不受控制，非常悲观的女孩。
100190	玛亚特	迷失的玛亚特	Awakening Scenario	不幸的圣职者，徬徨寻求着神。
100191	弗雷	弗雷	Awakening Scenario	魔界中的精英，弗雷降临！魔王宝座是老子的！
100192	比利特	狂言的比利特	Awakening Scenario	肤浅的牧师将他的全部工作时间都花在无关紧要的谈话上。
100193	墨提斯	迟疑的墨提斯	Awakening Scenario	「我知道你在想什么。你对我任何事都隐瞒不了。」
100194	传奇	守护的传奇	Awakening Scenario	黑夜中的传说！如同影子一般暗中守护主君！在下真正的洗礼名是忍者！但没人知道。
100196	贞德	牺牲的贞德	Awakening Scenario	恶魔退散！我会把你们全部消灭！我会将神的敌人化为虚无！
100197	蓝菲	蓝菲	Awakening Scenario	暗黑世界的女主人，融入到黑暗中的神秘女子。
100198	尼尔提	驱魔师尼尔提	Awakening Scenario	「你所期待的是鲜血和屠杀，你对毁灭有无止尽的欲望。」
100199	提西福涅	逆袭的提西福涅	Awakening Scenario	「男人尽想些邪恶的事，你觉得自己与众不同吗？我们要不要试试看？」
100200	塞壬	无名的塞壬	Awakening Scenario	「我写了一首歌！听听看！\在某个被海洋围绕的日子里，我遇到了海妖♪」
100201	欧罗巴	芬芳的欧罗巴	Awakening Scenario	一朵欲望之花，在魔界绽放。
100202	弗雷希亚	羞怯的弗雷希亚	Awakening Scenario	「如果这封信……真的寄送到……你的手上……」
100203	美杜莎	君临美杜莎	Awakening Scenario	记住我的名字……\这是即将统治你的人的名字。
100204	厄剌托	盛开的厄剌托	Awakening Scenario	「你觉得我芬芳的玫瑰香如何？噢，看起来我已让你沦陷了。」
100205	阿顿	独善其身的阿顿	Awakening Scenario	肆意妄为的策略家阿顿，在都市丛林出现的黑太阳。
100206	塔纳托斯	未知的塔纳托斯	Awakening Scenario	我会在哪儿永闭双眼？是否有人愿与我同往另一个世界？
100207	安布罗希亚	挑战者安布罗希亚	Awakening Scenario	「呐，你要不要试试我的厨艺？我用糖代替盐，所以吃起来很美味哦。」
100208	卜塔	修复的卜塔	Awakening Scenario	「螺帽、螺栓还有一个活动扳手！就是这世上最重要的东西！」
100211	芬里尔	探险家芬里尔	Awakening Scenario	这个不擅言词的战士会永远保护着你。
100212	娜薇	自嘲的娜薇	Awakening Scenario	我一无所有……\娜薇，那个失去生存意志的空洞Child。
100213	奎里努斯	努力的奎里努斯	Awakening Scenario	「上啊！我永远会为你加油！」
100218	卡尔克斯	巧手的卡尔克斯	Awakening Scenario	「我感觉我们好像在哪里见过。当然啦，也有可能是我自己的幻想。」
100219	涅伊特	战场的涅伊特	Awakening Scenario	一名不良Child拿着一个改造火箭筒出现了！
100221	高嘉	调味的高嘉	Awakening Scenario	这个天真烂漫的女孩不仅能吃，还能做各种食物料理，但她的味觉异常糟糕。
100225	武尔坎	再生的武尔坎	Awakening Scenario	一个傲慢的年轻少爷，梦想着统治世界。
100226	米拉	守护者 米拉	Awakening Scenario	忠诚的士兵。她主人的愿望，就是自己的愿望。
100230	维斯塔	热血的维斯塔	Awakening Scenario	我不会有任何迷惘！什么恐惧，统统烧掉吧！
100232	墨尔波墨涅	无聊的墨尔波墨涅	Awakening Scenario	这个Child来的时候，带着一把电吉他。「摇滚吧，宝贝！」
100234	绪林克斯	天真的绪林克斯	Awakening Scenario	「现在，看着我然后微笑。我和你在同一阵营。」
100235	美狄亚	报复的美狄亚	Awakening Scenario	娃娃怎么看都可爱，你不觉得吗？你何不也成为我的娃娃呢？
100236	阿波罗	闪耀的阿波罗	Awakening Scenario	「向日葵的花语是『爱慕』。」
100238	弗林斯	执着的弗林斯	Awakening Scenario	我是唯一能保护吉娃的人！
100239	以利亚	求道者以利亚	Awakening Scenario	一个孤独徘徊的炼金术士总是在寻找真理。
100241	商籁	悲伤的商籁	Awakening Scenario	一名孤独的幽灵大提琴手在镇上表演着安魂曲。
100243	雅加	忠诚的雅加	Awakening Scenario	一个暗黑的信徒用恶魔的力量引发奇迹。
100244	佛洛拉	草原的佛洛拉	Awakening Scenario	「花朵令人开心。如果全世界开满鲜花，就不会再有争吵了。」
100245	缪斯	暗夜的缪斯	Awakening Scenario	缪斯，唯一穿过黑暗夜晚的孤独音乐家，唱出人类的生命。
100247	巴风特	创造的巴风特	Awakening Scenario	「打造出一个可爱又可怕，暗黑又光明的东西！设计图？当然是你自己想办法制作啊！」
100248	夏娃	禁忌的夏娃	Awakening Scenario	她不会停止的。夏娃已经回不去了，她被放逐人间，永远地徘徊着。
100250	萨耳玛西斯	你的萨耳玛西斯	Awakening Scenario	一直梦想着拥有白马王子永恒爱情故事的女主角。
100251	芭丝特	野生的芭丝特	Awakening Scenario	猫之女神手持一把隐蔽的匕首，永远藏匿于敌人的阴影之下。
100254	吉妮丝	名将吉妮丝	Awakening Scenario	这个喜怒无常但才华洋溢的作曲家，孜孜不倦地撰写着新乐曲。
100256	迈达斯	沉着的迈达斯	Awakening Scenario	「认真生活？不，谢了！享受当下才是真正重要的事。」
100257	缇坦妮雅	决战的缇坦妮雅	Awakening Scenario	「我想让每个人都看到我变成妖精，闪闪发亮的样子。没错，烙印在你们的脑海里吧！」
100259	瓦尔基里	战士瓦尔基里	Awakening Scenario	一个从年轻女孩的执着中诞生的Child。守护重要的事物，需要的不是力量，而是意志。
100262	波摩纳	花园的波摩纳	Awakening Scenario	「我永远不会变。请你也保持原本的自己。」
100264	阿莫尔	独白的阿莫尔	Awakening Scenario	这名弓箭手的箭一直在减少，因为到处都是寂寞的人们。
100265	修普诺斯	夜下少女修普诺斯	Awakening Scenario	这名梦夜公主被困于幻想世界中。
100267	巴尔	狂暴的巴尔	Awakening Scenario	「正义？梦想？勇气？！我最痛恨这种东西了！哈哈哈……！」
100268	伊南娜	小丑伊南娜	Awakening Scenario	「当一个乖巧的Child多无聊啊！我要变成世界著名的大坏蛋！」
100269	鲁萨尔卡	优柔寡断的鲁萨尔卡	Awakening Scenario	这名Child全心全意地歌唱着她秘密的爱情。
100271	艾波娜	冒险家艾波娜	Awakening Scenario	一名踏上未知旅程的冒险者，凭借着开拓者精神在魔界冒险。
100272	托特	严厉的托特	Awakening Scenario	「不管你怎么说，都不可能抹灭罪孽。按你的逻辑，道歉就没有任何意义了。」
