// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	死亡	邀约	0	
10020	蔚蓝深海的	女神	0	
10030	妲比的	恶魔城		
10040	权能	埃癸斯之棺		
10050	仲夏的	梦魇		
10070	万圣节	鬼火		
10080	相克	二律背反	N/A	N/A
10090	爱与勇气			
10100	皇家的	凯歌		
10110	中央舞台	舞姬		
10120	九尾	狐		
10130	慈悲的	生命女神		
10131	田园的	潘		
10140	丰收	赫克托耳		
10150	流浪	炼金术士		
10160	追擊的	黛博拉		
10170	魔造	吸血鬼		
10180	保镖	阿尔葛斯		
10190	自由的	卡库斯	空栏	空栏
10200	Boss	霞？		
10210	正直的	仙娥		
10220	不灭的	中心		
10230	好好相处喔	奈芙蒂斯		
10240	神枪手	怀特		
10261	傲慢的	钵里		
10270	嗜酒的	福耳库斯		
10280	平和的	荷莫妮雅		
10310	转生者	妮可		
10340	机缘的	庆野		
10350	水妖	希妮		
10370	狱炎之神	索尔		
10390	花嫁	提瓦兹		
2000	诸神强袭	魔界大门开启，古神纷纷降临。		
200001	Lv.1	恶魔的征兆	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200002	Lv.2	诸神的降临	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200003	Lv.3	诸神的进击	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200004	Lv.4	诸神的攻击	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200005	Lv.5	诸神的急袭	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200006	Lv.6	诸神的袭击	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200007	Lv.7	诸神的攻击	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200008	Lv.8	诸神的掠夺	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200009	Lv.9	诸神的追击	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200010	Lv.10	诸神的陨落	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200011	Lv.11	诸神的战争	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200012	Lv.12	诸神的猛斗	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200013	Lv.13	诸神的争斗	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200014	Lv.14	诸神的格斗	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200015	Lv.15	诸神的奋斗	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200016	Lv.16	诸神的血斗	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200017	Lv.17	诸神的乱斗	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200018	Lv.18	诸神的电击	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200019	Lv.19	诸神的血战	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200020	Lv.20	诸神的激战	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200021	Lv.21	诸神之盾	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200022	Lv.22	诸神的要塞	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200023	Lv.23	诸神的提防	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200024	Lv.24	诸神的谣言	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200025	Lv.25	诸神的境界	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200026	Lv.26	诸神的守卫	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200027	Lv.27	诸神的戒严	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200028	Lv.28	诸神的固守	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200029	Lv.29	神圣的抵抗	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200030	Lv.30	诸神的攻防	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>
200031	Lv.31	诸神的逆袭	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200032	Lv.32	诸神的逆转	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200033	Lv.33	诸神的反击	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200034	Lv.34	诸神的报复	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200035	Lv.35	诸神的迎击	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200036	Lv.36	诸神的应战	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200037	Lv.37	诸神的反抗	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200038	Lv.38	诸神的驱敌	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200039	Lv.39	诸神的迎敌	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
200040	Lv.40	诸神的抗战	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>弱点防御力</color><color=ffc400>↓</color>、\<color=ff7b02>弱点攻击力</color><color=ffc400>↑</color>，且拥有<color=ff7b02>Skill 充能加速</color>
20100001	Lv.1	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100002	Lv.2	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100003	Lv.3	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100004	Lv.4	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100005	Lv.5	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100006	Lv.6	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100007	Lv.7	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100008	Lv.8	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
