// key	SKILL_TARGET_
0	
1	目标
10	右方盟友
100	光属性盟友（地下迷宫）
1001	盟友（受净化）
1002	敌人（受净化）
101	暗属性盟友（地下迷宫）
1011	盟友（PvP、最高Skill量表）
1012	敌人（PvP、高Skill量表）
102	盟友（受灼烧）
1021	水属性盟友（PvP、攻击型）
1022	水属性敌人（PvP、攻击型）
103	盟友（受灼烧/灼伤）
1031	火属性盟友（PvP、攻击型）
1032	火属性敌人（PvP、攻击型）
104	盟友（水球）
1041	木属性盟友（PvP、攻击型）
1042	木属性敌人（PvP、攻击型）
105	盟友（致命回复）
1051	光属性盟友（PvP、攻击型）
1052	光属性敌人（PvP、攻击型）
106	盟友（自身除外）
1061	暗属性盟友（PvP、攻击型）
1062	暗属性敌人（PvP、攻击型）
107	自身（PvP）
1074	受攻击的目标
108	盟友（烙印）
1085	目标
109	水属性盟友（20人巨型Boss，高攻击力）
1091	盟友（未受减益）
1092	敌人（未受减益）
110	火属性盟友（20人巨型Boss，高攻击力）
1101	盟友（持续战场增益目标）
1102	敌人（持续战场增益目标）
1103	全体敌人/盟友（持续战场增益目标）
111	木属性盟友（20人巨型Boss，高攻击力）
1111	水属性盟友（若为同属性则包含自身）
112	光属性盟友（20人巨型Boss，高攻击力）
1121	水属性盟友（若为同属性则包含自身）
113	暗属性盟友（20人巨型Boss，高攻击力）
114	盟友（较多增益）
115	盟友（20人巨型Boss，受到减益）
116	盟友（5人巨型Boss，高攻击力）
1161	盟友（PvP、致命回复）
1162	敌人（PvP、致命回复）
117	盟友（5人巨型Boss）
118	盟友（雪球炸弹）
119	水属性盟友（5人巨型Boss，高攻击力）
12	攻击型盟友
120	火属性盟友（5人巨型Boss，高攻击力）
121	木属性盟友（5人巨型Boss，高攻击力）
122	光属性盟友（5人巨型Boss，高攻击力）
123	暗属性盟友（5人巨型Boss，高攻击力）
124	攻击型盟友（PvP）
125	防御型盟友（PvP）
126	盟友（PvP、治愈型盟友）
127	干扰型盟友（PvP）
128	辅助型盟友（PvP）
129	水属性盟友（自身除外）
13	防御型盟友
130	火属性盟友（自身除外）
131	木属性盟友（自身除外）
132	光属性盟友（自身除外）
133	暗属性盟友（自身除外）
134	盟友（PvP、高攻击力）
135	如果效果遭移除
136	盟友（自身除外、低于或等于50%%HP）
137	盟友（低HP，包含自身）
138	盟友（低HP，包含自身）
139	自身（PvE）
14	治愈型盟友
140	盟友（PvE）
141	水属性盟友（PvE）
142	火属性盟友（PvE）
143	木属性盟友（PvE）
144	光属性盟友（PVE）
145	暗属性盟友（PVE）
146	盟友（猛毒）
147	攻击型盟友（PvE）
148	盟友（PVE、防御型）
149	盟友（PVE、治愈型）
15	干扰型盟友
150	干扰型盟友（PvE）
151	盟友（PVE、辅助型）
152	盟友（PVE、干扰型）
153	盟友（PVE、有增益）
154	盟友（有Skill防御力减益）
155	盟友（有Skill防御力增益）
156	盟友（受时间系减益）
157	盟友（地下迷宫、高攻击力）
158	盟友（禁止回复）
159	盟友（回复中/吸血）
16	辅助型盟友
160	盟友（较多减益）
161	盟友（较少增益）
162	盟友（较少减益）
163	自身（20人巨型Boss）
164	盟友（PvP、低HP）
165	盟友（PvP、低HP）
166	自身（竞赛挑战）
167	盟友（竞赛挑战）
168	盟友（竞赛挑战、高攻击力）
169	盟友（竞赛挑战、低HP）
170	盟友（竞赛挑战、低HP）
171	水属性盟友（竞赛挑战）
172	火属性盟友（竞赛挑战）
173	木属性盟友（竞赛挑战）
174	光属性盟友（竞赛挑战）
175	暗属性盟友（竞赛挑战）
176	盟友（弱化中）
177	盟友（20人巨型Boss、Skill充能中）
178	盟友（5人巨型Boss、Skill充能中）
179	盟友（5人巨型Boss、低HP）
180	盟友（5人巨型Boss、低HP）
181	攻击型盟友（20人巨型Boss）
182	盟友（20人巨型Boss，防御型）
183	盟友（20人巨型Boss、治愈型）
184	盟友（20人巨型Boss，干扰型）
185	辅助型盟友（20人巨型Boss）
186	盟友（20人巨型Boss、低HP）
187	盟友（20人巨型Boss、低HP）
188	盟友（PvP、受到增益）
189	盟友（PvP、较多增益）
190	水属性盟友（低HP）
191	火属性盟友（低HP）
192	木属性盟友（低HP）
193	光属性盟友（低HP）
194	暗属性盟友（低HP）
195	水属性盟友（低HP）
196	火属性盟友（低HP）
197	木属性盟友（低HP）
198	光属性盟友（低HP）
199	暗属性盟友（低HP）
2	敌人
200	水属性盟友（受到减益）
201	火属性盟友（受到减益）
202	木属性盟友（受到减益）
203	光属性盟友（受到减益）
204	暗属性盟友（受到减益）
205	盟友（魅惑中）
206	盟友（5人巨型Boss，时间系减益）
207	盟友（攻击型除外）
208	盟友（防御型除外）
209	盟友（治愈型除外）
210	盟友（干扰型除外）
211	盟友（辅助型除外）
212	水属性攻击型盟友（PvE）
213	火属性攻击型盟友（PvE）
214	木属性攻击型盟友（PvE）
215	光属性攻击型盟友（PvE）
216	暗属性攻击型盟友（PvE）
217	水属性攻击型盟友（20人巨型Boss）
218	火属性攻击型盟友（20人巨型Boss、）
219	木属性攻击型盟友（20人巨型Boss）
22	水属性盟友
220	光属性攻击型盟友（20人巨型Boss）
221	暗属性攻击型盟友（20人巨型Boss）
222	盟友（无敌）
223	水属性攻击型盟友（5人巨型Boss）
224	火属性攻击型盟友（5人巨型Boss）
225	木属性攻击型盟友（5人巨型Boss）
226	光属性攻击型盟友（5人巨型Boss）
