// key	EXP_CHAR_DUNGEON_NAME_	EXP_CHAR_DUNGEON_SECOND_NAME_	EXP_CHAR_DUNGEON_LOCATION_DESC_
100201	入門	光屬性強化地下城	所有我需要知道的事，都是在幼稚園中學會的。要贏在起跑點上！
100202	簡單	光屬性強化地下城	「昨日已成歷史，明日還是個謎，而當下則是一份禮物。這就是人們稱今日為"Present"的原因。」\我可要好好了解這是什麼意思！
100203	中級	光屬性強化地下城	在年輕時，你就算花錢也買不到我的努力，但我已經不年輕了！
100204	高級	光屬性強化地下城	如果持續努力的話，就算失敗一兩次，最後還是會成功的。\那就是我要做的了！
100205	最高級	光屬性強化地下城	為何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取決於你了！
100301	入門	火屬性強化地下城	所有我需要知道的事，都是在幼稚園中學會的。要贏在起跑點上！
100302	簡單	火屬性強化地下城	「昨日已成歷史，明日還是個謎，而當下則是一份禮物。這就是人們稱今日為"Present"的原因。」\我可要好好了解這是什麼意思！
100303	中級	火屬性強化地下城	在年輕時，你就算花錢也買不到我的努力，但我已經不年輕了！
100304	高級	火屬性強化地下城	就算失敗個一兩次，只要努力不懈終會成功。\去勇於挑戰吧！
100305	最高級	火屬性強化地下城	為何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取決於你了！
100401	入門	水屬性強化地下城	所有我需要知道的事，都是在幼稚園中學會的。要贏在起跑點上！
100402	簡單	水屬性強化地下城	「昨日已成歷史，明日還是個謎，而當下則是一份禮物。這就是人們稱今日為"Present"的原因。」\我可要好好了解這是什麼意思！
100403	中級	水屬性強化地下城	在年輕時，你就算花錢也買不到我的努力，但我已經不年輕了！
100404	高級	水屬性強化地下城	就算失敗個一兩次，只要努力不懈終會成功。\去勇於挑戰吧！
100405	最高級	水屬性強化地下城	為何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取決於你了！
100501	入門	木屬性強化地下城	所有我需要知道的事，都是在幼稚園中學會的。要贏在起跑點上！
100502	簡單	木屬性強化地下城	「昨日已成歷史，明日還是個謎，而當下則是一份禮物。這就是人們稱今日為"Present"的原因。」\我可要好好了解這是什麼意思！
100503	中級	木屬性強化地下城	在年輕時，你就算花錢也買不到我的努力，但我已經不年輕了！
100504	高級	木屬性強化地下城	就算失敗個一兩次，只要努力不懈終會成功。\去勇於挑戰吧！
100505	最高級	木屬性強化地下城	為何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取決於你了！
100601	入門	闇屬性強化地下城	所有我需要知道的事，都是在幼稚園中學會的。要贏在起跑點上！
100602	簡單	闇屬性強化地下城	「昨日已成歷史，明日還是個謎，而當下則是一份禮物。這就是人們稱今日為"Present"的原因。」\我可要好好了解這是什麼意思！
100603	中級	闇屬性強化地下城	在年輕時，你就算花錢也買不到我的努力，但我已經不年輕了！
100604	高級	闇屬性強化地下城	就算失敗個一兩次，只要努力不懈終會成功。\去勇於挑戰吧！
100605	最高級	闇屬性強化地下城	為何而生不重要，重要的是生存本身。\一旦你努力至此，剩下的就取決於你了！
