// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	死亡	邀約	0	
10020	蔚藍深海的	女神	0	
10030	妲比的	惡魔城		
10040	權能	聖盾之棺		
10050	仲夏的	夢魘		
10070	萬聖節	鬼火		
10080	相剋	二律背反	N/A	N/A
10090	愛與勇氣			
10100	皇家的	凱歌		
10110	中央舞台	舞姬		
10120	九尾	狐		
10130	慈悲的	生命女神		
10131	田園的	潘		
10140	豐收	赫克特		
10150	流浪	煉金術師		
10160	追擊的	黛波拉		
10170	魔造	吸血鬼		
10180	保鑣	阿爾葛斯		
10190	自由的	卡庫斯	空欄	空欄
10200	Boss	霞？		
10210	正直的	仙娥		
10220	不滅的	C位		
10230	好好相處喔	奈芙蒂斯		
10240	神槍手	懷特		
10261	傲慢的	鉢里		
10270	嗜酒的	福耳庫斯		
10280	平和的	荷莫妮雅		
10310	轉生者	妮可		
10340	機緣的	凱諾		
10350	水妖	希妮		
10370	獄炎之神	索爾		
10390	花嫁	帝瓦茲		
2000	諸神強襲	魔界大門開啟，古神紛紛降臨。		
200001	Lv.1	惡魔的徵兆	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200002	Lv.2	諸神的降臨	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200003	Lv.3	諸神的進擊	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200004	Lv.4	諸神的攻擊	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200005	Lv.5	諸神的急襲	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
