// key	SCENARIO_SPEAKER_
 A COUNCIL ELDER	議會長者
A COUNCIL ELDER	議會長者
A.I	A.I
A_COUNCIL_CHAIRMAN	議會主席
AARON	艾倫
ABADDON_CONTRACTOR	真生田真希子
ABIGAIL_CHAIRMAN	亞比該理事長
ACCRASIA	阿克拉西亞
AILILL	艾麗
AKIMAGO	阿基馬戈
ALTERED DAVI	蛻變妲比
AMBROSIA_CONTRACTOR	佐藤詩織
ANCHOR	主持人
ANEMONE	秋牡丹
ANNIE	安妮
ANNOUNCE	校內廣播
ANNOUNCER	播報員
APOLLO_CONTRACTOR	勅使河原雅人
AQU CUBE	邪惡的方塊
ARAHANT	阿羅漢
ARAHANT_FRIEND	阿羅漢的好友
ARGOS	阿爾戈斯
ARIA	亞莉亞
ARTEMISIA_CONTRACTOR	胡桃川久留美
ASHRAM_TEACHER	修道院教師
ATALANTE_CONTRACTOR	槌田紗千香
ATTIS	阿爾蒂斯
ATUM_CONTRACTOR	黑井瑛
AUDIENCE1	觀眾1
AUDIENCE2	觀眾2
AUDIENCES	觀眾
AURORA	歐洛拉
AYANE	綾音
BAAL_CONTRACTOR	權田冬治
BABEL	巴貝爾
BABY	小寶寶
BAKER	咖啡廳店長
BARI	鉢里
BARI_CONTRACTOR	鈴木倫子
BARI_CONTRACTOR_MOM	鈴木倫子的母親
BAST	不成熟的芭絲特
BATORY	巴托里
BELIEVER_0	信眾
BELIEVER_1	信徒
BELIEVER1	信徒1
BELIEVER2	信徒2
BELIEVER3	信徒3
BERDLE	維爾德
BERITH_CONTRACTOR	原子内美喜男
BERMONT	佛蒙特大公爵
BETH	貝絲
BILLY	比利
BIRD	小鳥
BOAR	公豬
BOREAS	波利亞斯
BOREAS_CONTRACTOR	北里風花
BOSS	店長
BOY	男孩
BOY_CONTRACTOR	年輕契約者
BRADAMANTE_CONTRACTOR	劍崎花戀
BRADAMANTE_CONTRACTOR_DAD	劍崎花戀的父親
BROTHER_LAWRENCE	勞倫斯神父
BUDDHIST	僧侶
BUDLE	柳道士
BURIED DAVI	愛恨交織妲比
BUTLER	執事
CACA	卡西亞
CACUS	卡庫斯
CADUCEUS	使者之杖
CAFE_MANAGER	咖啡店長
CAIN	該隱
CAIT SITH	凱西
CAIT SITH	凱西
CAROL'S FATHER	卡蘿的父親
CAT	貓
CATERPILLAR	毛毛蟲
CELEBRANT	司儀神父
CELICA	雪莉佳
CHANCELLOR	大學校長
CHANDRAGHANTA	錢德拉
CHEF	主廚
CHESHIRE CAT	柴郡貓
CHICK	小雞
CHIEF_NIS	公安廳長官
CHIEF_SECRETARY	首席秘書
CHIEF_SONG	鴻池董事長
CHILD	Child
CHILD_OF_FUTURE	未來的Child
CHILD_OF_PAST	過去的Child
CHILD_OF_PRESENT	現在的Child
CHILDA	Child A
CHILDB	Child B
CHUCHU	啾揪
CINTAMANI	如意寶珠
CLARA	克拉拉
CLASSMATE	同學
CLASSMATE1	同學 1
CLASSMATE2	同學 2
CLASSOFCULTURE_GROUP	文化課群組聊天室
CLERK	店員
CLERK1	雇員1
CLERK2	雇員2
CLOSET	衣櫃
CLUB_GUARD	保鑣
COACH	教練
COMMANDER	指揮官
COMMENT	評論
COMMENTATOR	旁白
CONTRACTOR	契約者
CONVENIENCESTOREOWNER	商店經理
