// key	SPECIAL_DUNGEON_NAME_	SPECIAL_DUNGEON_SECOND_NAME_	SPECIAL_DUNGEON_LOCATION_DESC_
1000		聖誕夜的夢魘	在這個神聖的夜晚，一名惡魔潛伏在聖誕節的歡樂氛圍下。
100001	第1區	聖誕夜	
100002	第2區	坎普斯I	
100003	第3區	神聖的夜晚	
100004	第4區	魯道夫	
100005	第5區	神聖的夜晚	
100006	第6區	聖誕老人	
100007	第7區	神聖的夜晚	
100008	第8區	坎普斯II	
1100		方尖碑的降臨	試煉之塔現在已從炎熱沙漠升起。
110001	第1關	法老之墓I	
110002	第2關	芭絲特	
110003	第3關	法老之墓II	
110004	第4關	荷魯斯	
110005	第5關	法老之墓III	
110006	第6關	克麗歐佩特拉	
110007	第7關	法老之墓IV	
110008	第8關	法老再臨	
1200		禁忌之花	在交織的思念前方等待著的是...？
120001	第1關	極樂的蓮華臺I	
120002	第2關	柳道士	
120003	第3關	極樂的蓮華臺II	
120004	第4關	自請妃I	
120005	第5關	極樂的蓮華臺III	
120006	第6關	鉢里	
120007	第7關	極樂的蓮華臺IV	
120008	第8關	自請妃II	
1300		屍之王國	來自毫無救贖之世的可悲靈魂。\在前方等著的，只有深邃的幽暗之谷。
130001	第1關	神聖之夜Ⅰ	
130002	第2關	驅逐惡魔	
130003	第3關	神聖之夜Ⅱ	
130004	第4關	奪回作戰	
130005	第5關	神聖之夜Ⅲ	
130006	第6關	狂熱信徒的傲慢	
130007	第7關	神聖之夜Ⅳ	
130008	第8關	復甦與覺醒	
1400		夏季醜聞	對魔王爭奪戰厭倦了嗎？\出發前往熱情島嶼吧！人間天堂啊！
140001	第1關	熱情島嶼	
140002	第2關	迷人的度假村	
140003	第3關	熱情島嶼	
140004	第4關	沙灘排球	
140005	第5關	熱情島嶼	
140006	第6關	大猩猩之謎	
140007	第7關	熱情島嶼	
140008	第8關	夏日假期	
1500		Café de Petit	歡迎光臨Café de Petit♥
150001	第1關	邀請函I	
150002	第2關	可愛的訪客	
150003	第3關	邀請函II	
150004	第4關	神槍女僕	
150005	第5關	邀請函III	
150006	第6關	Yes，My lord…	
150007	第7關	邀請函IV	
150008	第8關	我所愛之人	
1600		DEVILIVE！！	讓我們一起前往璀璨的夢之演唱會吧！
160001	第1關	夢之演唱會	
160002	第2關	Planet Party	
160003	第3關	夢之演唱會	
160004	第4關	要當多久的練習生？	
160005	第5關	夢之演唱會	
160006	第6關	偶像的自尊	
160007	第7關	夢之演唱會	
160008	第8關	再來一曲！	
1900		火爆女孩	浴火重生，再次夢想！
190001	第1關	在火上行走	
190002	第2關	-禍-	
190003	第3關	在火上行走	
190004	第4關	-線索-	
190005	第5關	在火上行走	
190006	第6關	-憤怒-	
190007	第7關	在火上行走	
190008	第8關	-希望-	
2000		秘密新娘	我的新娘，將妳的命運交到我手中吧！
200001	第1關	秘密新娘	
200002	第2關	命運的婚禮進行曲。	
200003	第3關	來自新娘島的信	
200004	第4關	新娘入場？！	
200005	第5關	秘密新娘	
200006	第6關	新郎入場！	
200007	第7關	秘密新娘	
200008	第8關	我的太陽，我的新娘。	
2100		消失的雙子	看吶，新的妲比誕生了！
210001	第1關	雙面妲比I	
210002	第2關	蟄伏之影	
210003	第3關	雙面妲比II	
210004	第4關	另一個妲比	
210005	第5關	雙面妲比III	
210006	第6關	搖籃	
210007	第7關	歸來之繭	
210008	第8關	覺醒的妲比	
2200		EVILS UNDER THE SUN	來找盧茵的神秘女子是……！
220001	第1關	盧茵的特訓 I	
220002	第2關	道場挑戰	
220003	第3關	盧茵的特訓 II	
220004	第4關	魔弓射手	
220005	第5關	盧茵的特訓 III	
220006	第6關	妲比的消失	
220007	第7關	盧茵的特訓 IV	
220008	第8關	賭上自尊	
2300		上主，求你垂憐	誰來...將我從這必死的肉體中解放。
230001	第1關	主吶，請憐憫我們吧I	
230002	第2關	迷途羔羊	
230003	第3關	主吶，請憐憫我們吧II	
230004	第4關	叛逆者	
230005	第5關	主吶，請憐憫我們吧III	
230006	第6關	和平與你同在	
230007	第7關	主吶，請憐憫我們吧IV	
230008	第8關	毋殺人	
2400		夏日射手	傳奇水槍手的靈魂。
240001	第1關	河邊亡命之徒	
240002	第2關	亡命之徒挑戰	
240003	第3關	河邊亡命之徒	
240004	第4關	水、槍一體	
240005	第5關	河邊亡命之徒	
240006	第6關	湧泉射擊	
240007	第7關	河邊亡命之徒	
240008	第8關	填充水彈	
2500		Catherine: Full Body	K的平行世界
250001	第1關	幕間	
250002	第2關	第1篇	
250003	第3關	幕間	
250004	第4關	第2篇	
250005	第5關	幕間	
250006	第6關	第3篇	
250007	第7關	幕間	
250008	第8關	第4篇	
2600		悲慘世界	他使我住在幽暗之處，像死了許久的人一樣。\耶利米哀歌第三章第六節
260001	第1關	煩惱	
260002	第2關	禁忌	
260003	第3關	屍體	
260004	第4關	地獄天使	
260005	第5關	罪人之印	
260006	第6關	娃娃	
260007	第7關	第二次的死	
260008	第8關	報復者	
2700		童年之末	如今，夢已逝去，\取而代之的是寒風呼嘯的日子。
270001	第1關	殺	
270002	第2關	傷疤	
270003	第3關	盲孩	
270004	第4關	王的降臨	
270005	第5關	冥界之風	
270006	第6關	團聚	
270007	第7關	煉獄	
270008	第8關	童年之終	
2800		無盡的情人節	這是什麼感覺？為什麼我的心跳得那麼快？
280001	第1關	欲知何謂愛	
280002	第2關	為愛的妙藥	
280003	第3關	希特莉的妹妹？	
280004	第4關	真愛之吻	
280005	第5關	奇怪的巧克力結局	
280006	第6關	究極的選擇結局	
280007	第7關	死路攻略法	
280008	第8關	正確的結尾	
2900		救贖	他會從惡意中將你拯救而出的。\對他抱持著毫不動搖的信念吧。
290001	第1關	窄門	
290002	第2關	冥界	
290003	第3關	聖母	
290004	第4關	生命之息	
290005	第5關	冥界	
290006	第6關	羊之衣	
290007	第7關	可疑的使徒	
290008	第8關	把你的燈臺從原處挪去	
3000		Romeo & Juliet	在互相擦肩而過的舞台上，會為全新愛戀的舞台揭幕嗎？
300001	第1關	勇氣與愛	
300002	第2關	真實的演技與真實的心情	
300003	第3關	評審與獎金	
300004	第4關	劇院與代演	
300005	第5關	誠二與英花	
300006	第6關	虛榮與故意	
300007	第7關	舞台與出演	
