// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1001	3-5★Child召喚券	在高級召喚池中召喚一名<size=1.1><color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1002	1-3★Child召喚券	在金幣召喚池中召喚一名<size=1.1><color=ffc400>1★</color></size>至<size=1.1><color=ffc400>3★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1003	4-5★Child召喚券	在高級召喚池中召喚一名<size=1.1><color=ffc400>4★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1004	2-4★Child召喚券	在金幣召喚池中召喚一名<size=1.1><color=ffc400>2★</color></size>至<size=1.1><color=ffc400>4★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1005	1-5★Child召喚券	在金幣召喚池中召喚一名<size=1.1><color=ffc400>1★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1006	1-2★Child召喚券	在金幣召喚池中召喚一名<size=1.1><color=ffc400>1★</color></size>至<size=1.1><color=ffc400>2★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1007	2-3★Child召喚券	在金幣召喚池中召喚一名<size=1.1><color=ffc400>2★</color></size>至<size=1.1><color=ffc400>3★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1008	3-4★Child召喚券	在高級召喚池中召喚一名<size=1.1><color=ffc400>3★</color></size>至<size=1.1><color=ffc400>4★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1101	3★Child召喚券	在高級召喚池中召喚一名<size=1.1><color=ffc400>3★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1102	4★Child召喚券	在高級召喚池中召喚一名<size=1.1><color=ffc400>4★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1103	5★Child召喚券	在高級召喚池中召喚一名<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1201	3-5★強化Child召喚券	召喚一名強化用Child。
1202	1-5★強化Child召喚券	召喚一名強化用Child。
1203	1-3★強化Child召喚券	召喚一名強化用Child。
1204	3★強化Child召喚券	召喚一名強化用Child。
1205	4★強化Child召喚券	召喚一名強化用Child。
1206	5★強化Child召喚券	召喚一名強化用Child。
1400	限量5★水屬性召喚券	在高級召喚池中召喚一名\<size=1.1><color=2287d8>水屬性</color> <color=ffc400>5★Child</color></size>。
1401	5★Child召喚券	可讓你獲得奧爾加、緒林克斯、夏娃或朱庇特的5★Child召喚券。
1402	限量5★闇屬性召喚券	
1403	5★Child召喚券(活動)	此5★Child召喚券將召喚米里娜、黛娜、瑪亞特或潘迪恩其中之一。
1404	5★Child召喚券	可召喚黑帝斯、黛娜、弗雷、梅芙或梅提斯的5★Child召喚券。
1405	5★水屬性Child召喚券	可讓你獲得5★水屬性Child的5★水屬性Child召喚券(包含暗黑剋星麗莎)。
1406	5★Child召喚券	可讓你獲得夏娃、那伊阿得斯、瑪爾斯或聖誕老人的5★Child召喚券
1407	5★Child召喚券	可讓你獲得瑪亞特、解放的瑪亞特、嫦娥或守護神嫦娥的5★Child召喚券。
1408	5★水屬性Child召喚券	可讓你獲得桑納托斯、奧爾加、夏娃、那伊阿得斯、瑪爾斯、魯薩爾卡、嫦娥或卡莉普索的5★Child召喚券。
1409	5★木屬性Child召喚券	可讓你獲得藪貓、邁達斯、亞巴頓、瑪門、艾波娜、緒林克斯、賽蓮或赫拉的Child召喚券。
1410	5★Child召喚券	可讓你獲得弗雷、潘迪恩、瑪亞特或嫦娥的Child召喚券。
1411	玩家特選召喚券 I	可召喚問卷前三名輔助型Child的召喚券。
1412	玩家特選召喚券 II	可召喚問卷前三名干擾型Child的召喚券。
1413	玩家特選召喚券	可召喚玩家特選前三名攻擊型的召喚券。
1414	5★Child召喚券	此5★Child召喚券將召喚布朗尼、艾波娜、坎普斯或邁達斯其中之一。
1415	玩家特選召喚券 IV	可召喚問卷前三名治癒型Child的召喚券。
1416	5★Child召喚券	可召喚瑪弗德特、芭絲黛特、瑪爾斯或朱庇特的5★Child召喚券。
1417	玩家特選召喚券 V	可召喚問卷前三名防禦型Child的召喚券。\(黛娜、迪娜希或瑪爾斯)
1418	5★Child召喚券	可讓你獲得嫦娥、潘迪恩、梅提斯或艾波娜的Child召喚券。
1419	5★Child召喚券	可讓你獲得暗黑剋星麗莎、夏娃、那伊阿得斯或希特莉的Child召喚券。
1420	5★Child召喚券	可讓你獲得新人莫娜、嫦娥、巴托里、梅提斯、魔王妲比或摩根的Child召喚券
1421	5★Child召喚券	可召喚新人莫娜、秋牡丹、黛娜或流氓邁達斯的5★Child召喚券。
1422	5★Child召喚券	可讓你獲得艾麗、派對巨星梅芙、迪娜希或烈日沙灘莫娜的5★Child召喚券。
1423	5★Child召喚券	可召喚花魁巴托里、轉學生夏娃、田園的潘或流氓邁達斯的召喚券。
1424	5★Child召喚券	可召喚淑女巴托里或花魁巴托里的召喚券。
1425	5★Child召喚券	可召喚新人莫娜或烈日沙灘莫娜的召喚券。
1426	5★Child召喚券	可召喚暗黑剋星麗莎或比基尼麗莎的召喚券。
1427	5★Child召喚券	可召喚淨火的狄蜜特、白誠雅典娜、神聖的妮可或白手伊索德的召喚券。
1428	5★Child召喚券	一張用來召喚星夜阿斯特莉亞、白誠雅典娜、春之貝絲或情報員布朗尼的召喚券。
1429	5★Child召喚券	一張召喚神樂狼人、月光狼人、帕拉斯或虛幻的迪朗達爾的召喚券。
1430	5★Child召喚券	一張召喚純白的波摩納、雅典娜或偽君子巴貝爾的召喚券。
1431	5★Child召喚券	一張召喚新娘希爾德、純白的波摩納、天真維納斯♥或復甦的弗雷的召喚券。
1432	5★Child召喚券	一張召喚神樂狼人、烈日沙灘莫娜、淑女巴托里或不屈的自請妃的召喚券。
1433	5★Child召喚券	一張用來召喚煉金術師沃丹、比基尼麗莎、新人莫娜或努力派娜普圖♥的召喚券。
1434	5★Child召喚券	一張召喚自嘲的娜薇、純白的波摩納、勤勉工作迪諾或仲夏秋牡丹的召喚券。
1435	5★Child召喚券	一張用來召喚淨火的狄蜜特、煉金術師沃丹、春之貝絲或騎士達芙妮的召喚券。
1436	5★Child召喚券	一張召喚偽君子巴貝爾、復甦的弗雷、新娘希爾德或淑女巴托里的召喚券。
1437	5★Child召喚券	可召喚聖誕勒達、\逃亡緹絲貝或先知黛娜的召喚券。
1438	5★Child召喚券	可召喚神秘的轉學生夏娃、白手伊索德、指引者麗塔或九尾狐玉藻前的召喚券。
1439	5★Child召喚券	可召喚正義之花瑪弗德特或正義的瑪弗德特的召喚券。
1440	5★Child召喚券	可召喚神樂狼人或月光狼人的召喚券。
1441	5★Child召喚券	一張用來召喚自嘲的娜薇、舞者莎樂美、騎士達芙妮或烈日沙灘莫娜的召喚券。
1442	5★Child召喚券	一張用來召喚飢餓的麗莫斯、花魁巴托里、雅典娜或純白的波摩納的召喚券。
1443	DOAXVV召喚券	可召喚霞、穗香、瑪莉‧蘿絲、綾音或麗鳳的召喚券。
1444	5★Child召喚券	一張召喚愛恨交織妲比、自傲的菲爾納多、天真維納斯♥或淑女巴托里的召喚券。
1445	5★Child召喚券	一張召喚決戰安妮、騎士庫巴巴、神射手比利或淨火的狄蜜特的召喚券。
1446	5★Child召喚券	一張用來召喚學校泳裝妲比、神樂狼人、偽君子巴貝爾或正義之花瑪弗德特的召喚券。
1447	5★Child召喚券	一張用來召喚不屈的自請妃、仲夏秋牡丹、新人莫娜或暗黑剋星麗莎的召喚券。
1448	5★Child召喚券	一張用來召喚勤勉的迪諾、純白的波摩納、努力派娜普圖♥或帕拉斯的召喚券。
1449	5★Child召喚券	一張用來召喚神秘的轉學生夏娃、白手伊索德、指引者麗塔或魔方摩亞的召喚券。
1450	5★Child召喚券	一張用來召喚魔姬慶野、雅典娜、浪漫的伊菲斯或蛻變妲比的召喚券。
1451	3-5★聖誕活動召喚券	一張用來召喚回憶中的聖誕老人、欺瞞的坎普斯、神聖的妮可、不請自來的魯道夫、沉默的妖精或好孩子的禮物袋的召喚券。
1452	5★Child召喚券	一張召喚甜美的希特莉、復甦的弗雷、新月露娜或自嘲的娜薇的召喚券。
1453	5★Child召喚券	一張召喚平靜的姬瓦、夢想家薩圖恩♥、天真維納斯♥或純白的波摩納的召喚券。
1454	5★Child召喚券	可召喚淑女巴托里、逃亡緹絲貝、飢餓的麗莫斯或神射手比利的召喚券。
1455	5★Child召喚券	一張用來召喚神樂狼人、派對巨星梅芙、嘲笑的提爾鋒或小小的迪娜希的召喚券。
1456	5★Child召喚券	一張用來召喚新人莫娜、陽光的嫦娥、星夜阿斯特莉亞或先知黛娜的召喚券。
1457	5★Child召喚券	一張用來召喚決戰安妮、煉金術師沃丹、比基尼麗莎或努力派娜普圖♥的召喚券。
1458	5★Child召喚券	一張用來召喚花魁巴托里、舞者莎樂美、魅力的布麗姬或傳教的黛娜的召喚券。
1459	5★Child召喚券	一張用來召喚驅魔師尼爾提、白手伊索德、孤劍提亞瑪特或夢想家薩圖恩♥的召喚券。
1460	5★Child召喚券	一張用來召喚善良的里歐、勤勉的迪諾、學校泳裝妲比或逃亡緹絲貝的召喚券。
1461	5★Child召喚券	一張用來召喚飢餓的麗莫斯、神射手比利、滑雪艾修或新人莫娜的召喚券。
1462	5★Child召喚券	一張召喚騎士達芙妮,亮眼維納斯♥,偽君子巴貝爾或淑女巴托里的召喚券。
1463	5★Child召喚券	可召喚不安的塞爾凱特、閃耀的瑪爾斯♥、田園的潘或悲慟的報喪女妖的召喚券。
1464	5★Child召喚券	可召喚正義之花瑪弗德特、花魁巴托里、平靜的姬瓦或魅惑的赫克特的召喚券。
1465	5★Child召喚券	可召喚九尾狐玉藻前、蛻變妲比、努力派娜普圖♥或聖誕勒達的召喚券。
1466	5★Child召喚券	可召喚月光狼人、努力派娜普圖♥、無目標的潘迪恩或逃亡緹絲貝的召喚券。
1467	5★Child召喚券	一張召喚冰刃尤彌爾、閃亮娜普圖♥、純白的波摩納或可愛的歐洛斯的召喚券。
1468	5★Child召喚券	一張召喚神樂狼人、淑女巴托里、黎明的薩圖恩♥或烈日沙灘莫娜的召喚券。
1469	5★Child召喚券	一張用來召喚夢想家薩圖恩♥、驅魔師該隱、陽光的嫦娥或新人莫娜的召喚券。
1470	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1471	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1472	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1473	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1474	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1475	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1476	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1477	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1478	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1479	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1480	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1481	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1482	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1483	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1484	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1485	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1486	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1487	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1488	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1489	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1490	5★攻擊型Child召喚券	召喚一位<size=1.1><color=ff0000>攻擊型</color><color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含跨界合作Child。)</color>
1491	5★防禦型Child召喚券	召喚一位<size=1.1><color=ff0000>防禦型</color><color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含跨界合作Child。)</color>
1492	5★治癒型Child召喚券	召喚一位<size=1.1><color=ff0000>治癒型</color><color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含跨界合作Child。)</color>
1493	5★干擾型Child召喚券	召喚一位<size=1.1><color=ff0000>干擾型</color><color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含跨界合作Child。)</color>
1494	5★輔助型Child召喚券	召喚一位<size=1.1><color=ff0000>輔助型</color><color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含跨界合作Child。)</color>
1495	5★水屬性Child召喚券	召喚一名<size=1.1><color=ff0000>水屬性</color> <color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1496	5★火屬性Child召喚券	召喚一名<size=1.1><color=ff0000>火屬性</color> <color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1497	5★木屬性Child召喚券	召喚一名<size=1.1><color=ff0000>木屬性</color> <color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1498	5★光屬性Child召喚券	召喚一名<size=1.1><color=ff0000>光屬性</color> <color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1499	5★闇屬性Child召喚券	召喚一名<size=1.1><color=ff0000>闇屬性</color> <color=ffc400>5★Child</color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1500	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1501	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1502	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1503	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1504	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1505	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1506	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1507	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1508	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1509	5★Child召喚券	在高級召喚池中召喚一名<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
