// key	HECATE_STORY_TITLE_	HECATE_STORY_DESC_
100001001	อารัมภบทศึกชิงบัลลังก์ราชาปีศาจ	
100001002	บทนำ: โหมดฝึกสอน	
100001003	บทสอนการเล่น 2	
100001004	บทสอนการเล่น 3(1/2)	
100001005	บทสอนการเล่น 3(2/2)	
100001006	บทสอนการเล่น 4	
100001007	บทนำ: ดีมีเทอร์	
100001008	ดันเจี้ยนแห่งวิญญาณ(1/2)	
100001009	ดันเจี้ยนแห่งวิญญาณ(2/2)	
100001010	ปีศาจผู้น่าสงสาร(1/2)	
100001011	ปีศาจผู้น่าสงสาร(2/2)	
100001012	ศึกชิงบัลลังก์ราชาปีศาจ(1/2)	
100001013	ศึกชิงบัลลังก์ราชาปีศาจ(2/2)	
100001014	ดีมีเทอร์จอมหลอกลวง(1/2)	
100001015	ดีมีเทอร์จอมหลอกลวง(2/2)	
100001016	ช่วงเวลาพัก: ดีมีเทอร์	
100001017	ธาตุแท้ของซัคคิวบัส	
100001018	ปีศาจสหัสวรรษ	
100001019	ความปรารถนาของมนุษย์	
100001020	กิเลสและความโทมนัส(1/2)	
100001021	กิเลสและความโทมนัส(2/2)	
100001022	บทนำ: อาหารแสนอร่อย	
100001023	ปีศาจแห่งความอุตสาหะ(1/2)	
100001024	ปีศาจแห่งความอุตสาหะ(2/2)	
100001025	ปีศาจผู้สอบตก	
100001026	ความผิดพลาดซ้ำๆ	
100001027	ความปรารถนาที่แท้จริง(1/2)	
100001028	ความปรารถนาที่แท้จริง(2/2)	
100001029	บทนำ: แมมมอน	
100001030	เปิดตัวราชันย์สีทอง(1/2)	
100001031	เปิดตัวราชันย์สีทอง(2/2)	
100001032	ท่องเที่ยวอย่างราชา(1/2)	
100001033	ท่องเที่ยวอย่างราชา(2/2)	
100002001	ฉากเปิด	
100002002	บทนำ: ไฟโร	
100002003	เด็กชายธรรมดา(1/2)	
100002004	เด็กชายธรรมดา(2/2)	
100002005	เลือดร้อน VS สันหลังยาว(1/2)	
100002006	เลือดร้อน VS สันหลังยาว(2/2)	
100002007	ความมีน้ำใจของแชมเปี้ยน	
100002008	ไฟโรที่ลุกไหม้(1/2)	
100002009	ไฟโรที่ลุกไหม้(2/2)	
100002010	บทนำ: คูสิธ	
100002011	นักล่าปีศาจ	
100002012	เขี้ยวแห่งความภาคภูมิ	
100002013	สงครามผู้อัญเชิญ	
100002014	ศัตรูในละแวกบ้าน(1/2)	
100002015	ศัตรูในละแวกบ้าน(2/2)	
100002016	บทนำ: เฟรยา	
100002017	แมวบาดเจ็บ	
100002018	คนประหลาด	
100002019	แขกที่ไม่ได้รับเชิญ	
100002020	แมวที่หนีไป(1/2)	
100002021	แมวที่หนีไป(2/2)	
100002022	ช่วงเวลาพัก: เฟรยา	
100002023	แมวขี้ขลาด	
100002024	แมวป่า	
100002025	แมวคราง	
100002026	ความรู้สึกของแมว(1/2)	
100002027	ความรู้สึกของแมว(2/2)	
100003001	ฉากเปิด	
100003002	บทนำ: เฮคาที	
100003003	ปีศาจชั้นต่ำ(1/2)	
100003004	ปีศาจชั้นต่ำ(2/2)	
100003005	ปีศาจผู้มีมารยาทปานกลาง(1/2)	
100003006	ปีศาจผู้มีมารยาทปานกลาง(2/2)	
100003007	ความพึงพอใจของผู้ช่วย(1/2)	
100003008	ความพึงพอใจของผู้ช่วย(2/2)	
100003009	ดวงใจแม่มด(1/2)	
100003010	ดวงใจแม่มด(2/2)	
100003011	บทนำ: ร้านสะดวกซื้อ	
100003012	ปีศาจร้านสะดวกซื้อ	
100003013	ข้าวปั้น	
100003014	ความหมายของการเป็นมาสเตอร์	
100003015	หนึ่งวันในร้านสะดวกซื้อ(1/2)	
100003016	หนึ่งวันในร้านสะดวกซื้อ(2/2)	
100003017	บทนำ: โจนออฟอาร์ค	
100003018	การโต้กลับของเฟรย์(1/2)	
100003019	การโต้กลับของเฟรย์(2/2)	
100003020	เพราะเหมือนกันจึงต่อต้านกัน	
100003021	สายเลือดเทพี(1/2)	
100003022	สายเลือดเทพี(2/2)	
100003023	โจมตีด้วยเอกสาร(1/2)	
100003024	โจมตีด้วยเอกสาร(2/2)	
