// key	ITEM_OPTION_NAME_	ITEM_OPTION_MAX_VALUE_TYPE_
11000011	เพิ่มความเร็ว {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000012	เพิ่มความเร็ว {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000013	เพิ่มความเร็ว {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000014	เพิ่มความเร็ว {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000015	เพิ่มความเร็ว {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000016	เพิ่มความเร็ว {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000021	เพิ่มพลังป้องกัน {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000022	เพิ่มพลังป้องกัน {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000023	เพิ่มพลังป้องกัน {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000024	เพิ่มพลังป้องกัน {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000025	เพิ่มพลังป้องกัน {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000026	เพิ่มพลังป้องกัน {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000031	เพิ่มความเร็ว {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000032	เพิ่มความเร็ว {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000033	เพิ่มความเร็ว {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000034	เพิ่มความเร็ว {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000035	เพิ่มความเร็ว {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000036	เพิ่มความเร็ว {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000041	เพิ่มความเร็ว {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000042	เพิ่มความเร็ว {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000043	เพิ่มความเร็ว {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000044	เพิ่มความเร็ว {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000045	เพิ่มความเร็ว {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000046	เพิ่มความเร็ว {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000051	เพิ่มคริติคอล {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000052	เพิ่มคริติคอล {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000053	เพิ่มคริติคอล {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000054	เพิ่มคริติคอล {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000055	เพิ่มคริติคอล {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000056	เพิ่มคริติคอล {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000061	เพิ่มพลังโจมตี {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000062	เพิ่มพลังโจมตี {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000063	เพิ่มพลังโจมตี {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000064	เพิ่มพลังโจมตี {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000065	เพิ่มพลังโจมตี {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000066	เพิ่มพลังโจมตี {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000071	เพิ่มพลังป้องกัน {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000072	เพิ่มพลังป้องกัน {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000073	เพิ่มพลังป้องกัน {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000074	เพิ่มพลังป้องกัน {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000075	เพิ่มพลังป้องกัน {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000076	เพิ่มพลังป้องกัน {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000081	เพิ่มพลังป้องกัน {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000082	เพิ่มพลังป้องกัน {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000083	เพิ่มพลังป้องกัน {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000084	เพิ่มพลังป้องกัน {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000085	เพิ่มพลังป้องกัน {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000086	เพิ่มพลังป้องกัน {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000091	เพิ่ม HP {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000092	เพิ่ม HP {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000093	เพิ่ม HP {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000094	เพิ่ม HP {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000095	เพิ่ม HP {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000096	เพิ่ม HP {value} ให้คริติคอล	จำกัดการเพิ่มสูงสุด
11000101	เพิ่มคริติคอล {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000102	เพิ่มคริติคอล {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000103	เพิ่มคริติคอล {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000104	เพิ่มคริติคอล {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000105	เพิ่มคริติคอล {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000106	เพิ่มคริติคอล {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000111	เพิ่มพลังโจมตี {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000112	เพิ่มพลังโจมตี {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000113	เพิ่มพลังโจมตี {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000114	เพิ่มพลังโจมตี {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000115	เพิ่มพลังโจมตี {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000116	เพิ่มพลังโจมตี {value} ให้ HP	จำกัดการเพิ่มสูงสุด
11000121	เพิ่ม HP {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000122	เพิ่ม HP {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
11000123	เพิ่ม HP {value} ให้พลังโจมตี	จำกัดการเพิ่มสูงสุด
