// key	LUCKY_BOX_	LUCKY_BOX_DESC_
1000	แพ็คผู้เป็นอิสระมาอัต	กล่องนี้มีรางวัลมากมาย
1001	หีบเดวิลพาส (ผู้เป็นอิสระมาอัต)	กล่องนี้มีรางวัลมากมาย
1002	แพ็คผู้หลงทางมาอัต	กล่องนี้มีรางวัลมากมาย
1003	หีบเดวิลพาส (บราวนี่)	กล่องนี้มีรางวัลมากมาย
1004	แพ็คบราวนี่	กล่องนี้มีรางวัลมากมาย
1005	แพ็คฮาเดส	กล่องนี้มีรางวัลมากมาย
1006	แพ็คมือปราบทมิฬ ลิซ่า	กล่องนี้มีรางวัลมากมาย
1007	แพ็คออลกา	กล่องนี้มีรางวัลมากมาย
1008	กล่องแห่งโชคฟิกตัวคาลิปโซ่	กล่องนี้มีรางวัลมากมาย
1009	กล่องแห่งโชคฟิกตัวอีฟ	กล่องนี้มีรางวัลมากมาย
1010	กล่องแห่งโชคคาลิปโซ่	กล่องนี้มีรางวัลมากมาย
20000	กล่องแห่งโชค\แมวป่า	กล่องนี้มีรางวัลมากมาย
20001	กล่องแห่งโชค\สุนัขจิ้งจอก	กล่องนี้มีรางวัลมากมาย
20002	กล่องแห่งโชค แรคคูน	กล่องนี้มีรางวัลมากมาย
20003	กล่องแห่งโชค\เพื่อน	กล่องนี้มีรางวัลมากมาย
20004	กล่องแห่งโชคแวร์วูฟ	กล่องนี้มีรางวัลมากมาย
20005	กล่องแห่งโชคเฟรย์	กล่องนี้มีรางวัลมากมาย
20006	กล่องแห่งโชคโอนิกซ์	กล่องนี้มีรางวัลมากมาย
20007	กล่องแห่งโชคโซลคาร์ต้า	กล่องนี้มีรางวัลมากมาย
20008	กล่องแห่งโชคโซลคาร์ต้า	กล่องนี้มีรางวัลมากมาย
20009	กล่องแห่งโชคไชลด์เพิ่มระดับ	กล่องนี้มีรางวัลมากมาย
20010	กล่องแห่งโชคอุปกรณ์	กล่องนี้มีรางวัลมากมาย
20011	กล่องแห่งโชคคาซุมิ	กล่องนี้มีรางวัลมากมาย
20012	กล่องแห่งโชคมารี โรส	กล่องนี้มีรางวัลมากมาย
20013	กล่องแห่งโชคโฮโนกะ	กล่องนี้มีรางวัลมากมาย
20014	กล่องแห่งโชคDOA	กล่องนี้มีรางวัลมากมาย
20015	กล่องแห่งโชคทอง	กล่องนี้มีรางวัลมากมาย
20016	กล่องแห่งโชคแอชทอเรธ	กล่องนี้มีรางวัลมากมาย
20017	กล่องแห่งโชครูอิน	กล่องนี้มีรางวัลมากมาย
20018	กล่องแห่งโชคดูรันดัล	กล่องนี้มีรางวัลมากมาย
20019	กล่องแห่งโชคไซริงส์	กล่องนี้มีรางวัลมากมาย
20020	กล่องแห่งโชคเพชรโลหิต	กล่องนี้มีรางวัลมากมาย
20021	กล่องแห่งโชคจาชองบี	กล่องนี้มีรางวัลมากมาย
20022	กล่องแห่งโชคเรดขั้นต้น	กล่องนี้มีรางวัลมากมาย
20023	กล่องแห่งโชค นักพเนจรดอร์ยัง	กล่องนี้มีรางวัลมากมาย
20024	กล่องแห่งโชคทอง	กล่องนี้มีรางวัลมากมาย
20025	กล่องแห่งโชคซิทริ	กล่องนี้มีรางวัลมากมาย
20026	กล่องแห่งโชคอัสเทรีย	กล่องนี้มีรางวัลมากมาย
20027	กล่องแห่งโชคเวิลด์บอส	กล่องนี้มีรางวัลมากมาย
20028	กล่องแห่งโชคเทพีแห่งชายทะเล	กล่องนี้มีรางวัลมากมาย
20029	กล่องแห่งโชคอัสเทรีย	กล่องนี้มีรางวัลมากมาย
20030	กล่องแห่งโชคโนเอล	กล่องนี้มีรางวัลมากมาย
20031	กล่องแห่งโชคมาโกโตะ	กล่องนี้มีรางวัลมากมาย
20032	กล่องแห่งโชคไนน์	กล่องนี้มีรางวัลมากมาย
20033	กล่องแห่งโชคโซลคาร์ต้า	กล่องนี้มีรางวัลมากมาย
20034	กล่องแห่งโชคบิกินีลิซ่า	กล่องนี้มีรางวัลมากมาย
20035	กล่องแห่งโชคจาชองบี	กล่องนี้มีรางวัลมากมาย
20036	แพ็คคาร์ต้าผ่อนคลาย ณ ชายหาด	กล่องนี้มีรางวัลมากมาย
20037	กล่องแห่งโชคแอนิโมน	กล่องนี้มีรางวัลมากมาย
20038	กล่องแห่งโชคเรดขั้นต้น	กล่องนี้มีรางวัลมากมาย
20039	กล่องแห่งโชคชุดว่ายน้ำโรงเรียนดาบิ	กล่องนี้มีรางวัลมากมาย
20040	แพ็คคาร์ต้าการนอนกลางวัน	กล่องนี้มีรางวัลมากมาย
20041	กล่องแห่งโชคคาลิปโซ่	กล่องนี้มีรางวัลมากมาย
20042	แพ็คคาร์ต้าสถานที่งีบหลับขนาดเท่ากาแล็กซี	กล่องนี้มีรางวัลมากมาย
20043	กล่องแห่งโชคบาโทรี	กล่องนี้มีรางวัลมากมาย
20044	กล่องแห่งโชคแครมปัส	กล่องนี้มีรางวัลมากมาย
20045	กล่องแห่งโชคร่างคืนชีพเฟรย์	กล่องนี้มีรางวัลมากมาย
20046	กล่องแห่งโชคเดรสชุดแมวนีมเฮน	กล่องนี้มีรางวัลมากมาย
20047	กล่องแห่งโชคคริสตัล	กล่องนี้มีรางวัลมากมาย
20048	กล่องแห่งโชคไชลด์ธาตุไม้	กล่องนี้มีรางวัลมากมาย
20049	กล่องแห่งโชคของขวัญธรรมดา	กล่องนี้มีรางวัลมากมาย
20050	กล่องแห่งโชคของขวัญพรีเมียม	กล่องนี้มีรางวัลมากมาย
20051	กล่องแห่งโชคโซลคาร์ต้า	กล่องนี้มีรางวัลมากมาย
20052	แพ็คคาร์ต้าสถานที่งีบหลับขนาดเท่ากาแล็กซี	กล่องนี้มีรางวัลมากมาย
20053	กล่องแห่งโชคเด็กใหม่โมนา	กล่องนี้มีรางวัลมากมาย
