// key	OMNI_EVE_MONSTER_NAME_
1001	อาแบดดอน
101	ดร็อปสีแดง
1011	ดร็อปสีเขียว
102	วอทเชอร์
103	กรอน
104	แดง
105	บาซิลิสก์
106	บ็อกเซอร์
107	ผู้บัญชาการจักรกล
108	คาลี ยูกา
109	มิมิก
1101	ดร็อปสีน้ำเงิน
1102	วอทเชอร์
1103	กรอน
1104	น้ำเงิน
1105	บาซิลิสก์
1106	บ็อกเซอร์
1107	ผู้บัญชาการจักรกล
1108	คาลี ยูกา
1109	มิมิก
1201	ดร็อปสีน้ำเงิน
1202	วอทเชอร์
1203	กรอน
1204	น้ำเงิน
1205	บาซิลิสก์
1206	บ็อกเซอร์
1207	ผู้บัญชาการจักรกล
1208	คาลี ยูกา
1209	มิมิก
1301	ดร็อปสีน้ำเงิน
1302	วอทเชอร์
1303	กรอน
1304	น้ำเงิน
1305	บาซิลิสก์
1306	บ็อกเซอร์
1307	ผู้บัญชาการจักรกล
1308	คาลี ยูกา
1309	มิมิก
1401	ดร็อปสีน้ำเงิน
1402	วอทเชอร์
1403	กรอน
1404	น้ำเงิน
1405	บาซิลิสก์
1406	บ็อกเซอร์
1407	ผู้บัญชาการจักรกล
1408	คาลี ยูกา
1409	มิมิก
1501	ฮัลโลวีน
1511	กรอน
1601	ดร็อปสีเหลือง
1602	วอทเชอร์
1603	กรอน
1604	แสง
1605	บาซิลิสก์
1606	บ็อกเซอร์
1607	ผู้บัญชาการจักรกล
1608	คาลี ยูกา
1609	มิมิก
1701	ดร็อปสีเหลือง
1702	วอทเชอร์
1703	กรอน
1704	แสง
1705	บาซิลิสก์
1706	บ็อกเซอร์
1707	ผู้บัญชาการจักรกล
1708	คาลี ยูกา
1709	มิมิก
1801	ดร็อปสีเหลือง
1802	วอทเชอร์
1803	กรอน
1804	แสง
1805	บาซิลิสก์
1806	บ็อกเซอร์
1807	ผู้บัญชาการจักรกล
1808	คาลี ยูกา
1809	มิมิก
1901	ดร็อปสีเหลือง
1902	วอทเชอร์
1903	กรอน
1904	แสง
1905	บาซิลิสก์
1906	บ็อกเซอร์
1907	ผู้บัญชาการจักรกล
1908	คาลี ยูกา
1909	มิมิก
2001	โกโมราห์
201	ดร็อปสีแดง
2011	วอทเชอร์
202	วอทเชอร์
203	กรอน
204	แดง
205	บาซิลิสก์
206	บ็อกเซอร์
207	ผู้บัญชาการจักรกล
208	คาลี ยูกา
209	มิมิก
2101	ดร็อปสีม่วง
2102	วอทเชอร์
2103	กรอน
2104	ม่วง
2105	บาซิลิสก์
2106	บ็อกเซอร์
2107	ผู้บัญชาการจักรกล
2108	คาลี ยูกา
2109	มิมิก
2201	ดร็อปสีม่วง
2202	วอทเชอร์
2203	กรอน
2204	ม่วง
2205	บาซิลิสก์
2206	บ็อกเซอร์
2207	ผู้บัญชาการจักรกล
2208	คาลี ยูกา
2209	มิมิก
2301	ดร็อปสีม่วง
2302	วอทเชอร์
2303	กรอน
2304	ม่วง
2305	บาซิลิสก์
2306	บ็อกเซอร์
2307	ผู้บัญชาการจักรกล
2308	คาลี ยูกา
2309	มิมิก
2401	ดร็อปสีม่วง
2402	วอทเชอร์
2403	กรอน
2404	ม่วง
2405	บาซิลิสก์
2406	บ็อกเซอร์
2407	ผู้บัญชาการจักรกล
2408	คาลี ยูกา
2409	มิมิก
2501	โครเซลล์
2511	ม่วง
2601	อีฟ
2602	อีฟ
2603	อีฟ
2604	อีฟ
301	ดร็อปสีแดง
302	วอทเชอร์
303	กรอน
304	แดง
305	บาซิลิสก์
306	บ็อกเซอร์
307	ผู้บัญชาการจักรกล
308	คาลี ยูกา
309	มิมิก
401	ดร็อปสีแดง
402	วอทเชอร์
403	กรอน
404	แดง
405	บาซิลิสก์
406	บ็อกเซอร์
407	ผู้บัญชาการจักรกล
408	คาลี ยูกา
409	มิมิก
501	มังกรไฟ
601	ดร็อปสีเขียว
602	วอทเชอร์
603	กรอน
604	เขียว
605	บาซิลิสก์
606	บ็อกเซอร์
607	ผู้บัญชาการจักรกล
608	คาลี ยูกา
609	มิมิก
701	ดร็อปสีเขียว
702	วอทเชอร์
703	กรอน
704	เขียว
705	บาซิลิสก์
706	บ็อกเซอร์
707	ผู้บัญชาการจักรกล
708	คาลี ยูกา
709	มิมิก
801	ดร็อปสีเขียว
802	วอทเชอร์
803	กรอน
804	เขียว
805	บาซิลิสก์
806	บ็อกเซอร์
807	ผู้บัญชาการจักรกล
808	คาลี ยูกา
809	มิมิก
901	ดร็อปสีเขียว
902	วอทเชอร์
903	กรอน
904	เขียว
905	บาซิลิสก์
906	บ็อกเซอร์
907	ผู้บัญชาการจักรกล
908	คาลี ยูกา
909	มิมิก
