// key	PIECE_NAME_	PIECE_DESCRIPTION_
10	วอลเลย์บอลชายหาด	สะสมของเหล่านี้เพื่อรับของเซอร์ไพรส์สุดเจ๋ง \โคลาโบ DOA 2019
11	ครั่ง no. 222	ปีศาจใดที่มีฝีมือก็จะรวบรวมสิ่งนี้ได้ \แน่ละว่าต้องมีเรื่องดีๆ เกิดขึ้นเมื่อเจ้ารวบรวมสิ่งนี้ได้มากพอ
12	ใบปลิวคอนเสิร์ต	ใบปลิวคอนเสิร์ตของแพลนเนตปาร์ตี้\เมมเบอร์ต่างแจกใบปลิวไปทั่วเมือง
13	เงินปีใหม่ที่ขอมา	แบงก์ใหม่ๆ แน่นๆ \ใส่ในซอง ทำให้ความปรารถนาใดๆ สมหวังได้แน่
14	แสตมป์แห่งชัยชนะ	ขอให้ชัยชนะอันรุ่งโรจน์จงเป็นของเจ้า\หลักฐานแห่งชัยชนะที่มอบให้แก่ปีศาจผู้ทำภารกิจเสร็จสมบูรณ์
15	ความทรงจำของเทพธิดา	ชุดว่ายน้ำที่ทำให้หวนนึกถึงความทรงจำในฤดูร้อนและเด็กสาวคนนั้น
16	เหรียญ Destiny	เหรียญทองแวววาว\รวบรวมสิ่งเหล่านี้เพื่อรับของเซอร์ไพรส์ที่น่าพอใจ
17	คำเชิญแห่งคำขอบคุณ	ในโอกาสฉลองผู้ท้าชิงตำแหน่งราชาปีศาจครบ 10 ล้านคน\เราขอเชิญคุณเข้าร่วมศึกชิงบัลลังก์ราชาปีศาจ!
18	ลูกโป่งปาร์ตี้	ลูกโป่งปาร์ตี้วันเกิด\สะสมทีละใบเผื่อว่าบางทีมันจะพาเจ้าลอยขึ้นไปจนสุดฟากฟ้าเลยก็ได้นะ
19	มะพร้าว	มะพร้าวหวานนำเข้าโดยตรงจากเกาะอามอส
20	ห่วงลายทาง	ห่วงว่ายน้ำที่สร้างขึ้น\จากความหลงใหลและความดื้อรั้นอันบริสุทธิ์
21	ลูกโป่งปาร์ตี้	ลูกโป่งปาร์ตี้วันเกิด\สะสมทีละใบเผื่อว่าบางทีมันจะพาเจ้าลอยขึ้นไปจนสุดฟากฟ้าเลยก็ได้นะ
22	กลีบซากุระ	กลีบที่ต้อนรับฤดูใบไม้ผลิแรก\สะสมเพื่อรับของเซอร์ไพรส์สุดแฮปปี้
23	กลีบซากุระ	กลีบที่ต้อนรับฤดูใบไม้ผลิแรก\สะสมเพื่อรับของเซอร์ไพรส์สุดแฮปปี้
24	ความรักของพ่อแม่	ดอกคาร์เนชั่นที่จะนำความสงบสุขมาสู่ครอบครัวของเจ้า เจ้าจะต้องเตรียมไม่ใช่แค่หนึ่งดอก แต่เป็นสองดอก ไม่ใช่ดอกไม้ฮาเดส
9	วอลเลย์บอลชายหาด	สะสมของเหล่านี้เพื่อรับของเซอร์ไพรส์สุดเจ๋ง
