// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	การเชื้อเชิญ	จากความตาย		
10020	เทพี	แห่งท้องทะเลสีคราม		
10030	ของดาบิ	ปราสาทปีศาจ		
10040	อำนาจ	โลงศพของแอจีส		
10050	กลางฤดูร้อน	ปีศาจแห่งความฝัน		
10070	ลูกไฟวิญญาณ	วันฮาโลวีน		
10080	การต่อสู้	ความขัดแย้ง	N/A	N/A
10090	ความรักและความกล้า			
10100	เพลงแห่งชัยชนะ	ของราชวงศ์		
10110	เวทีกลาง	นักเต้นระบำ		
10120	เก้าหาง	จิ้งจอก		
10130	เทพีแห่งชีวิต	ผู้เมตตา		
10131	ทุ่ง	แพน		
10140	เก็บเกี่ยวให้ได้เยอะๆ นะ!	เฮเคท		
10150	นักเล่นแร่แปรธาตุ	พเนจร		
10160	ผู้ถูกจับ	เดโบราห์		
10170	ฝีมือของปีศาจเหรอ?	แวมไพร์		
10180	บอดี้การ์ด	อาร์กอส		
10190	คาคัส	ผู้อิสระเสรี	ว่าง	ว่าง
10200	บอส	คาซูมิเหรอ?		
10210	ผู้มีคุณธรรม	ซันนา		
10220	เซ็นเตอร์	นิรันดร์		
10230	ทำตัวดีๆ ล่ะ	เนฟทีส		
10240	นักแม่นปืน	ไวแอตต์		
10261	ผู้ซุกซน	บาริ		
10270	คอทองแดง	ฟอร์คัส		
10280	ผู้รักสงบ	ฮาร์โมเนีย		
10310	การเกิดใหม่	นิโคล		
10340	นักเสี่ยงภัย	เคอิโนะ		
10350	พรายน้ำ	เซนี่		
10370	เทพเพลิงนรก	ซอล		
10390	เจ้าสาว	ทิวัซ		
2000	แร็กนาเบรค	ประตูแห่งโลกปีศาจเปิดออก และเหล่าเทพเจ้าองค์เก่าก็ปรากฏตัว		
200001	เลเวล 1	สัญลักษณ์ของปีศาจ	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200002	เลเวล 2	การปรากฏตัวของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200003	เลเวล 3	การจู่โจมของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200004	เลเวล 4	การโจมตีของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200005	เลเวล 5	การห้ำหั่นของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200006	เลเวล 6	การรบของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200007	เลเวล 7	การโจมตีของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200008	เลเวล 8	การปล้นสะดมของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200009	เลเวล 9	การไล่ล่าของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200010	เลเวล 10	การยอมจำนนของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200011	เลเวล 11	สงครามของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200012	เลเวล 12	การต่อสู้อันดุเดือดของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200013	เลเวล 13	ความขัดแย้งของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200014	เลเวล 14	การต่อสู้ฟาดฟันของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200015	เลเวล 15	การดิ้นรนของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200016	เลเวล 16	การฆาตกรรมหมู่ของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200017	เลเวล 17	การวิวาทของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200018	เลเวล 18	การโจมตีอย่างรวดเร็วของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200019	เลเวล 19	การนองเลือดของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200020	เลเวล 20	การต่อสู้อันเดือดพล่านของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200021	เลเวล 21	โล่ของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200022	เลเวล 22	ป้อมปราการของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200023	เลเวล 23	การสร้างทำนบกั้นของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200024	เลเวล 24	ข่าวลือของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200025	เลเวล 25	เขตแดนของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200026	เลเวล 26	ผู้คุ้มกันของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200027	เลเวล 27	เตรียมรับการจู่โจมของเหล่าเทพ	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200028	เลเวล 28	การป้องกันที่แข็งแกร่งของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200029	เลเวล 29	การต่อต้านอันศักดิ์สิทธิ์	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200030	เลเวล 30	การบุกและการป้องกันของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>
200031	เลเวล 31	การโต้กลับของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
200032	เลเวล 32	การรุกตอบโต้ของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
200033	เลเวล 33	ความแปรผันของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
200034	เลเวล 34	การแก้แค้นของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
200035	เลเวล 35	การตอบโต้ของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
200036	เลเวล 36	ผลกรรมสนองของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
200037	เลเวล 37	ผู้ต่อต้านของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
200038	เลเวล 38	การเป็นปฏิปักษ์ของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
