// key	RECIPE_NAME_	RECIPE_DESC_
20001	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ: ธาตุน้ำ	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ
20002	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ: ธาตุไฟ	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ
20003	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ: ธาตุไม้	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ
20004	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ: ธาตุแสง	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ
20005	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ: ธาตุมืด	ร่ายมนต์ตั๋วอัญเชิญ 10 ใบ
20006	ร่ายมนต์ตั๋วอัญเชิญ 5★: ธาตุน้ำ	ร่ายมนต์ตั๋วอัญเชิญ 5★
20007	ร่ายมนต์ตั๋วอัญเชิญ 5★: ธาตุไฟ	ร่ายมนต์ตั๋วอัญเชิญ 5★
20008	ร่ายมนต์ตั๋วอัญเชิญ 5★: ธาตุไม้	ร่ายมนต์ตั๋วอัญเชิญ 5★
20009	ร่ายมนต์ตั๋วอัญเชิญ 5★: ธาตุแสง	ร่ายมนต์ตั๋วอัญเชิญ 5★
20010	ร่ายมนต์ตั๋วอัญเชิญ 5★: ธาตุมืด	ร่ายมนต์ตั๋วอัญเชิญ 5★
30001	ตั๋วอัญเชิญการหลอมโซลคาร์ต้าปริซึม 5★	ใช้ตั๋วอัญเชิญวัตถุดิบ 5★ และการหลอมโซลคาร์ต้าปริซึม 5★
30002	ตั๋วอัญเชิญการหลอมโซลคาร์ต้า 5★	ใช้ตั๋วอัญเชิญวัตถุดิบ 4★ และการหลอมโซลคาร์ต้า 5★
30003	ตั๋วอัญเชิญการหลอมโซลคาร์ต้า 4-5★	ใช้ตั๋วอัญเชิญวัตถุดิบ 4★ และการหลอมโซลคาร์ต้า 4-5★
40002	แยกวัตถุดิบวิวัฒนาการ: ธาตุน้ำ 2★	แยกวัตถุดิบวิวัฒนาการ 2★ ออกเป็น 1★ 2 อัน
40003	แยกวัตถุดิบวิวัฒนาการ: ธาตุน้ำ 3★	แยกวัตถุดิบวิวัฒนาการ 3★ ออกเป็น 2★ 2 อัน
40004	แยกวัตถุดิบวิวัฒนาการ: ธาตุน้ำ 4★	แยกวัตถุดิบวิวัฒนาการ 4★ ออกเป็น 3★ 3 อัน
40005	แยกวัตถุดิบวิวัฒนาการ: ธาตุน้ำ 5★	แยกวัตถุดิบวิวัฒนาการ 5★ ออกเป็น 4★ 3 อัน
40006	แยกวัตถุดิบวิวัฒนาการ: ธาตุไฟ 2★	แยกวัตถุดิบวิวัฒนาการ 2★ ออกเป็น 1★ 2 อัน
40007	แยกวัตถุดิบวิวัฒนาการ: ธาตุไฟ 3★	แยกวัตถุดิบวิวัฒนาการ 3★ ออกเป็น 2★ 2 อัน
40008	แยกวัตถุดิบวิวัฒนาการ: ธาตุไฟ 4★	แยกวัตถุดิบวิวัฒนาการ 4★ ออกเป็น 3★ 3 อัน
40009	แยกวัตถุดิบวิวัฒนาการ: ธาตุไฟ 5★	แยกวัตถุดิบวิวัฒนาการ 5★ ออกเป็น 4★ 3 อัน
40010	แยกวัตถุดิบวิวัฒนาการ: ธาตุไม้ 2★	แยกวัตถุดิบวิวัฒนาการ 2★ ออกเป็น 1★ 2 อัน
40011	แยกวัตถุดิบวิวัฒนาการ: ธาตุไม้ 3★	แยกวัตถุดิบวิวัฒนาการ 3★ ออกเป็น 2★ 2 อัน
40012	แยกวัตถุดิบวิวัฒนาการ: ธาตุไม้ 4★	แยกวัตถุดิบวิวัฒนาการ 4★ ออกเป็น 3★ 3 อัน
40013	แยกวัตถุดิบวิวัฒนาการ: ธาตุไม้ 5★	แยกวัตถุดิบวิวัฒนาการ 5★ ออกเป็น 4★ 3 อัน
40014	แยกวัตถุดิบวิวัฒนาการ: ธาตุแสง 2★	แยกวัตถุดิบวิวัฒนาการ 2★ ออกเป็น 1★ 2 อัน
40015	แยกวัตถุดิบวิวัฒนาการ: ธาตุแสง 3★	แยกวัตถุดิบวิวัฒนาการ 3★ ออกเป็น 2★ 2 อัน
40016	แยกวัตถุดิบวิวัฒนาการ: ธาตุแสง 4★	แยกวัตถุดิบวิวัฒนาการ 4★ ออกเป็น 3★ 3 อัน
40017	แยกวัตถุดิบวิวัฒนาการ: ธาตุแสง 5★	แยกวัตถุดิบวิวัฒนาการ 5★ ออกเป็น 4★ 3 อัน
40018	แยกวัตถุดิบวิวัฒนาการ: ธาตุมืด 2★	แยกวัตถุดิบวิวัฒนาการ 2★ ออกเป็น 1★ 2 อัน
40019	แยกวัตถุดิบวิวัฒนาการ: ธาตุมืด 3★	แยกวัตถุดิบวิวัฒนาการ 3★ ออกเป็น 2★ 2 อัน
40020	แยกวัตถุดิบวิวัฒนาการ: ธาตุมืด 4★	แยกวัตถุดิบวิวัฒนาการ 4★ ออกเป็น 3★ 3 อัน
40021	แยกวัตถุดิบวิวัฒนาการ: ธาตุมืด 5★	แยกวัตถุดิบวิวัฒนาการ 5★ ออกเป็น 4★ 3 อัน
50001	ที่เพิ่มพูน กล่องนำโชคแก่นแท้พลังโจมตี	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50002	ที่เพิ่มพูน กล่องนำโชคแก่นแท้พลังป้องกัน	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50003	ที่เพิ่มพูน กล่องนำโชคแก่นแท้ความเร็ว	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50004	ที่เพิ่มพูน กล่องนำโชคแก่นแท้คริติคอล	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50005	กล่องให้เลือกไชลด์เฮฟเฟตัส	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50006	กล่องให้เลือกสกินออนเซ็นเฮฟเฟตัส	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50007	กล่องให้เลือกคอสตูมเฮฟเฟตัส	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50010	มงกุฎของออโรร่า_3	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50011	ปีกของออโรร่า_3	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50012	กระดิ่งหัวใจ_3	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50013	โอนิกซ์	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50014	ตราปรมาจารย์ช่างโลหะ	สูตรอีเวนต์ที่สร้างขึ้นเพื่อฉลองพิธีเปิดการหลอมของเฮฟเฟตัส\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50201	สร้างแก่นแท้ Ignition	สูตรอีเวนต์ช\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
50202	กล่องนำโชคสกินออนเซ็นเฮฟเฟตัส	สูตรอีเวนต์ช\สามารถนำไปใช้หลอมในระหว่างช่วงอีเวนต์ได้
