// key	SELECT_BOX_NAME_	SELECT_BOX_DESC_
73100001	ตั๋วอัญเชิญ 5★ จากกล่องเลือกธาตุ	เลือกรับส่วนประกอบหนึ่งอย่าง
73100002	โซลคาร์ต้าปริซึม 2019 กล่องให้เลือก	เลือกรับส่วนประกอบหนึ่งอย่าง
73100003	กล่องเลือกอุปกรณ์เกรดเอ 2019	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2019\ไม่รวมอุปกรณ์าแบบโคลาโบ
73100004	หีบออร์บ +15 กล่องให้เลือก	เลือกรับส่วนประกอบหนึ่งอย่าง
73100005	กล่องให้เลือกไชลด์ปี 2019	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2019 \ไม่รวมโคลาโบและหอแห่งการเกิดใหม่
73100006	กล่องให้เลือกไชลด์ปี 2020	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2020 \ไม่รวมโคลาโบและหอแห่งการเกิดใหม่
73100007	กล่องให้เลือกคอสตูมไชลด์ปี 2019	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2019 \จำกัดโคลาโบและไม่รวมคอสตูมผู้ทำพันธสัญญา
73100008	กล่องให้เลือกอุปกรณ์เล่นแร่เเปรธาตุ	เลือกรับส่วนประกอบหนึ่งอย่าง
73100009	หีบออร์บ +15 กล่องให้เลือก	เลือกรับส่วนประกอบหนึ่งอย่าง
73100010	กล่องให้เลือกสกินออนเซ็นไชลด์ปี 2019	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2019\ไม่รวมสกินออนเซ็นแบบโคลาโบ
73100011	กล่องตัวเลือกคาร์ต้าหุบเขาและทะเล	เลือกรับส่วนประกอบหนึ่งอย่าง
73100012	กล่องตัวเลือกสกินออนเซ็นไชลด์เวิลด์บอสเบสต์	เลือกรับส่วนประกอบหนึ่งอย่าง
73100013	กล่องสกินออนเซ็นไชลด์ดาบสองคม	เลือกรับส่วนประกอบหนึ่งอย่าง
73100014	กล่องตัวเลือกสกินออนเซ็นไชลด์รัมเบิลเบสต์	เลือกรับส่วนประกอบหนึ่งอย่าง
73100015	กล่องให้เลือกสกินออนเซ็นเขาวงกตรีเบิร์ธ	เลือกรับส่วนประกอบหนึ่งอย่าง
73100016	กล่องตัวเลือกคาร์ต้า (P) 2019	คาร์ต้าโคลาโบจะไม่สามารถใช้ได้ตั้งแต่เริ่มให้บริการจนถึงวันที่ 31 ธันวาคม 2019
73100017	กล่องตัวเลือกสกินออนเซ็นไชลด์เวิลด์บอสเบสต์	เลือกรับส่วนประกอบหนึ่งอย่าง
73100018	กล่องตัวเลือกสกินออนเซ็นไชลด์รัมเบิลเบสต์	เลือกรับส่วนประกอบหนึ่งอย่าง
73100019	หีบออร์บ +3 กล่องให้เลือก	เลือกรับส่วนประกอบหนึ่งอย่าง
73100020	หีบออร์บ +7 กล่องให้เลือก	เลือกรับส่วนประกอบหนึ่งอย่าง
73100021	กล่องให้เลือกสกินออนเซ็นเรดที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100022	กล่องให้เลือกสกินผู้ทำพันธสัญญา 3★	เลือกรับส่วนประกอบหนึ่งอย่าง
73100023	กล่องให้เลือกสกินผู้ทำพันธสัญญา 4★	เลือกรับส่วนประกอบหนึ่งอย่าง
73100024	กล่องให้เลือกสกินผู้ทำพันธสัญญา 5★	เลือกรับส่วนประกอบหนึ่งอย่าง
73100025	กล่องตัวเลือกสกินออนเซ็นไชลด์เวิลด์บอสเบสต์	เลือกรับส่วนประกอบหนึ่งอย่าง
73100026	กล่องให้เลือกเครื่องประดับออนเซ็น	เลือกรับส่วนประกอบหนึ่งอย่าง
73100027	กล่องให้เลือกสกินออนเซ็นเรดที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100028	กล่องให้เลือกตั๋วอัญเชิญ 10 ครั้ง	เลือกรับส่วนประกอบหนึ่งอย่าง
73100029	กล่องให้เลือกของขวัญออนเซ็น 5★	เลือกรับส่วนประกอบหนึ่งอย่าง
73100030	กล่องให้เลือกสกินออนเซ็นรีเบิร์ธที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100031	กล่องตัวเลือกสกินออนเซ็นไชลด์เวิลด์บอสเบสต์	เลือกรับส่วนประกอบหนึ่งอย่าง
73100032	กล่องให้เลือกสกินออนเซ็นเรดที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100033	กล่องให้เลือกสกินออนเซ็นรัมเบิลที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100034	กล่องให้เลือกอุปกรณ์อันดับ A ที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100035	กล่องให้เลือกสกินออนเซ็นคู่ I	เลือกรับส่วนประกอบหนึ่งอย่าง
73100036	กล่องให้เลือกสกินออนเซ็นคู่ II	เลือกรับส่วนประกอบหนึ่งอย่าง
73100037	กล่องให้เลือกสกินอายาเนะและเล่ยฟาง	เลือกรับส่วนประกอบหนึ่งอย่าง
73100038	กล่องให้เลือกสกินออนเซ็นอายาเนะและเล่ยฟาง	เลือกรับส่วนประกอบหนึ่งอย่าง
73100039	กล่องให้เลือกสกินออนเซ็นเวิลด์บอสที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100040	กล่องให้เลือกสกินออนเซ็นรัมเบิลที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100041	กล่องให้เลือกสำหรับช่วยเหลือการฝึกฝน	เลือกรับส่วนประกอบสามอย่าง
73100042	กล่องให้เลือกสกินออนเซ็นเรดที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100043	กล่องให้เลือกสกินออนเซ็นสายโจมตีและสายดีบัฟที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100044	กล่องให้เลือกสกินโรมิโอกับจูเลียต	เลือกรับส่วนประกอบหนึ่งอย่าง
73100045	กล่องให้เลือกสกินออนเซ็นเวิลด์บอสที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100046	กล่องให้เลือกสกินออนเซ็นสายโจมตีและสายสนับสนุน	เลือกรับส่วนประกอบหนึ่งอย่าง
73100047	กล่องให้เลือกไชลด์สำหรับอัพเกรด	เลือกรับส่วนประกอบสองอย่าง
73100048	กล่องให้เลือกสกินออนเซ็นเรดที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100049	กล่องให้เลือกสกินออนเซ็นรัมเบิล	เลือกรับส่วนประกอบหนึ่งอย่าง
73100050	กล่องให้เลือกแก่นแท้ Ignition ที่เพิ่มพูน	เลือกรับส่วนประกอบหนึ่งอย่าง
73100051	โซลคาร์ต้า 2019 กล่องให้เลือก	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2019\ไม่รวมโซลคาร์ต้าแบบโคลาโบ
73100052	กล่องเลือกAอาวุธ 2019	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2019\ไม่รวมอุปกรณ์าแบบโคลาโบ
73100053	กล่องเลือกAเครื่องป้องกัน 2019	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2019\ไม่รวมอุปกรณ์าแบบโคลาโบ
73100054	กล่องเลือกAเครื่องประดับ 2019	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2019\ไม่รวมอุปกรณ์าแบบโคลาโบ
73100055	แก่นแท้ Ignition กล่องให้เลือก	เลือกรับส่วนประกอบหนึ่งอย่าง
73100056	กล่องให้เลือกสกินออนเซ็นสายป้องกันและสายดีบัฟ	เลือกรับส่วนประกอบหนึ่งอย่าง
73100057	กล่องให้เลือกแพลนเนตปาร์ตี้	แฟนพันธุ์แท้ของวงแพลนเนตปาร์ตี้เท่านั้นถึงจะมีแท่งไฟนี้ได้!\อยากได้แท่งไฟของใครล่ะ?
73100058	กล่องให้เลือกสกินออนเซ็นไชลด์ปี 2020	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2020\ไม่รวมสกินออนเซ็นแบบโคลาโบ
73100059	โซลคาร์ต้า 2020 กล่องให้เลือก	คาร์ต้าโคลาโบจะไม่สามารถใช้ได้ตั้งแต่เริ่มให้บริการจนถึงวันที่ 31 ธันวาคม 2020
73100060	โซลคาร์ต้าปริซึม 2020 กล่องให้เลือก	คาร์ต้าโคลาโบจะไม่สามารถใช้ได้ตั้งแต่เริ่มให้บริการจนถึงวันที่ 31 ธันวาคม 2020
73100061	กล่องเลือกอุปกรณ์เกรดเอ 2020	อุปกรณ์โคลาโบจะไม่สามารถใช้ได้ตั้งแต่เริ่มให้บริการ\จนถึงวันที่ 31 ธันวาคม 2020
73100062	กล่องให้เลือกสกินออนเซ็นเวิลด์บอสที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
73100063	กล่องให้เลือกให้เลือกสกินออนเซ็นสายรักษาและสายโจมตี	เลือกรับส่วนประกอบหนึ่งอย่าง
73100064	กล่องให้เลือกคอสตูมไชลด์ปี 2020	ตั้งแต่เริ่มเกมจนถึง 31 ธันวาคม 2020 \จำกัดโคลาโบและไม่รวมคอสตูมผู้ทำพันธสัญญา
73100065	กล่องให้เลือกสกินออนเซ็นรัมเบิล	เลือกรับส่วนประกอบหนึ่งอย่าง
73100066	กล่องให้เลือกสกินออนเซ็นเวิลด์บอสที่ดีที่สุด	เลือกรับส่วนประกอบหนึ่งอย่าง
