// key	SKILL_NAME_	SKILL_VISUAL_	SKILL_DESCRIPTION_
11010001	โจมตีน้ำ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11010101	โจมตีน้ำ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11010201	โจมตีน้ำ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11010301	โจมตีน้ำ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11010401	โจมตีน้ำ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11010403	ตบ!	sfx_atk_normal	สร้างความเสียหายจากการโจมตีอัตโนมัติ {value} หน่วย
11010601	โจมตีน้ำ	sfx_atk_normal	สร้างความเสียหายจากการโจมตีอัตโนมัติ
11020001	โจมตีไฟ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11020101	โจมตีไฟ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11020201	โจมตีไฟ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11020301	โจมตีไฟ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11020401	โจมตีไฟ	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11020403	รับ!	sfx_atk_normal	สร้างความเสียหายจากการโจมตีอัตโนมัติแก่เป้าหมาย {value} หน่วย
11020601	โจมตีไฟ	sfx_atk_normal	สร้างความเสียหายจากการโจมตีอัตโนมัติ
11030001	โจมตีไม้	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11030101	โจมตีไม้	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11030201	โจมตีไม้	sfx_atk_normal	ใช้การโจมตีปกติสร้างความเสียหาย {value} หน่วย แก่เป้าหมาย (อัตโนมัติ)
11030301	โจมตีธาตุไม้	sfx_atk_normal	สร้างความเสียหายจากการโจมตีอัตโนมัติ {value} หน่วย
