// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1001	ตั๋วอัญเชิญ_3-5★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1002	ตั๋วอัญเชิญ_1-3★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>1★</color></size> ถึง <size=1.1><color=ffc400>3★</color></size>\จากรายชื่อเหล่านี้ในกาชาทอง
1003	ตั๋วอัญเชิญ_4-5★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>4★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1004	ตั๋วอัญเชิญ_2-4★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>2★</color></size> ถึง <size=1.1><color=ffc400>4★</color></size>\จากรายชื่อเหล่านี้ในกาชาทอง
1005	ตั๋วอัญเชิญ_1-5★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>1★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในกาชาทอง
1006	ตั๋วอัญเชิญ_1-2★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>1★</color></size> ถึง <size=1.1><color=ffc400>2★</color></size>\จากรายชื่อเหล่านี้ในกาชาทอง
1007	ตั๋วอัญเชิญ_2-3★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>2★</color></size> ถึง <size=1.1><color=ffc400>3★</color></size>\จากรายชื่อเหล่านี้ในกาชาทอง
1008	ตั๋วอัญเชิญ_3-4★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>4★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1101	ตั๋วอัญเชิญ_การันตี 3★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1102	ตั๋วอัญเชิญ_การันตี 4★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>4★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1103	ตั๋วอัญเชิญ_การันตี 5★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1201	ตั๋วไชลด์เสริมพลัง 3-5★	อัญเชิญไชลด์สำหรับเสริมพลัง
1202	ตั๋วไชลด์เสริมพลัง 1-5★	อัญเชิญไชลด์สำหรับเสริมพลัง
1203	ตั๋วไชลด์เสริมพลัง 1-3★	อัญเชิญไชลด์สำหรับเสริมพลัง
